Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sportmax,Spring 2024,Feminine,White long-sleeve dress,White futuristic sunglasses,"Sleek, fitted","Minimalist, futuristic","High neckline, slit details"
2,Sportmax,Spring 2024,Feminine,"White sleeveless top, white skirt",White oval clutch,"Structured, layered","Minimalist, modern","Sheer overlay, high neckline"
3,Sportmax,Spring 2024,Feminine,"White long-sleeve top, white skirt",,"Relaxed, draped","Minimalist, contemporary","Extended cuffs, layered skirt"
1,Sportmax,Spring 2024,Feminine,White strapless bodysuit,White futuristic sunglasses,"Fitted, streamlined","Futuristic, minimal","Structured bodice, sleek design"
2,Sportmax,Spring 2024,Feminine,White embroidered dress,,"Straight, relaxed","Minimalist, elegant","Subtle embroidery, clean lines"
3,Sportmax,Spring 2024,Feminine,"Sheer white dress, white bodysuit",White futuristic sunglasses,"Flowy, layered","Ethereal, modern","Sheer layering, delicate texture"
1,Sportmax,Spring 2024,Feminine,"White turtleneck, white midi skirt",White sandals,"Structured, elongated","Minimalist, monochrome","Extended sleeves, sleek lines"
2,Sportmax,Spring 2024,Feminine,"White sleeveless top, white skirt","White sandals, ring","Fitted, streamlined","Minimalist, modern","Cap sleeves, clean lines"
3,Sportmax,Spring 2024,Masculine,"White oversized blazer, white skirt",White sandals,"Oversized, fluid","Minimalist, androgynous","Sheer layers, relaxed fit"
1,Sportmax,Fall 2011,Feminine,"Gray long coat, black patent top, pinstripe trousers",,"Long, tailored","Chic, modern","Sleek hair, glossy textures"
2,Sportmax,Fall 2011,Feminine,"Blue tweed blazer, white shirt, blue tweed skirt",Black belt,"Fitted, structured","Elegant, sophisticated","Contrasting textures, defined waist"
3,Sportmax,Fall 2011,Feminine,"Blue tweed cape, black sweater, pinstripe trousers",Blue wrist cuff,"Layered, relaxed","Cozy, stylish","Draped cape, rich textures"
1,Sportmax,Fall 2011,Feminine,"Blue fur vest, blue trousers","Black belt, black bag","Tailored, sleek","Chic, modern","Fur detailing, vibrant color"
2,Sportmax,Fall 2011,Feminine,"Blue coat, black turtleneck",Black gloves,"Long, structured","Elegant, bold","Contrasting cuffs, strong color"
3,Sportmax,Fall 2011,Feminine,"Black fur vest, black skirt",Black belt,"Fitted, layered","Sophisticated, edgy","Hooded fur, monochrome look"
1,Sportmax,Fall 2011,Feminine,"Black coat, black patent top, blue trousers",,"Long, relaxed","Chic, bold","Contrasting colors, sleek finish"
2,Sportmax,Fall 2011,Feminine,Black sheer dress,"Blue fur scarf, blue bag","Flowy, layered","Elegant, sophisticated","Textured accessories, sheer fabric"
3,Sportmax,Fall 2011,Feminine,"Black fur vest, black trousers",Brown boots,"Tailored, sleek","Luxurious, modern","Fur texture, monochrome look"
1,Sportmax,Fall 2015,Feminine,"Camel coat with white trim, white belt","Black textured bag, black platform shoes","Tailored, knee-length","Chic, modern","Contrast trim, structured shoulders"
2,Sportmax,Fall 2015,Feminine,"White cable knit sweater, white cable knit skirt","Brown textured bag, brown platform shoes","Relaxed, asymmetrical","Cozy, elegant","Cable knit texture, asymmetrical hem"
3,Sportmax,Fall 2015,Feminine,"Camel coat with white trim, white belt","Black textured bag, black platform shoes","Tailored, long","Chic, modern","Contrast trim, structured shoulders"
1,Sportmax,Fall 2015,Feminine,Black off-shoulder knit dress,"Brown leather bag, brown platform shoes","Loose, relaxed","Cozy, textured","Cable knit, fringe hem"
2,Sportmax,Fall 2015,Feminine,"Camel blazer, camel wide-leg pants",Brown platform shoes,"Tailored, structured","Sophisticated, monochrome","Sharp lapels, tonal layering"
3,Sportmax,Fall 2015,Feminine,"Black belted coat, black wide-leg pants","Black leather bag, black and brown platform shoes","Structured, sleek","Chic, modern","Belted waist, glossy textures"
1,Sportmax,Fall 2015,Feminine,"Tan fur coat, nude dress",Black textured bag,"Oversized, cocoon","Luxurious, elegant","Rich texture, statement outerwear"
2,Sportmax,Fall 2015,Feminine,"Black fur vest, black dress",Black belt,"A-line, belted","Chic, sophisticated","Deep V-neck, cinched waist"
3,Sportmax,Fall 2015,Feminine,"Tan coat, matching skirt",Black belt,Fit and flare,"Structured, modern","Contrasting trim, tailored fit"
1,Sportmax,Spring 2015,Feminine,Checkered coat with leather details,Black woven belt,"Structured, oversized","Bold, graphic","Fringed edges, mixed textures"
2,Sportmax,Spring 2015,Feminine,"Black wrap top, black wrap skirt",Black woven bag,"Fitted, asymmetrical","Minimalist, sleek","Monochrome, subtle texture"
3,Sportmax,Spring 2015,Feminine,"Checkered cape, checkered skirt, black crop top",None visible,"Relaxed, layered","Casual, modern","Fringed edges, coordinated set"
1,Sportmax,Spring 2015,Feminine,Cream knit dress with waist tie,"Beige handbag, platform sandals","Slim, fitted","Minimalist, elegant","Textured fabric, neutral palette"
2,Sportmax,Spring 2015,Feminine,"Yellow and black checkered crop top, matching skirt",Platform sandals,"Fitted, tailored","Bold, graphic","Fringe details, checkered pattern"
3,Sportmax,Spring 2015,Feminine,"Beige blazer, black crop top, black skirt","Sunglasses, platform sandals","Structured, relaxed","Chic, modern","Contrasting textures, oversized sunglasses"
1,Sportmax,Spring 2015,Feminine,Black sleeveless dress,Black platform sandals,"Draped, fitted","Elegant, modern","Textured fabric, knot detail"
2,Sportmax,Spring 2015,Feminine,Olive coat with black pockets,"Sunglasses, black platform sandals","Structured, oversized","Chic, contemporary","Contrasting pockets, waist tie"
3,Sportmax,Spring 2015,Feminine,Black strapless dress,"Silver bracelet, black platform sandals","Flowy, relaxed","Minimalist, sophisticated","Waist tie, clean lines"
