Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Max Mara,Fall 2024,Feminine,Black embellished coat,,"Structured, oversized","Elegant, sophisticated",Embellished collar detail
2,Max Mara,Fall 2024,Feminine,"Black coat, white shirt",,"Oversized, tailored","Minimalist, classic",Contrasting cuffs
3,Max Mara,Fall 2024,Feminine,"Beige coat, beige top, beige pants",,"Relaxed, layered","Casual, monochrome","Soft textures, tonal look"
1,Max Mara,Fall 2024,Feminine,"Beige oversized coat, black turtleneck, black skirt",,"Oversized, flowing","Minimalist, elegant","Neutral tones, classic tailoring"
2,Max Mara,Fall 2024,Feminine,"Black and white tweed coat, white turtleneck",,"Structured, boxy","Chic, sophisticated","Textured fabric, monochrome palette"
3,Max Mara,Fall 2024,Feminine,"Black leather jacket, beige tank top, beige drawstring pants",,"Relaxed, casual","Modern, understated","Contrasting textures, casual elegance"
1,Max Mara,Fall 2024,Feminine,Black oversized coat,,"Voluminous, cocoon","Minimalist, avant-garde","High collar, concealed face"
2,Max Mara,Fall 2024,Feminine,"Black double-breasted coat, black turtleneck",Black pointed heels,"Tailored, longline","Classic, elegant","Wide lapels, structured shoulders"
3,Max Mara,Fall 2024,Feminine,"Brown leather coat, black turtleneck",,"Relaxed, straight","Chic, sophisticated","Belted cuffs, rich texture"
1,Max Mara,Spring 2008,Feminine,"Gray button-up shirt, gray cuffed pants",Black sunglasses,"Relaxed, straight","Casual, minimalist",Monochrome look with rolled cuffs
2,Max Mara,Spring 2008,Feminine,Black double-breasted trench coat,,"Structured, tailored","Classic, elegant","Deep V-neck, sleek design"
3,Max Mara,Spring 2008,Feminine,"Black strapless top, black pants",,"Fitted, streamlined","Chic, modern",Double-breasted detail on top
1,Max Mara,Spring 2008,Feminine,"Black leather sleeveless top, white layered skirt",,"A-line, layered","Edgy, modern","Contrasting textures, asymmetrical hem"
2,Max Mara,Spring 2008,Feminine,"Black satin double-breasted jacket, black pencil skirt",Black sunglasses,"Tailored, sleek","Chic, sophisticated","Monochrome, sharp tailoring"
3,Max Mara,Spring 2008,Feminine,"Pink collared shirt, cuffed denim pants",Black loafers,"Relaxed, casual","Casual, polished","Soft color contrast, rolled cuffs"
1,Max Mara,Spring 2008,Masculine,"Navy blazer, sheer black shirt, striped pants",Black shoes,"Relaxed, layered","Androgynous, modern","Subtle sheen on shirt, casual elegance"
2,Max Mara,Spring 2008,Feminine,"Strapless black top, black pencil skirt","Sunglasses, black loafers","Fitted, sleek","Chic, minimalist","Double-breasted button detail, sophisticated"
3,Max Mara,Spring 2008,Feminine,"White double-breasted blazer, black leather pants","Sunglasses, black shoes","Structured, sharp","Contemporary, bold","Contrasting textures, tailored fit"
1,Max Mara,Spring 2022,Feminine,"Black coat, black strapless dress","Black headband, black platform sandals","Structured, straight","Minimalist, chic",Monochrome look with sleek tailoring
2,Max Mara,Spring 2022,Feminine,"Cream coat, cream strapless dress","White headband, metallic platform sandals","Structured, straight","Minimalist, elegant",Soft monochrome with a relaxed fit
3,Max Mara,Spring 2022,Feminine,"Taupe sleeveless top, beige skirt","Black headband, metallic platform sandals","Relaxed, straight","Casual, modern",Layered textures with a neutral palette
1,Max Mara,Spring 2022,Feminine,"Beige cropped top, beige high-waisted trousers, beige oversized jacket","Silver metallic sandals, beige headband","Relaxed, oversized","Monochrome, minimalist","Neutral tones, casual elegance"
2,Max Mara,Spring 2022,Feminine,"Tan cropped tank, beige wrap skirt","White belt, black sandals","A-line, fitted","Sporty, casual","Mesh texture, utilitarian details"
3,Max Mara,Spring 2022,Feminine,"Yellow bandeau top, yellow mini skirt, yellow oversized coat","Silver metallic sandals, yellow headband","Structured, oversized","Monochrome, modern","Bright color, clean lines"
1,Max Mara,Spring 2022,Feminine,"Tan leather coat, floral textured dress","Headband, strappy sandals","Structured, layered","Elegant, textured",Floral texture adds depth
2,Max Mara,Spring 2022,Feminine,"Camel sweater, camel mini skirt",Silver sandals,"Boxy, relaxed","Casual, minimalist",Monochrome look with metallic accents
3,Max Mara,Spring 2022,Feminine,"Brown leather bomber jacket, brown leather skirt","Headband, strappy sandals","Boxy, oversized","Chic, modern",Leather ensemble with a sporty touch
