Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Thom Browne,Fall 2023,Feminine,"White quilted jacket, green textured top, white quilted pants","Black helmet bag, striped socks","Voluminous, structured","Avant-garde, futuristic","Exaggerated sleeves, bold textures"
2,Thom Browne,Fall 2023,Masculine,"Gray oversized blazer, gold and gray patterned dress",,"Oversized, layered","Eclectic, deconstructed","Mix of textures, bold patterns"
3,Thom Browne,Fall 2023,Feminine,Printed long dress with moon and tree motifs,,"Fitted, elongated","Surreal, artistic","Graphic prints, sculptural hair"
1,Thom Browne,Fall 2023,Gender Neutral,Beige gown with colorful graphic print,White sculptural headpiece,Column,"Avant-garde, artistic","Bold graphic motifs, theatrical makeup"
2,Thom Browne,Fall 2023,Gender Neutral,Beige gown with green and yellow graphic print,White sculptural headpiece,Column,"Avant-garde, artistic","Bold graphic motifs, theatrical makeup"
3,Thom Browne,Fall 2023,Gender Neutral,Beige gown with burgundy and yellow graphic print,White sculptural headpiece,Column,"Avant-garde, artistic","Bold graphic motifs, theatrical makeup"
1,Thom Browne,Fall 2023,Gender Neutral,Long printed dress,"White sculptural hairpiece, white face paint","Structured, column","Avant-garde, artistic","Bold graphic prints, theatrical makeup"
2,Thom Browne,Fall 2023,Gender Neutral,Long printed dress,"White sculptural hairpiece, white face paint","Structured, column","Avant-garde, artistic","Bold graphic prints, theatrical makeup"
3,Thom Browne,Fall 2023,Gender Neutral,Long printed dress,"White sculptural hairpiece, white face paint","Structured, column","Avant-garde, artistic","Bold graphic prints, theatrical makeup"
1,Thom Browne,Spring 2021,Masculine,"White textured coat, white shirt, white vest, white pants","White hat, yellow sunglasses, white bag","Tailored, elongated","Monochrome, structured","Textured fabric, coordinated accessories"
2,Thom Browne,Spring 2021,Masculine,"White double-breasted blazer, white shirt, white vest, white skirt","White hat, yellow sunglasses, white bag","Boxy, layered","Monochrome, avant-garde",Mix of traditional and modern elements
3,Thom Browne,Spring 2021,Masculine,"White double-breasted coat, white shirt, white vest, white pants",White hat with veil,"Tailored, straight","Monochrome, conceptual",Veil adds a dramatic touch
1,Thom Browne,Spring 2021,Masculine,"White long coat, white dress","Wide-brimmed hat, yellow sunglasses, white handbag","Long, tailored","Monochrome, structured","Textured fabric, layered"
2,Thom Browne,Spring 2021,Feminine,"White textured coat, white skirt","Wide-brimmed hat, yellow sunglasses, white handbag","Fitted, layered","Monochrome, textured","Knit details, structured layers"
3,Thom Browne,Spring 2021,Masculine,"White long coat, white skirt","Wide-brimmed hat, yellow sunglasses, white handbag","Long, layered","Monochrome, structured","Textured fabric, layered"
1,Thom Browne,Spring 2021,Feminine,"Textured white jacket, white layered dress","White hat, yellow sunglasses, white bag","Layered, elongated","Monochrome, textured","Playful textures, structured shoulders"
2,Thom Browne,Spring 2021,Masculine,"Striped white coat, white skirt","White hat, yellow sunglasses, white bag","Straight, elongated","Monochrome, tailored","Subtle stripes, layered tailoring"
3,Thom Browne,Spring 2021,Masculine,"Patterned white coat, striped dress","White hat, yellow sunglasses, white bag","Layered, elongated","Monochrome, patterned","Textured patterns, structured layers"
