Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chopova Lowena,Fall 2024,Androgynous,"Camouflage print coat, dark wide-leg pants","Chunky chain necklace, large bag","Oversized, relaxed","Eclectic, utilitarian","Bold print, layered textures"
2,Chopova Lowena,Fall 2024,Feminine,"Graphic sweater, camouflage print skirt, matching pants","Patterned bag, statement earrings","Layered, voluminous","Playful, bold","Mixed patterns, statement graphics"
3,Chopova Lowena,Fall 2024,Feminine,"Cut-out cardigan, pleated skirt","Chunky boots, pendant necklace","Fitted top, flared skirt","Edgy, gothic","Cut-out details, dark palette"
4,Chopova Lowena,Fall 2024,Feminine,"Black mesh top, pleated skirt","Pearl necklace, lace gloves","A-line, fitted","Gothic, edgy","Mesh texture, monochrome"
5,Chopova Lowena,Fall 2024,Feminine,Camouflage print dress,"Chunky necklace, patterned bag","Hourglass, voluminous","Eclectic, bold","Puff sleeves, vibrant print"
6,Chopova Lowena,Fall 2024,Feminine,Black lace dress,Floral headpiece,"A-line, layered","Romantic, gothic","Lace detailing, asymmetrical hem"
7,Chopova Lowena,Fall 2024,Feminine,"Black cropped jacket, black ruffled skirt","Fishnet stockings, black shoes","Voluminous, layered","Gothic, avant-garde","Embellished details, hooded design"
8,Chopova Lowena,Fall 2024,Feminine,"Black puff-sleeve top, pleated skirt","Floral headpiece, knee-high boots","Structured, flared","Romantic, edgy","Metallic embellishments, intricate sleeves"
9,Chopova Lowena,Fall 2024,Feminine,"Heart motif top, tiered floral skirt",Knee-high boots,"Playful, voluminous","Eclectic, bold","Graphic heart design, layered skirt"
1,Chopova Lowena,Spring 2023,Feminine,"Black embroidered coat, white blouse","Silver necklace, black handbag","Oversized, layered","Gothic, vintage","Textured fabric, button details"
2,Chopova Lowena,Spring 2023,Masculine,"Furry sleeveless top, blue jeans","Toy chain belt, blue rope","Fitted top, flared pants","Playful, eclectic","Textured top, colorful accessories"
3,Chopova Lowena,Spring 2023,Gender Fluid,"Floral print top, pleated skirt","Red belt, knee-high socks","Fitted top, flared skirt","Punk, avant-garde","Mixed prints, bold colors"
1,Chopova Lowena,Spring 2023,Feminine,"White oversized shirt, pink satin skirt","Orange socks, embellished shoes","Voluminous, playful","Eclectic, bold","Large bow detail, mixed textures"
2,Chopova Lowena,Spring 2023,Feminine,"Floral crop top, floral skirt","Green necklace, knee-high socks","Layered, fitted","Romantic, whimsical","Contrasting floral patterns, ruffled layers"
3,Chopova Lowena,Spring 2023,Masculine,"Printed jacket, printed trousers","Black headpiece, chain necklace","Relaxed, structured","Graphic, avant-garde","Bold prints, monochrome with red accents"
1,Chopova Lowena,Spring 2023,Feminine,Black and pink patterned dress,"Red sunglasses, earrings","Layered, voluminous","Eclectic, punk","Ruffled shoulders, heart motif"
2,Chopova Lowena,Spring 2023,Masculine,Printed tapestry shorts,"Round sunglasses, beaded necklace","Relaxed, cropped","Bohemian, artistic","Bare chest, fringe details"
3,Chopova Lowena,Spring 2023,Gender Fluid,"Graphic long-sleeve top, pleated skirt, printed pants",Blue guitar case,"Layered, mixed","Playful, avant-garde","Mixed prints, bold graphics"
