Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Cynthia Rowley,Spring 2024,Feminine,Black feathered dress with sheer elements,None visible,"Loose, A-line","Avant-garde, Artistic",Features bold feather embellishments with colorful patches.
1,Cynthia Rowley,Spring 2024,Feminine,"Blue cowl-neck top, Denim high-waisted skirt with black voluminous bottom",None visible,"A-line, Voluminous","Casual, Urban, Chic","Mix of denim and fabric textures, modern city backdrop"
1,Cynthia Rowley,Spring 2024,Feminine,"Black feathered bandeau top, Black perforated wide-leg pants",None,"Wide-leg, Cropped","Chic, Modern, Edgy",Feather detail adds texture and drama
1,Cynthia Rowley,Spring 2024,Feminine,"Leopard print mini dress, pink, satin",Red strappy sandals,"Fitted, Mini","Bold, Urban, Chic",Outdoor city setting enhances modern vibe
1,Cynthia Rowley,Spring 2024,Feminine,"Striped brown and black long-sleeve top, Black feathered skirt with embellishments",None,Structured,"Bold, Textured, Eclectic",Mix of patterns and textures with a focus on statement skirt.
1,Cynthia Rowley,Spring 2024,Feminine,"Tan blazer, tan shorts, sequined top",None,"Structured, tailored","Chic, modern","Outdoor setting, urban backdrop"
1,Cynthia Rowley,Spring 2024,Feminine,"Pink satin jacket with belt, Pink ruffled shorts; Yellow satin jacket with belt, Yellow ruffled shorts",Multicolored open-toe heels,"Relaxed fit, Layered","Playful, Chic, Urban",Bright colors with a youthful vibe
1,Cynthia Rowley,Spring 2024,Feminine,"Floral blouse, Black shorts, Floral maxi dress",Strappy sandals,"Flowy, Relaxed","Romantic, Floral",Outdoor setting with urban backdrop
1,Cynthia Rowley,Spring 2024,Feminine,"Pink satin mini dress, Yellow satin mini dress",Wide belt with jeweled buckle,"A-line, Puff sleeves","Chic, Playful, Urban",Outdoor setting with architectural background
1,Cynthia Rowley,Spring 2024,Feminine,Tan button-up dress with short sleeves and large pockets,"Brown belt with turquoise buckle, Black floral mules",A-line,"Utility, Chic, Urban",The look combines a utilitarian dress with elegant accessories for a city-ready style.
1,Cynthia Rowley,Spring 2024,Feminine,"Black cropped polo shirt, Black floral embroidered maxi skirt",Red strappy sandals,"Fitted top, Flowing skirt","Chic, Modern, Urban",Outdoor setting with architectural backdrop
1,Cynthia Rowley,Spring 2024,Feminine,"Black shirt with white lace trim, Pink floral lace mini skirt",Metallic mules,"Fitted, Mini","Romantic, Playful",Combines classic lace with modern metallic footwear.
1,Cynthia Rowley,Spring 2024,Feminine,Black and pink floral lace mini dress,Floral open-toe mules,Fitted,"Romantic, Elegant",Urban backdrop enhances modern appeal
1,Cynthia Rowley,Spring 2024,Feminine,"Green floral print dress, ruffled hem",Pink metallic mules,"Flowy, A-line","Romantic, Floral, Elegant",Features a high neck and cinched waist with floral belt.
1,Cynthia Rowley,Spring 2024,Feminine,"Chevron-patterned, multicolored, off-the-shoulder dress",Red strappy heels,Fitted with high slit,"Bohemian, Vibrant, Playful",Features ruffle details and bold zigzag pattern
1,Cynthia Rowley,Spring 2024,Feminine,"Black cardigan with colorful appliqué, Blue perforated wide-leg pants",None,Relaxed,"Playful, Artistic, Casual",Bright appliqué adds a fun element to the look.
1,Cynthia Rowley,Spring 2024,Feminine,Multicolored printed dress,Matching printed tote bag,Fit and flare,"Playful, Vibrant, Urban",Outdoor city setting enhances the lively print
1,Cynthia Rowley,Spring 2024,Feminine,Black perforated dress,Red ankle-strap heels,A-line,"Chic, Urban",Outdoor setting with urban backdrop
1,Cynthia Rowley,Spring 2024,Feminine,"Blue denim shirt with white applique, Metallic gold mini skirt",Black open-toe heels,"Fitted, A-line","Western, Modern, Chic",Urban backdrop enhances the modern western vibe
1,Cynthia Rowley,Spring 2024,Feminine,"Chevron-patterned knit top, Chevron-patterned knit flared pants",Metallic oversized tote,Flared,"Colorful, Retro, Playful",Bold chevron pattern with vibrant colors
1,Cynthia Rowley,Spring 2024,Feminine,"Beige embroidered cardigan, Pink metallic skirt",Metallic open-toe mules,"Relaxed, Midi","Playful, Eclectic",Floral embroidery adds a whimsical touch
1,Cynthia Rowley,Spring 2024,Feminine,Gold metallic gown,Gold metallic clutch,"Fitted, Floor-length","Glamorous, Elegant",Outdoor setting with urban background
1,Cynthia Rowley,Spring 2024,Feminine,"Chevron-patterned blouse, Multicolored sequin-embellished mini skirt",None,Straight,Eclectic,"Vibrant colors, bold patterns"
1,Cynthia Rowley,Spring 2024,Feminine,"Floral print blouse, Floral print wide-leg pants",Green clutch,"Loose, Flowing","Romantic, Bohemian",Set against an urban backdrop with architectural elements
1,Cynthia Rowley,Spring 2024,Feminine,"Multicolor sequin dress, oversized, iridescent",None visible,"Loose, voluminous","Playful, vibrant, statement","Features large sequins in pastel hues creating a textured, eye-catching effect."
1,Cynthia Rowley,Spring 2024,Feminine,"White and blue floral print dress, White and blue floral print crop top and shorts",Red strappy sandals,"Flowy, Relaxed","Floral, Elegant, Breezy",Outdoor setting with architectural background
