Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Iceberg,Fall 2016,Feminine,Black turtleneck dress with colorful squares,"Color-block clutch, blue and black shoes","Fitted, midi-length","Playful, graphic",Bright geometric patterns on a dark base
2,Iceberg,Fall 2016,Feminine,"Black cardigan with colorful squares, red turtleneck, black pants","Red shoulder bag, blue and black shoes","Relaxed, layered","Casual, graphic",Layered look with bold color accents
3,Iceberg,Fall 2016,Feminine,Black one-shoulder dress with colorful squares,Blue and black shoes,"Loose, midi-length","Modern, graphic",Asymmetrical design with vibrant square patterns
1,Iceberg,Fall 2016,Feminine,"Black coat, black dress","Silver strap bag, blue ring","Structured, straight","Minimalist, modern","Wet hair look, bold footwear"
2,Iceberg,Fall 2016,Feminine,"Black turtleneck, patterned pants",Black and white hat,"Relaxed, straight","Graphic, sporty","Colorful geometric patterns, monochrome hat"
3,Iceberg,Fall 2016,Feminine,"Blue faux fur coat, black turtleneck",,"Oversized, cocoon","Bold, statement","Bright color, textured material"
1,Iceberg,Fall 2016,Feminine,"Black patterned long shirt dress, black turtleneck","White socks, green loafers","Loose, flowing","Geometric, casual",Colorful geometric pattern
2,Iceberg,Fall 2016,Feminine,"Gray patterned sweater, white shirt, navy patterned pants","White socks, green loafers","Relaxed, layered","Graphic, modern",Bold color blocks on sweater
3,Iceberg,Fall 2016,Feminine,"Gray patterned sweater, white shirt, black vinyl skirt","Orange socks, black loafers","Boxy, structured","Graphic, edgy",Checkerboard pattern on sweater
1,Iceberg,Fall 2014,Feminine,"Beige blazer, white turtleneck, beige pants","Yellow fur scarf, silver ankle boots","Tailored, sleek","Modern, minimalist",Contrasting textures with metallic footwear
2,Iceberg,Fall 2014,Feminine,"Beige coat, white turtleneck","Yellow fur scarf, silver ankle boots","Structured, streamlined","Chic, contemporary",Belted waist accentuates silhouette
3,Iceberg,Fall 2014,Feminine,"Beige sleeveless coat, white ribbed sweater, beige pants","Yellow fur scarf, silver ankle boots","Layered, elongated","Edgy, sophisticated",Sleeveless design adds modern twist
1,Iceberg,Fall 2014,Feminine,"White ribbed sweater, beige mini skirt","Yellow fur scarf, silver ankle boots","A-line, fitted","Modern, chic","Pop of color with scarf, metallic footwear"
2,Iceberg,Fall 2014,Feminine,"White turtleneck sweater, beige slim pants","White belt, white ankle boots","Slim, tailored","Minimalist, sporty","Red accents on sweater, sleek silhouette"
3,Iceberg,Fall 2014,Feminine,"Beige coat, graphic print sweatshirt, gray trousers",Silver ankle boots,"Structured, relaxed","Contemporary, artistic","Colorful graphic detail, metallic footwear"
1,Iceberg,Fall 2014,Feminine,"White sweatshirt with red graphic, asymmetrical skirt",Yellow fur collar,"A-line, layered","Modern, graphic","Bold color contrast, mixed textures"
2,Iceberg,Fall 2014,Feminine,"White sweatshirt with purple graphic, purple pants",Burgundy fur collar,"Slim, tailored","Contemporary, sleek","Monochrome with pop of color, structured fit"
3,Iceberg,Fall 2014,Feminine,"Gray coat, graphic turtleneck, blue pants",Burgundy clutch,"Long, layered","Chic, sophisticated","Layered outerwear, muted tones with graphic detail"
