Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Nells Nelson,Spring 2024,Feminine,"White sleeveless top, white wide-leg pants",Black sandals,"Flowy, relaxed","Minimalist, elegant","Monochrome white, airy fabric"
2,Nells Nelson,Spring 2024,Feminine,"White blazer, white tank top, white trousers",Black sandals,"Tailored, sleek","Chic, modern","Monochrome white, structured tailoring"
3,Nells Nelson,Spring 2024,Feminine,"Light blue button-up shirt, light blue trousers",White sandals,"Relaxed, casual","Effortless, contemporary","Soft color palette, casual elegance"
1,Nells Nelson,Spring 2024,Feminine,Navy long dress,Black sandals,"Flowy, relaxed","Minimalist, elegant","Belted waist, side slit"
2,Nells Nelson,Spring 2024,Feminine,"Black trench coat, black dress",Black sandals,"Structured, layered","Chic, modern","Glossy finish, double-breasted"
3,Nells Nelson,Spring 2024,Feminine,"White wrap top, beige cardigan, light trousers",Black sandals,"Relaxed, casual","Effortless, sophisticated","Soft draping, neutral palette"
1,Nells Nelson,Spring 2024,Feminine,"White sleeveless wrap top, light blue trousers",Black sandals,"Relaxed, fluid","Minimalist, airy","Soft draping, casual elegance"
2,Nells Nelson,Spring 2024,Feminine,"Light blue blazer, matching trousers, white top",White sandals,"Relaxed, tailored","Chic, professional","Rolled sleeves, monochrome look"
3,Nells Nelson,Spring 2024,Feminine,"Navy cropped jacket, black top, long blue skirt",Black sandals,"Structured, flowing","Sophisticated, modern","Contrasting textures, elegant layers"
1,Nells Nelson,Fall 2023,Masculine,"Black trench coat, black leggings",None,"Oversized, relaxed","Minimalist, monochrome","Belted waist, tonal layering"
2,Nells Nelson,Fall 2023,Feminine,"Black satin dress, black overcoat",None,"Flowing, elongated","Elegant, sophisticated","Satin texture, layered outerwear"
3,Nells Nelson,Fall 2023,Feminine,"Black vest, black maxi skirt",Long gloves,"Fitted, sleek","Chic, modern","Sleeveless vest, monochrome look"
1,Nells Nelson,Fall 2023,Androgynous,"Gray cape coat, wide-leg trousers, sleeveless top",None,"Oversized, flowing","Minimalist, monochrome",Layering with a focus on texture
2,Nells Nelson,Fall 2023,Androgynous,"Gray suit jacket, wide-leg trousers, sheer top",None,"Tailored, relaxed","Sophisticated, modern",Contrasting textures with sheer and wool
3,Nells Nelson,Fall 2023,Androgynous,"Dark blazer, long skirt, button-up shirt",None,"Structured, elongated","Elegant, sleek",Monochrome look with a focus on clean lines
1,Nells Nelson,Fall 2023,Masculine,"Navy sheer shirt, dark wide-leg trousers",None,"Long, flowing","Minimalist, elegant","Sheer fabric, monochrome look"
2,Nells Nelson,Fall 2023,Masculine,"Brown long coat, brown vest, brown trousers",Black shoes,"Tailored, layered","Classic, sophisticated","Monochrome brown, layered tailoring"
3,Nells Nelson,Fall 2023,Masculine,"Brown suit jacket, brown trousers",Black shoes,"Slim, fitted","Timeless, refined","Monochrome brown, clean lines"
