Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Matthew Ames,Fall 2009,Feminine,"White oversized coat, white wide-leg pants",Brown platform sandals,"Oversized, relaxed","Minimalist, monochrome","Soft draping, clean lines"
2,Matthew Ames,Fall 2009,Feminine,"White long coat, white top, white wide-leg pants",Brown platform sandals,"Flowing, relaxed","Minimalist, monochrome","Layered, elegant drape"
3,Matthew Ames,Fall 2009,Feminine,"Camel oversized coat with hood, camel wide-leg pants",Brown platform sandals,"Oversized, enveloping","Minimalist, monochrome","Hooded, cocoon-like"
1,Matthew Ames,Fall 2009,Feminine,"Camel coat, brown top, draped pants",Brown platform sandals,"Oversized, draped","Minimalist, earthy","Monochromatic, relaxed fit"
2,Matthew Ames,Fall 2009,Feminine,"White wrap coat, white jumpsuit",Brown platform sandals,"Oversized, flowing","Minimalist, monochrome","Clean lines, elegant draping"
3,Matthew Ames,Fall 2009,Feminine,"Camel wrap coat, white top, gray pants",Brown platform sandals,"Relaxed, layered","Minimalist, casual","Neutral tones, effortless layering"
1,Matthew Ames,Fall 2009,Feminine,Red draped gown,Black platform sandals,"Flowy, relaxed","Elegant, bold","Deep V-neckline, vibrant color"
2,Matthew Ames,Fall 2009,Feminine,"Navy wrap top, red draped skirt",Black platform sandals,"Layered, structured","Modern, contrasting","Wrap detail, color blocking"
3,Matthew Ames,Fall 2009,Feminine,"Red oversized top, navy loose pants",Black platform sandals,"Boxy, voluminous","Casual, contemporary","Bold color contrast, relaxed fit"
1,Matthew Ames,Fall 2010,Feminine,"White tunic, black shorts, black coat",,"Boxy, relaxed","Minimalist, monochrome",Simple and clean lines
2,Matthew Ames,Fall 2010,Feminine,"White top, black leather shorts, camel coat",,"Boxy, relaxed","Minimalist, monochrome",Contrasting textures
3,Matthew Ames,Fall 2010,Feminine,Mustard leather dress,,"A-line, structured","Minimalist, bold","Rich color, sleek finish"
1,Matthew Ames,Fall 2010,Feminine,Gold V-neck dress,Brown flats,"Loose, straight","Minimalist, elegant",Simple design with clean lines
2,Matthew Ames,Fall 2010,Feminine,"Black leather jacket, white turtleneck, black trousers",,"Boxy, oversized","Modern, sleek",Contrast of textures with leather and fabric
3,Matthew Ames,Fall 2010,Feminine,"Gray oversized coat, white turtleneck",Brown flats,"Loose, oversized","Minimalist, contemporary",Monochrome look with a focus on volume
1,Matthew Ames,Fall 2010,Androgynous,"Gray coat, gray trousers, white turtleneck",Gray scarf,"Relaxed, layered","Minimalist, monochrome","Neutral tones, unisex appeal"
2,Matthew Ames,Fall 2010,Feminine,"Camel coat, black trousers, white turtleneck",Gray scarf,"Oversized, cocoon","Minimalist, cozy","Quilted texture, soft draping"
3,Matthew Ames,Fall 2010,Feminine,"Mustard leather jacket, mustard trousers, white turtleneck",,"Voluminous, structured","Bold, modern","Rich color, hooded design"
1,Matthew Ames,Spring 2010,Feminine,"Pink mini dress, black and white coat",Clear heels,Minimalist,"Color-blocking, asymmetrical",Bold color contrast
2,Matthew Ames,Spring 2010,Feminine,"Pink strapless top, green shorts, sheer jacket",Clear heels,Minimalist,"Color-blocking, sheer overlay",Playful color combination
3,Matthew Ames,Spring 2010,Feminine,White sheer dress,Clear heels,Voluminous,"Ethereal, delicate","Sheer fabric, airy silhouette"
1,Matthew Ames,Spring 2010,Feminine,Black and white asymmetrical dress,Clear heels,"Straight, minimal","Monochrome, modern",Bold color contrast
2,Matthew Ames,Spring 2010,Feminine,White oversized tunic dress,Clear heels,"Loose, minimal","Clean, simple",Minimalist aesthetic
3,Matthew Ames,Spring 2010,Feminine,"White mini dress, oversized white jacket",Clear heels,"Structured, minimal","Futuristic, avant-garde",Sculptural jacket design
1,Matthew Ames,Spring 2010,Feminine,White one-shoulder dress,Clear heels,"Asymmetrical, flowing","Minimalist, elegant",Simple yet striking design
2,Matthew Ames,Spring 2010,Feminine,Blue one-shoulder dress,Clear heels,"Asymmetrical, flowing","Minimalist, bold",Rich color with a sleek silhouette
3,Matthew Ames,Spring 2010,Feminine,"Pink strapless mini dress, sheer cape",Clear heels,"Short, airy","Playful, modern",Bright color with a soft overlay
