Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,K Krizia,Spring 2024,Feminine,"White sculptural top, black leggings",Silver ear cuff,"Asymmetrical, fitted","Modern, architectural",Unique pleated design on top
2,K Krizia,Spring 2024,Feminine,Black halter dress with graphic print,Black sunglasses,"Sleek, elongated","Chic, contemporary",Graphic animal print detail
3,K Krizia,Spring 2024,Feminine,"Black asymmetrical crop top, textured black pants",None,"Cut-out, fitted","Edgy, minimalist",Asymmetrical cut-out design
1,K Krizia,Spring 2024,Feminine,Pleated asymmetrical dress,None visible,"Fitted, asymmetrical","Elegant, textured","Ruffled details, metallic sheen"
2,K Krizia,Spring 2024,Feminine,"White graphic top, black skirt","Sunglasses, earrings","Slim, straight","Graphic, modern","Animal print, monochrome"
3,K Krizia,Spring 2024,Feminine,Black strappy dress,None visible,Bodycon,"Minimalist, sleek","Cut-out details, fitted design"
1,K Krizia,Spring 2024,Feminine,"Black ribbed crop top, white wide-leg trousers",Black sunglasses,"Fitted top, wide-leg","Modern, sleek","Contrast of black and white, minimalistic"
2,K Krizia,Spring 2024,Feminine,"White bandeau top, white shorts, white oversized shirt",Silver clutch,"Relaxed, layered","Chic, casual","Monochrome white, relaxed fit"
3,K Krizia,Spring 2024,Feminine,"White trench coat, black undergarment",None visible,"Oversized, structured","Bold, contemporary","Dramatic coat, strong lines"
1,K Krizia,Spring 2024,Feminine,"Black halter top, black midi skirt",Black strappy sandals,"Fitted, sleek","Minimalist, elegant","Asymmetrical top, button detail on skirt"
2,K Krizia,Spring 2024,Feminine,"White cut-out shoulder top, black pants","Black structured handbag, ear cuff","Fitted, modern","Chic, contemporary","Ribbed texture, bold accessories"
3,K Krizia,Spring 2024,Feminine,Black strappy backless dress,None,"Long, flowing","Sophisticated, sleek","Minimalist design, open back"
1,K Krizia,Spring 2024,Feminine,Black pleated dress,Silver earrings,Flowy,"Elegant, minimal","Spaghetti straps, textured fabric"
2,K Krizia,Spring 2024,Feminine,"White graphic crop top, black pants","Black sunglasses, silver earrings",Casual,"Graphic, sporty","Animal print, relaxed fit"
3,K Krizia,Spring 2024,Feminine,"Black cropped jacket, black pants",None,Tailored,"Chic, modern","Structured jacket, monochrome"
1,K Krizia,Spring 2024,Feminine,"Pleated white blouse, black leggings",Silver earrings,"Flowy top, fitted bottom","Elegant, modern","Textured fabric, minimalistic design"
2,K Krizia,Spring 2024,Feminine,Red cut-out dress,"Large sunglasses, silver earrings",Bodycon,"Bold, contemporary","Vibrant color, structured cut-outs"
3,K Krizia,Spring 2024,Feminine,"Brown cropped jacket, brown trousers, black bandeau",Silver earrings,Tailored,"Chic, sophisticated","Cropped silhouette, neutral tones"
1,K Krizia,Spring 2024,Feminine,"Silver ribbed zip-up top, black trousers",None,"Fitted top, relaxed trousers","Minimalist, modern","Textured fabric, sleek lines"
2,K Krizia,Spring 2024,Feminine,"White and black graphic bodysuit, black cargo pants",None,"Fitted top, loose pants","Casual, graphic","Bold print, contrast colors"
3,K Krizia,Spring 2024,Feminine,"Black ruched halter vest, black ruched shorts","Large black sunglasses, hoop earrings","Fitted, body-conscious","Chic, sporty","Textured fabric, coordinated set"
1,K Krizia,Spring 2024,Feminine,"Metallic blazer, matching trousers","Strappy sandals, silver earrings","Tailored, sleek","Modern, chic",Monochrome metallic look
2,K Krizia,Spring 2024,Feminine,"White shirt with leopard print, black shorts",None visible,"Relaxed, casual","Graphic, bold",Animal print detail
3,K Krizia,Spring 2024,Feminine,"Black ruched jacket, cut-out leggings",Silver earrings,"Fitted, edgy","Contemporary, sleek","Textured fabric, cut-out detail"
