Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Eckhaus Latta,Spring 2023,Feminine,"Metallic crop top, white textured pants",,"Relaxed, draped","Casual, artistic","Frayed edges, asymmetrical top"
2,Eckhaus Latta,Spring 2023,Masculine,"Metallic crop top, brown pants",,"Fitted, straight","Edgy, bold","Contrasting textures, cropped top"
3,Eckhaus Latta,Spring 2023,Feminine,"Metallic top, sheer layered skirt",,"Flowing, layered","Ethereal, shimmering","Sheer layers, metallic shine"
1,Eckhaus Latta,Spring 2023,Masculine,"Mesh tank top, textured drawstring pants",,"Relaxed, loose","Casual, airy","Sheer top, natural tones"
2,Eckhaus Latta,Spring 2023,Feminine,Embellished mini dress,Patterned shoes,"Fitted, short","Playful, artistic","Colorful embellishments, spaghetti straps"
3,Eckhaus Latta,Spring 2023,Feminine,"Frayed jacket, matching skirt",Open-toe sandals,"Structured, tailored","Chic, textured","Frayed edges, monochrome look"
1,Eckhaus Latta,Spring 2023,Feminine,"White tank top with red fringe, white pants",Woven shoes,"Relaxed, flowing","Artistic, textured",Intricate fringe detailing
2,Eckhaus Latta,Spring 2023,Masculine,"Blue sleeveless top, red shorts",Metallic boots,"Casual, sporty","Bold, colorful","Contrasting colors, casual vibe"
3,Eckhaus Latta,Spring 2023,Feminine,Striped green and black dress,Red sandals,"Fitted, knee-length","Graphic, modern","Bold stripes, vibrant colors"
1,Eckhaus Latta,Spring 2022,Feminine,"Black cut-out top, asymmetrical skirt",None,"Fitted, asymmetrical","Edgy, modern","Grommet details, layered skirt"
2,Eckhaus Latta,Spring 2022,Masculine,"Black tank top, gray wide-leg pants",None,"Relaxed, casual","Minimalist, urban",Grommet details on top
3,Eckhaus Latta,Spring 2022,Feminine,"Black cut-out top, matching pants",None,"Fitted, streamlined","Edgy, cohesive","Grommet details, matching set"
1,Eckhaus Latta,Spring 2022,Masculine,"Sheer brown sleeveless top, black leather pants",Black boots,"Fitted, sleek","Edgy, modern","Sheer layering, urban vibe"
2,Eckhaus Latta,Spring 2022,Masculine,"Black leather coat, black leather shorts",Black boots,"Relaxed, elongated","Grunge, bold","Tattoo visibility, leather ensemble"
3,Eckhaus Latta,Spring 2022,Feminine,Black asymmetrical dress,Green sandals,"Flowy, asymmetrical","Chic, minimalist","High slit, contrasting footwear"
1,Eckhaus Latta,Spring 2022,Masculine,"Black cut-out top, neon green pants",Black boots,"Fitted top, loose pants","Edgy, modern","Cut-out details, bold color contrast"
2,Eckhaus Latta,Spring 2022,Feminine,Black cut-out dress,Yellow ankle boots,Fitted,"Chic, contemporary","Asymmetrical cut, contrasting stitching"
3,Eckhaus Latta,Spring 2022,Feminine,"Black sleeveless top, sheer draped skirt",Black ankle boots,Draped,"Avant-garde, layered","Sheer fabric, asymmetrical draping"
