Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ralph Rucci,Fall 2009,Feminine,Black fitted jumpsuit,"Black gloves, crossbody straps","Slim, tailored","Sleek, modern","Monochrome, minimalistic"
2,Ralph Rucci,Fall 2009,Feminine,"Black textured coat, black dress","Black gloves, thigh-high boots","Structured, layered","Chic, sophisticated","Textured fabric, glossy accents"
3,Ralph Rucci,Fall 2009,Feminine,"Black tailored blazer, black skirt","Black gloves, patent leather belt","Hourglass, fitted","Elegant, powerful","High slit, strong shoulders"
1,Ralph Rucci,Fall 2009,Feminine,"Black cape, black turtleneck, black skirt","Black gloves, black thigh-high boots","Structured, sleek","Monochrome, elegant","Glossy textures, high collar"
2,Ralph Rucci,Fall 2009,Feminine,Black and white color-block dress,"Black gloves, black thigh-high boots, black handbag","Fitted, modern","Graphic, bold","Asymmetrical design, high contrast"
3,Ralph Rucci,Fall 2009,Feminine,Black jumpsuit,"Black gloves, black headband","Streamlined, tailored","Minimalist, chic","Sheer panel details, sleek lines"
1,Ralph Rucci,Fall 2009,Feminine,"Black dress with white piping, brown hem",Black gloves,A-line,"Minimalist, elegant","Contrast piping, knee-high boots"
2,Ralph Rucci,Fall 2009,Feminine,"Black textured coat, black dress","Black gloves, black tote bag",Structured,"Chic, modern","Belted waist, monochrome"
3,Ralph Rucci,Fall 2009,Feminine,"Sheer brown top, high-waisted trousers, patterned jacket",Fur stole,Tailored,"Sophisticated, luxe","Layered textures, rich tones"
1,Ralph Rucci,Fall 2011,Feminine,"Red fur coat, sheer top, red skirt","Red hood, red thigh-high boots","Voluminous, layered","Bold, monochrome","Dramatic texture, cohesive color"
2,Ralph Rucci,Fall 2011,Feminine,"Red textured coat, red top",Red gloves,"Structured, tailored","Sophisticated, sleek","Glossy finish, strong shoulders"
3,Ralph Rucci,Fall 2011,Feminine,Red sleeveless dress,"Red gloves, red heels","Fitted, flared","Modern, elegant","Cut-out details, minimal accessories"
1,Ralph Rucci,Fall 2011,Feminine,"Red and black fur coat, red thigh-high boots",Red gloves,"Oversized, voluminous","Luxurious, bold","Rich texture, striking color contrast"
2,Ralph Rucci,Fall 2011,Feminine,"Red coat, red dress",Red gloves,"Structured, tailored","Monochrome, sleek","Minimalist design, cohesive color scheme"
3,Ralph Rucci,Fall 2011,Feminine,"Red fur coat, red pants",Red gloves,"Boxy, relaxed","Chic, sophisticated","Textured fur, monochrome layering"
1,Ralph Rucci,Fall 2011,Feminine,Red dress with structured shoulders,"Red gloves, red heels",A-line,"Elegant, bold","High collar, textured fabric"
2,Ralph Rucci,Fall 2011,Feminine,"Red tailored coat, red trousers, red top","Red gloves, red heels",Structured,"Sophisticated, monochrome","Layered tailoring, sleek lines"
3,Ralph Rucci,Fall 2011,Feminine,Red patterned coat with fur trim,"Red gloves, red thigh-high boots",Voluminous,"Opulent, luxurious","Rich textures, intricate patterns"
1,Ralph Rucci,Spring 2011,Feminine,"Black sheer top, tiered skirt","Black clutch, black bracelet","A-line, fitted","Elegant, modern","Sheer fabric, structured layers"
2,Ralph Rucci,Spring 2011,Feminine,"Black blazer with sheer panels, black trousers",Black clutch,"Tailored, sleek","Chic, sophisticated","Sheer detailing, tailored fit"
