Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Emporio Armani,Fall 2022,Feminine,"Pink and black textured coat, black dress, black leather pants","Black clutch, sunglasses","Layered, voluminous","Bold, colorful","Textured fabric, color blocking"
2,Emporio Armani,Fall 2022,Masculine,"Gray double-breasted blazer, red shirt, black velvet pants",Mirrored sunglasses,"Structured, tailored","Classic, sophisticated","Contrasting textures, sharp tailoring"
3,Emporio Armani,Fall 2022,Feminine,"Patterned coat, black vinyl top, black leather pants","Black handbag, red earrings","Fitted, sleek","Modern, edgy","Graphic patterns, high contrast"
1,Emporio Armani,Fall 2022,Feminine,"Multicolored fur jacket, black dress",Red handbag,"Boxy, oversized","Bold, colorful",Striped fur pattern
2,Emporio Armani,Fall 2022,Masculine,"Gray quilted coat, black top, gray trousers",Patterned scarf,"Relaxed, longline","Textured, layered",Monochrome with subtle texture
3,Emporio Armani,Fall 2022,Masculine,"Gray suit, black scarf",Black handbag,"Tailored, structured","Classic, sophisticated","Herringbone pattern, monochrome"
1,Emporio Armani,Fall 2022,Feminine,"Gray tailored jacket, patterned top, gray trousers",,"Relaxed, tailored","Chic, elegant","Subtle pattern mixing, monochrome palette"
2,Emporio Armani,Fall 2022,Masculine,"Gray belted coat, quilted top, gray trousers","Gray beret, black gloves","Relaxed, structured","Classic, sophisticated","Textured fabrics, cohesive accessories"
3,Emporio Armani,Fall 2022,Masculine,"Gray belted coat, quilted top, gray skirt","Gray beret, backpack","Layered, structured","Modern, edgy","Mix of textures, bold layering"
1,Emporio Armani,Spring 2015,Feminine,"Oversized light gray coat, navy cropped pants","Blue sunglasses, patterned sneakers","Relaxed, oversized","Casual, sporty","Layered coat, minimal color palette"
2,Emporio Armani,Spring 2015,Feminine,"Light gray fitted jacket, navy cropped pants","Blue sunglasses, black clutch, patterned sneakers","Tailored, fitted","Chic, modern","Structured jacket, sleek silhouette"
3,Emporio Armani,Spring 2015,Feminine,"White double-breasted blazer, striped top, navy cropped pants","Small blue handbag, white sneakers","Tailored, relaxed","Classic, nautical","Striped pattern, structured blazer"
1,Emporio Armani,Spring 2015,Feminine,"Crocodile-textured jacket, striped skirt","White perforated tote, navy sneakers","A-line, cropped","Casual, sporty","Mix of textures, nautical influence"
2,Emporio Armani,Spring 2015,Feminine,"Striped crop top, matching skirt","White bucket bag, black slip-on shoes","A-line, cropped","Casual, sporty","Monochrome stripes, relaxed fit"
3,Emporio Armani,Spring 2015,Feminine,"White tailored jacket, navy trousers","White crossbody bag, black strappy sandals","Relaxed, tailored","Chic, minimalist","Crisp tailoring, monochrome palette"
1,Emporio Armani,Spring 2015,Feminine,"Patterned jacket, metallic cropped pants","Round sunglasses, white handbag","Relaxed, cropped","Modern, chic","Geometric patterns, metallic accents"
2,Emporio Armani,Spring 2015,Feminine,"Navy sweater, black shorts","Navy crossbody bag, white sandals","Casual, relaxed","Minimalist, sporty","Clean lines, casual elegance"
1,Emporio Armani,Spring 2007,Feminine,"Black sleeveless top, black skirt",None,"Fitted top, flared skirt","Chic, elegant",Simple yet sophisticated
2,Emporio Armani,Spring 2007,Masculine,"Dark suit, light blue shirt, gray tie","Glasses, pocket square","Tailored, classic","Formal, business","Sharp tailoring, polished look"
3,Emporio Armani,Spring 2007,Feminine,"Gray coat, black top, red skirt",Metallic headpiece,"Structured coat, voluminous skirt","Bold, avant-garde","Contrasting colors, statement headpiece"
1,Emporio Armani,Spring 2007,Feminine,"Black blazer, red top, printed skirt","Gray handbag, black hat",A-line,"Playful, chic","Bold print skirt, contrast colors"
2,Emporio Armani,Spring 2007,Feminine,Black strapless dress,"Black heels, silver bangles, black headpiece",A-line,"Elegant, modern","Button detail on bodice, sleek silhouette"
3,Emporio Armani,Spring 2007,Feminine,Red and black strapless dress,"Black handbag, black headpiece",A-line,"Sophisticated, bold","Color block design, button detail"
1,Emporio Armani,Spring 2007,Feminine,"Gray cropped jacket, striped crop top, black skirt","Black hat, metallic belt, silver heels",A-line,"Chic, youthful",Playful mix of textures
2,Emporio Armani,Spring 2007,Feminine,"Black cropped jacket, striped crop top, black skirt","Black hat, metallic belt, silver heels",A-line,"Chic, youthful",Consistent theme with subtle variations
3,Emporio Armani,Spring 2007,Feminine,"Gray layered dress, gray blazer","Gray hat, sunglasses, gold belt, gold heels",Layered,"Sophisticated, modern",Structured layers with metallic accents
