Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Veronica Beard,Spring 2017,Feminine,"Navy double-breasted blazer, red floral blouse, navy cropped trousers",Black pointed flats,"Tailored, fitted","Classic, professional","Patriotic backdrop, structured tailoring"
2,Veronica Beard,Spring 2017,Feminine,"Blush ruffled blouse, white wide-leg trousers",Nude pumps,"Flowy, relaxed","Romantic, elegant","Leopard print wall, soft color palette"
3,Veronica Beard,Spring 2017,Feminine,"Plaid blazer, white lace top, rust ruffled skirt",Nude strappy sandals,"Playful, structured","Chic, modern","Leopard print wall, mix of textures"
1,Veronica Beard,Spring 2017,Feminine,"Striped top, checked blazer, checked pants",Navy strappy heels,"Tailored, fitted","Casual chic, pattern mixing",Mix of stripes and checks
2,Veronica Beard,Spring 2017,Feminine,"Red blazer, red pants, camel coat",Nude strappy heels,"Slim, structured","Bold, sophisticated",Bright red suit with neutral coat
3,Veronica Beard,Spring 2017,Feminine,Light blue shirtdress,Navy strappy heels,"Relaxed, cinched waist","Effortless, casual",Soft shirtdress with waist tie
1,Veronica Beard,Spring 2017,Feminine,"Striped sweater, gingham skirt",,"Fitted, playful","Casual, chic","Mix of patterns, bold stripes"
2,Veronica Beard,Spring 2017,Feminine,"Cream suit, burgundy blouse",Nude pumps,"Tailored, elegant","Sophisticated, polished","Contrasting blouse cuffs, sleek lines"
3,Veronica Beard,Spring 2017,Feminine,"Rust blazer, printed blouse, khaki pants",Patterned scarf,"Structured, layered","Eclectic, vintage-inspired","Animal print backdrop, mix of textures"
1,Veronica Beard,Fall 2014,Feminine,"Black leather jacket, black culottes",Color-blocked heels,"Structured, A-line","Edgy, modern","Asymmetrical zipper, sleek leather"
2,Veronica Beard,Fall 2014,Feminine,"Printed dress, textured black coat",Color-blocked heels,"A-line, layered","Eclectic, bold","Mix of textures, vibrant print"
3,Veronica Beard,Fall 2014,Feminine,"Patterned sweater, black trousers",Color-blocked heels,"Straight, relaxed","Casual, chic","Contrasting patterns, relaxed fit"
1,Veronica Beard,Fall 2014,Feminine,"Navy coat, black leather vest, blue patterned skirt",Silver metallic heels,"Layered, structured","Edgy, modern","Mix of textures, bold colors"
2,Veronica Beard,Fall 2014,Feminine,"Brown leather top, blue and brown patterned pants",Color-blocked heels,"A-line, relaxed","Chic, sophisticated","Rich textures, muted tones"
3,Veronica Beard,Fall 2014,Feminine,Striped textured dress,Color-blocked heels,"Fitted, short","Playful, bold","Textured stripes, vibrant contrast"
1,Veronica Beard,Fall 2014,Feminine,"Blue patterned dress, black and brown coat with fur collar",Silver metallic heels,"A-line, layered","Luxurious, bold","Rich textures, statement fur"
2,Veronica Beard,Fall 2014,Feminine,"Black textured top, burgundy leather skirt",Black strappy heels,"Boxy, structured","Chic, sophisticated","Wide sleeves, leather detailing"
3,Veronica Beard,Fall 2014,Feminine,Black wrap jumpsuit,Silver metallic heels,"Slim, tailored","Minimalist, elegant","Deep V-neck, sleek lines"
