Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Monique Lhuillier,Fall 2008,Feminine,"Gold one-shoulder dress, black tights",,"Fitted, draped","Elegant, sophisticated","Asymmetrical neckline, metallic sheen"
2,Monique Lhuillier,Fall 2008,Feminine,"Black and gold embroidered coat, black skirt, black tights",Statement necklace,"Tailored, structured","Opulent, baroque","Intricate embroidery, bold contrast"
3,Monique Lhuillier,Fall 2008,Feminine,"Gray wrap dress with fur cuffs, black tights",Wide belt with embellishment,"Hourglass, cinched","Chic, luxurious","Textured fabric, fur detailing"
1,Monique Lhuillier,Fall 2008,Feminine,Olive green satin dress,"Feather collar, headband","Fitted, knee-length","Elegant, sophisticated","Rich color, feather detail"
2,Monique Lhuillier,Fall 2008,Feminine,Gray embellished gown,Headband,"Fitted, floor-length","Glamorous, intricate","Feather embellishments, deep neckline"
3,Monique Lhuillier,Fall 2008,Feminine,"Gray pencil skirt, ruffled top","Belt, headband","Structured, voluminous top","Chic, modern","Textured ruffles, ombre effect"
1,Monique Lhuillier,Fall 2008,Feminine,Black and gold embroidered dress,"Black headband, bracelet","Straight, knee-length","Ornate, elegant","Intricate embroidery, bold contrast"
2,Monique Lhuillier,Fall 2008,Feminine,"Gold metallic top, cream textured skirt","Black belt, black headband","A-line, knee-length","Textured, chic","Metallic sheen, contrasting textures"
3,Monique Lhuillier,Fall 2008,Feminine,Gray fitted dress with fur trim,Black headband,"Fitted, knee-length","Sophisticated, modern","Fur detail, sleek lines"
1,Monique Lhuillier,Spring 2012,Feminine,Blue and black strapless dress,Strappy black heels,"Fitted, hourglass","Bold, graphic",Color-blocking with a structured bodice
2,Monique Lhuillier,Spring 2012,Feminine,"Blue sleeveless top, black pants",Strappy black heels,"Slim, tailored","Minimalist, chic",Contrasting top and bottom with clean lines
3,Monique Lhuillier,Spring 2012,Feminine,Black sleeveless dress,Strappy black heels,"Fitted, sleek","Elegant, sophisticated",Asymmetrical hem with a classic silhouette
1,Monique Lhuillier,Spring 2012,Feminine,Blue dress with black leather sleeves,Black strappy heels,"Straight, fitted","Modern, sleek",Color-blocking with leather accents
2,Monique Lhuillier,Spring 2012,Feminine,"Color-blocked dress in black, blue, and white",Black strappy heels,Bodycon,"Contemporary, graphic",Geometric paneling
3,Monique Lhuillier,Spring 2012,Feminine,Black coat with leather front panel,Black strappy heels,"Straight, structured","Chic, edgy","Leather detailing, minimalistic design"
1,Monique Lhuillier,Spring 2012,Feminine,"Black sleeveless top, blue and black sequin skirt",Strappy black heels,"Fitted, straight","Chic, modern",Color-blocking with sequins
2,Monique Lhuillier,Spring 2012,Feminine,Black and white strapless dress,Strappy black heels,"Fitted, hourglass","Elegant, monochrome",Contrast paneling for slimming effect
3,Monique Lhuillier,Spring 2012,Feminine,Black off-the-shoulder dress,Strappy black heels,"Fitted, sheath","Sophisticated, sleek",Minimalist design with focus on silhouette
1,Monique Lhuillier,Fall 2015,Feminine,Burgundy lace dress,Burgundy clutch,"Fitted, midi-length","Elegant, floral","High neckline, sheer detailing"
2,Monique Lhuillier,Fall 2015,Feminine,Black lace dress,None visible,"Fitted, midi-length","Sophisticated, floral","Cap sleeves, high neckline"
3,Monique Lhuillier,Fall 2015,Feminine,"Floral print coat, black turtleneck",Green clutch,"Structured, knee-length","Bold, patterned","Belted waist, vibrant colors"
1,Monique Lhuillier,Fall 2015,Feminine,"Teal lace dress with floral embroidery, long sleeves","Black sheer tights, black heels",A-line,"Elegant, intricate",Floral lace overlay
2,Monique Lhuillier,Fall 2015,Feminine,"Purple lace dress with floral embroidery, sleeveless","Black sheer tights, purple heels",A-line,"Sophisticated, detailed",Rich color palette
3,Monique Lhuillier,Fall 2015,Feminine,"Black lace top with floral embroidery, full skirt","Black sheer tights, patterned heels",Fit and flare,"Chic, classic","Textured fabric, cutout details"
1,Monique Lhuillier,Fall 2015,Feminine,Floral jacquard dress,Blue heels,"A-line, fitted bodice","Elegant, floral",Intricate lace detailing on shoulders
2,Monique Lhuillier,Fall 2015,Feminine,"One-shoulder top, floral jacquard skirt",Purple heels,"A-line, asymmetric","Chic, evening wear",Metallic sheen on top
3,Monique Lhuillier,Fall 2015,Feminine,"Lace top, floral jacquard pants, fur jacket",,"Slim, layered","Luxurious, textured","Rich purple tones, lace gloves"
1,Monique Lhuillier,Fall 2012,Feminine,"Red and black lace dress, leather belt","Black gloves, strappy heels",Fit and flare,"Elegant, bold","Leather details, floral lace pattern"
2,Monique Lhuillier,Fall 2012,Feminine,"Black and red sheath dress, leather belt","Black gloves, strappy heels","Slim, fitted","Sophisticated, dramatic","High contrast, sleek silhouette"
3,Monique Lhuillier,Fall 2012,Feminine,"Black blouse, red and black lace skirt, leather belt",Strappy heels,"Pencil, tailored","Chic, refined","Sheer blouse, lace detailing"
1,Monique Lhuillier,Fall 2012,Feminine,"Red blouse, black high-waisted pants",None,"Slim, tailored","Bold, elegant","High contrast with red and black, sleek lines"
2,Monique Lhuillier,Fall 2012,Feminine,Black dress with leather detailing,Black gloves,"Fitted, structured","Chic, sophisticated","Leather accents, cap sleeves"
3,Monique Lhuillier,Fall 2012,Feminine,Red leather dress,"Black belt, black gloves","A-line, cinched waist","Modern, striking","Bold red leather, defined waist"
1,Monique Lhuillier,Fall 2012,Feminine,Black jumpsuit with leather panels,Black gloves,"Fitted, sleek","Modern, edgy",Contrast of textures with leather
2,Monique Lhuillier,Fall 2012,Feminine,Printed long-sleeve dress,Black belt,"Fitted, knee-length","Artistic, bold",Abstract print with dark tones
3,Monique Lhuillier,Fall 2012,Feminine,Textured gray sleeveless dress,"Black gloves, black belt","A-line, structured","Elegant, classic",Rich texture with a cinched waist
