Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Petar Petrov,Spring 2024,Feminine,"Beige oversized blazer, beige slit skirt",Large beige tote,"Oversized, structured","Chic, minimalist","Neutral tones, relaxed fit"
2,Petar Petrov,Spring 2024,Feminine,Yellow and white striped jumpsuit,Orange tote bag,"Loose, flowing","Casual, vibrant","Bold stripes, relaxed silhouette"
3,Petar Petrov,Spring 2024,Masculine,"White draped top, yellow high-waisted trousers",,"Fitted top, wide-leg pants","Modern, elegant","Asymmetrical draping, soft colors"
1,Petar Petrov,Spring 2024,Feminine,"Tan blazer, tan skirt",Black sandals,"Structured, tailored","Chic, sophisticated","Neutral palette, business casual"
2,Petar Petrov,Spring 2024,Feminine,Green halter dress,Silver hoop earrings,"Flowy, draped","Elegant, vibrant","Bright color, evening wear"
3,Petar Petrov,Spring 2024,Feminine,"Black blazer, black sheer dress",Green fringe sandals,"Boxy, layered","Edgy, modern","Monochrome with pop of color, bold accessories"
1,Petar Petrov,Spring 2024,Feminine,Beige long-sleeve dress,Silver hoop earrings,"Fitted, floor-length","Elegant, modern",Features a high slit and draped detailing
2,Petar Petrov,Spring 2024,Masculine,"Black long coat, deep V-neck top, wide-leg trousers",Sunglasses,"Oversized, relaxed","Chic, sophisticated",Monochrome look with a deep neckline
3,Petar Petrov,Spring 2024,Feminine,"Black vest, green ribbed skirt",Silver ring,"Fitted, sleek","Bold, contemporary","Skirt features a high slit, paired with feathered shoes"
1,Petar Petrov,Spring 2023,Feminine,"Black blazer, white shirt, black shorts",Black sunglasses,"Relaxed, tailored","Chic, modern",Classic black and white ensemble
2,Petar Petrov,Spring 2023,Feminine,"White oversized shirt, white flared pants",Black sunglasses,"Flowy, oversized","Minimalist, elegant",Monochrome white look
3,Petar Petrov,Spring 2023,Feminine,Black cut-out dress,Black sunglasses,"Fitted, edgy","Bold, contemporary",Cut-out details add interest
1,Petar Petrov,Spring 2023,Feminine,"White oversized blazer, white top, white shorts","Black sandals, sunglasses","Relaxed, oversized","Casual, chic","Monochrome look, outdoor setting"
2,Petar Petrov,Spring 2023,Masculine,"Striped shirt, brown fringe pants","Sunglasses, black shoes","Loose, flowing","Eclectic, avant-garde","Fringe details, bold stripes"
3,Petar Petrov,Spring 2023,Feminine,Olive green cut-out dress,Beige sandals,"Fitted, asymmetric","Modern, edgy","Cut-out details, tied elements"
1,Petar Petrov,Spring 2023,Feminine,"Brown blazer, striped shirt, brown shorts",Sunglasses,"Relaxed, casual","Effortless, chic",Movement captured in outdoor setting
2,Petar Petrov,Spring 2023,Feminine,"Brown fringe dress, brown pants",None,"Flowy, elongated","Bohemian, artistic",Fringe details create dynamic movement
3,Petar Petrov,Spring 2023,Feminine,"White top, brown suede pants",Sunglasses,"Slim, flared","Casual, modern",Contrasting textures with suede and knit
