Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Felder Felder,Spring 2013,Feminine,"Peach blazer, sheer white blouse, peach pants",Yellow platform heels,"Tailored, relaxed","Chic, sophisticated",Monochrome look with sheer details
2,Felder Felder,Spring 2013,Feminine,Leopard print sleeveless dress,Black platform heels,"A-line, flared","Playful, bold","Colorful leopard print, cinched waist"
3,Felder Felder,Spring 2013,Feminine,"Leopard print crop top, matching skirt, light coat",Beige platform heels,"Loose, layered","Trendy, youthful",Mix of prints with light layering
1,Felder Felder,Spring 2013,Feminine,"Leopard print sheer dress, nude bodysuit","Sunglasses, nude platform sandals","Flowy, relaxed","Animal print, sheer","Deep V-neck, lightweight fabric"
2,Felder Felder,Spring 2013,Feminine,"Mint crop top, leopard print skirt","Shoulder bag, silver platform sandals","A-line, playful","Casual, chic","High waist, airy movement"
3,Felder Felder,Spring 2013,Feminine,"Leopard print sheer maxi dress, nude bodysuit",Black platform sandals,"Flowy, dramatic","Animal print, sheer","Deep V-neck, elongated silhouette"
1,Felder Felder,Spring 2013,Feminine,Blue sleeveless mini dress,Beige platform sandals,"A-line, fitted","Chic, youthful","Flowy fabric, minimalistic design"
2,Felder Felder,Spring 2013,Feminine,"Mint halter top, blue shorts","Sunglasses, beige shoulder bag, leopard print platform sandals","Relaxed, casual","Trendy, playful","Color contrast, casual elegance"
3,Felder Felder,Spring 2013,Feminine,Blue halter neck gown,Silver platform sandals,"Flowy, elegant","Sophisticated, glamorous","High slit, flowing silhouette"
1,Felder Felder,Fall 2013,Feminine,"Burgundy coat with fur panel, turtleneck","Burgundy hat, black pumps","Tailored, knee-length","Chic, elegant","Rich color palette, texture contrast"
2,Felder Felder,Fall 2013,Feminine,"Burgundy patent leather jacket, knit sweater, patent leather pants",Black pumps,"Slim, fitted","Bold, modern","High-shine materials, monochrome look"
3,Felder Felder,Fall 2013,Feminine,"Fur top, sheer long-sleeve blouse, printed skirt",Blue pumps,"A-line, voluminous","Romantic, playful","Mix of textures, sheer elements"
1,Felder Felder,Fall 2013,Feminine,"Textured coat, matching textured suit, beige blouse",Black pumps,"Oversized, structured","Textured, monochrome","Rich texture, warm tones"
2,Felder Felder,Fall 2013,Feminine,"Silver metallic blouse, quilted beige skirt",Black pumps,"Tailored, sleek","Metallic, quilted",Contrast of metallic and quilted textures
3,Felder Felder,Fall 2013,Feminine,"Transparent coat, beige turtleneck, beige skirt",Nude pumps,"Sheer, fitted","Sheer, modern","Play with transparency, nude tones"
1,Felder Felder,Fall 2013,Feminine,Red patterned sleeveless dress,Black heels,"A-line, fitted","Chic, elegant","Textured fabric, bold color"
2,Felder Felder,Fall 2013,Feminine,"Burgundy knit sweater, pink latex pants","Burgundy hat, bracelet","Relaxed, fitted","Eclectic, modern","Contrast of textures, bold accessories"
3,Felder Felder,Fall 2013,Masculine,"Burgundy velvet blazer, matching pants, velvet crop top",Black heels,"Tailored, structured","Sophisticated, edgy","Monochrome look, velvet texture"
