Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Black puffer coat, floral quilted blanket, black lace dress",None visible,"Oversized, layered","Eclectic, avant-garde",Mix of textures and prints
2,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Purple and white shearling coat, black leather dress, floral quilted blanket",None visible,"Oversized, voluminous","Bold, textured",Contrasting colors and patterns
3,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Cream knit sweater, pink embellished scarf, leopard print quilted blanket",Fur hat,"Oversized, cozy","Layered, eclectic",Mix of knitwear and prints
1,Preen by Thornton Bregazzi,Fall 2024,Androgynous,"Black bomber jacket, lace dress",Fur hat,"Layered, relaxed","Eclectic, edgy","Mix of textures, oversized hat"
2,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Black tailored blazer, high-waisted pants",,"Structured, cinched waist","Modern, bold","Gold button details, exaggerated waist"
3,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Gray sweater, lime green skirt",,"Fitted, layered","Casual, chic","Textured skirt, soft color contrast"
1,Preen by Thornton Bregazzi,Fall 2024,Feminine,Sheer embellished dress with feather details,None visible,"Straight, flowing","Ethereal, delicate","Pastel colors, intricate embellishments"
2,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Gray sweater, blue shirt, floral quilted skirt",Large fur hat,"Voluminous, layered","Eclectic, cozy","Mix of textures, oversized hat"
3,Preen by Thornton Bregazzi,Fall 2024,Feminine,"Floral dress, gray coat, quilted jacket",None visible,"Layered, voluminous","Romantic, vintage-inspired","Floral patterns, checkered lining"
1,Preen by Thornton Bregazzi,Fall 2012,Feminine,"White top with orange stripe, floral pencil skirt",Olive green ankle boots,"Fitted, knee-length","Floral, color-blocking",Bold floral print with bright orange accents
2,Preen by Thornton Bregazzi,Fall 2012,Feminine,White dress with button detail and orange cuffs,Black ankle boots,"A-line, knee-length","Minimalist, modern",Asymmetrical button detail with color-blocked cuffs
3,Preen by Thornton Bregazzi,Fall 2012,Feminine,"Sheer lace top, floral and butterfly print skirt",Black ankle boots,"Fitted, knee-length","Sheer, eclectic",Mix of sheer lace and bold prints with bright accents
1,Preen by Thornton Bregazzi,Fall 2012,Feminine,"Cream coat with fur panel, black and orange sleeve accents",Black ankle boots,"Structured, straight","Modern, minimalist","Contrasting sleeve colors, fur texture"
2,Preen by Thornton Bregazzi,Fall 2012,Feminine,"Floral print blouse, orange pencil skirt",Beige lace-up ankle boots,"Fitted, tailored","Eclectic, vibrant","Bold floral print, bright color contrast"
3,Preen by Thornton Bregazzi,Fall 2012,Feminine,"White and orange fur vest, white skirt",Black ankle boots,"Layered, straight","Textured, bold","Fur layering, color blocking"
1,Preen by Thornton Bregazzi,Fall 2012,Feminine,"Floral turtleneck top, orange high-waisted trousers",Green platform boots,"Tailored, high-waisted","Floral, bold",Contrast between floral top and solid trousers
2,Preen by Thornton Bregazzi,Fall 2012,Feminine,Color-blocked dress with floral panel,Green platform boots,"Straight, knee-length","Color-blocked, modern",Mix of solid colors with floral print
3,Preen by Thornton Bregazzi,Fall 2012,Feminine,"Beige blouse with orange collar, floral pencil skirt",Floral platform boots,"Fitted, knee-length","Floral, classic",Bright collar detail adds a pop of color
