Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rodebjer,Fall 2016,Feminine,"Red knit dress, red knit pants",White mesh cape with pearls,"Flowy, layered","Elegant, textured","Rich red color, mesh detailing"
2,Rodebjer,Fall 2016,Feminine,"Red knit tunic, red knit pants",White mesh cape with pearls,"Straight, relaxed","Sophisticated, minimalist","Monochrome look, subtle embellishments"
3,Rodebjer,Fall 2016,Feminine,White lace dress,Black platform boots,"A-line, asymmetrical","Romantic, vintage-inspired","Intricate lace, contrast footwear"
1,Rodebjer,Fall 2016,Feminine,"Black lace blouse, black wide-leg pants",Platform ankle boots,"Relaxed, flowing","Romantic, gothic",Intricate lace detailing
2,Rodebjer,Fall 2016,Feminine,"Black deep V-neck dress, black flared pants",Mesh choker,"Layered, elongated","Edgy, sophisticated",Mesh overlay adds texture
3,Rodebjer,Fall 2016,Feminine,"Black lace top, black layered skirt, black pants","Mesh choker, platform shoes","Layered, voluminous","Ethereal, dark",Layered lace creates depth
1,Rodebjer,Fall 2016,Feminine,"Black ruffled top, black asymmetrical skirt",Platform boots,"Flowing, layered","Edgy, modern","Off-shoulder detail, monochrome look"
2,Rodebjer,Fall 2016,Feminine,"Camel sleeveless coat dress, black lace underlay",Mesh scarf,"Tailored, layered","Chic, sophisticated","Belted waist, lace accents"
3,Rodebjer,Fall 2016,Feminine,"Camel coat, camel sleeveless coat dress","Mesh scarf, aviator glasses","Tailored, layered","Chic, sophisticated","Layered outerwear, tall boots"
1,Rodebjer,Fall 2015,Feminine,"Black fur coat, sheer geometric dress",Black lace-up shoes,"Fitted, layered","Edgy, avant-garde","Geometric patterns, sheer elements"
2,Rodebjer,Fall 2015,Feminine,"Black oversized top, black wide-leg pants",Black lace-up shoes,"Loose, flowing","Minimalist, relaxed","Monochrome, oversized sleeves"
3,Rodebjer,Fall 2015,Feminine,"Brown dress with black geometric overlay, asymmetrical leather vest",Black lace-up shoes,"Layered, asymmetrical","Eclectic, modern","Mixed textures, geometric overlay"
1,Rodebjer,Fall 2015,Feminine,"Brown layered coat, brown trousers, black fur stole",Gold shoes,"Layered, relaxed","Earthy, bohemian","Textured layers, warm tones"
2,Rodebjer,Fall 2015,Feminine,Blue and mustard patterned dress,Brown lace-up shoes,"Flowy, relaxed","Artistic, eclectic","Bold print, soft movement"
3,Rodebjer,Fall 2015,Feminine,Blue and mustard patterned dress with keyhole neckline,Brown lace-up shoes,"Flowy, relaxed","Artistic, eclectic","Bold print, dramatic neckline"
1,Rodebjer,Fall 2015,Feminine,Black belted coat dress,Black lace-up shoes,"Relaxed, flowing","Edgy, modern","Shiny fabric, cinched waist"
2,Rodebjer,Fall 2015,Feminine,"Black sleeveless coat, patterned turtleneck",Blue lace-up shoes,"Layered, voluminous","Sporty, chic","Mix of textures, casual footwear"
3,Rodebjer,Fall 2015,Feminine,"Black fur jacket, asymmetrical skirt",Gold lace-up shoes,"Structured, layered","Luxurious, contemporary","Fur texture, high-low hem"
1,Rodebjer,Fall 2013,Feminine,"Gray textured dress, gray fur-like shawl",None,"Structured, layered","Textured, cozy","Bold fur-like texture, monochrome"
2,Rodebjer,Fall 2013,Feminine,"Gray textured top and pants, camel coat",None,"Relaxed, layered","Textured, casual","Neutral tones, cozy layers"
3,Rodebjer,Fall 2013,Feminine,"Peach knit sweater, black pants",None,"Relaxed, oversized","Textured, casual","Chunky knit, contrasting textures"
1,Rodebjer,Fall 2013,Feminine,"Gray hooded blazer, textured sweater, gray trousers",None,"Tailored, layered","Monochrome, structured",Hood adds a casual element
2,Rodebjer,Fall 2013,Feminine,"Gray oversized blazer, gray trousers",Gray knit scarf,"Relaxed, oversized","Minimalist, androgynous",Deep V-neck adds boldness
3,Rodebjer,Fall 2013,Feminine,Gray dress with black ruffle details,Brown knee-high boots,A-line,"Playful, feminine",Ruffles add texture and movement
