Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ellery,Spring 2021,Feminine,"Black leather top, burgundy sequin skirt",Large black earrings,A-line,"Glamorous, edgy",Mix of textures with leather and sequins
2,Ellery,Spring 2021,Feminine,Black and white graffiti coat,Large black earrings,Straight,"Urban, bold","Graffiti print, structured coat"
3,Ellery,Spring 2021,Feminine,White asymmetrical dress,Gold choker,"Loose, draped","Minimalist, avant-garde","Off-shoulder, layered fabric"
1,Ellery,Spring 2021,Feminine,White and black asymmetrical dress,Black high-heeled sandals,"Voluminous, structured","Avant-garde, monochrome",Features a dramatic puffed skirt and contrasting shoulder detail
2,Ellery,Spring 2021,Feminine,"Houndstooth coat, red dress","Gold earrings, layered necklaces","Tailored, layered","Eclectic, bold",Ruffled sleeves and unique shoe design with grass-like detail
3,Ellery,Spring 2021,Feminine,"Black and white pleated coat, black trousers",Pearl-embellished earrings,"Oversized, flowing","Modern, monochrome",Features contrasting pleats and a relaxed fit
1,Ellery,Spring 2021,Feminine,"Black tailored jacket, black cropped pants","Gold button details, statement earrings","Structured, tailored","Chic, modern",Asymmetrical ruffle detail on sleeve
2,Ellery,Spring 2021,Feminine,White halter dress with black abstract pattern,Minimal accessories,"A-line, flowing","Artistic, bold","Graphic print, minimal styling"
3,Ellery,Spring 2021,Feminine,"Black crop top, black wide-leg pants","White belt, statement earrings","Voluminous, dramatic","Avant-garde, elegant","Exaggerated sleeves, monochrome look"
1,Ellery,Fall 2014,Feminine,"Black pleated dress, white scarf",None,"A-line, asymmetric","Elegant, modern","Deep V-neck, pleated skirt"
2,Ellery,Fall 2014,Feminine,"Black embroidered dress, white scarf",None,"A-line, flared sleeves","Dramatic, intricate","Bell sleeves, textured fabric"
3,Ellery,Fall 2014,Feminine,"Black fur coat, black top, black pants",Silver sandals,"Straight, long","Luxurious, sophisticated","Textured coat, minimalistic ensemble"
1,Ellery,Fall 2014,Feminine,Black sleeveless dress with textured pattern,Black strappy heels,A-line,"Elegant, sophisticated","Textured fabric, high neckline"
2,Ellery,Fall 2014,Feminine,"Black strapless top, black trousers",Black strappy heels,Relaxed,"Chic, modern","Strapless top, loose trousers"
3,Ellery,Fall 2014,Feminine,Black short-sleeve dress with textured pattern,Black strappy heels,Straight,"Classic, refined","Textured fabric, structured sleeves"
1,Ellery,Fall 2014,Feminine,Green and black long-sleeve dress,Black and white scarf,A-line,"Elegant, modern","Deep V-neck, color block"
2,Ellery,Fall 2014,Feminine,Black sleeveless dress,None,A-line,"Minimalist, chic","Pleated skirt, structured shoulders"
3,Ellery,Fall 2014,Feminine,"Green cropped jacket, black ruffled skirt",Black and white scarf,High-low,"Dramatic, avant-garde","Layered ruffles, bold structure"
