Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jeremy Laing,Spring 2009,Feminine,"Sheer patterned dress, black belt",Black open-toe shoes,"Flowy, layered","Ethereal, delicate","Lightweight fabric, subtle pattern"
2,Jeremy Laing,Spring 2009,Feminine,"Cut-out top, two-tone skirt",Beige lace-up shoes,"Voluminous, flowing","Textured, airy","Contrasting textures, soft colors"
3,Jeremy Laing,Spring 2009,Feminine,"Oversized white coat, cut-out skirt",Beige lace-up shoes,"Boxy, layered","Minimalist, avant-garde","Play on proportions, structured top"
1,Jeremy Laing,Spring 2009,Feminine,"Sheer white crop top, white midi skirt",Beige open-toe booties,"A-line, voluminous","Ethereal, airy","Sheer layers, light fabric"
2,Jeremy Laing,Spring 2009,Feminine,"White oversized jacket, white cycling shorts",Black open-toe heels,"Boxy, relaxed","Minimalist, modern","Structured jacket, monochrome"
3,Jeremy Laing,Spring 2009,Feminine,"White asymmetrical top, gray draped skirt",Beige open-toe booties,"Draped, flowing","Avant-garde, contemporary","Layered textures, asymmetrical cut"
1,Jeremy Laing,Spring 2009,Feminine,"Sheer white blouse, beige shorts",Black sandals,"Relaxed, casual","Minimalist, airy","Lightweight fabric, neutral tones"
2,Jeremy Laing,Spring 2009,Feminine,"Yellow dress, olive green coat","Black belt, black sandals","Layered, structured","Bold, contrasting","Textured belt, bright color pop"
3,Jeremy Laing,Spring 2009,Feminine,Sheer gray dress,Black sandals,"Flowy, ethereal","Minimalist, sheer","Layered transparency, soft silhouette"
1,Jeremy Laing,Spring 2007,Feminine,"Dark gray blazer, white top, cropped pants",Strappy sandals,"Relaxed, tailored","Casual chic, modern","Rolled-up pants, minimalistic design"
2,Jeremy Laing,Spring 2007,Feminine,"White asymmetrical top, dark gray trousers",Black strappy sandals,"Loose, draped","Effortless, contemporary","Layered top, contrasting colors"
3,Jeremy Laing,Spring 2007,Feminine,White sleeveless dress,Beige sandals,"Flowy, asymmetrical","Elegant, minimalist","Soft draping, simple silhouette"
1,Jeremy Laing,Spring 2007,Feminine,Strapless denim romper,Black belt,"Fitted, short","Casual, chic",Minimalist design with a focus on structure
2,Jeremy Laing,Spring 2007,Feminine,Beige maxi dress with black accent,None,"Loose, flowing","Relaxed, elegant",Contrasting neckline adds visual interest
3,Jeremy Laing,Spring 2007,Feminine,"Navy coat, white top, navy pants",None,"Layered, tailored","Sophisticated, modern",Monochrome layering with a belted waist
1,Jeremy Laing,Spring 2007,Feminine,"Gray blazer, white top, navy shorts","Black belt, black sandals","Relaxed, tailored","Casual, chic",Soft tailoring with a casual vibe
2,Jeremy Laing,Spring 2007,Feminine,"Striped vest, black top, black shorts",White sandals,"Boxy, layered","Modern, graphic",Bold stripes with a relaxed fit
3,Jeremy Laing,Spring 2007,Feminine,Checkered dress,Black sandals,"A-line, voluminous","Playful, bold",Oversized check pattern with a playful silhouette
