Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Kenzo,Fall 2021,Neutral,"Orange dress, brown oversized coat",None visible,"Oversized, layered","Bold, vibrant","Fringed details, monochrome look"
2,Kenzo,Fall 2021,Neutral,"Green jumpsuit, green oversized coat",None visible,"Oversized, layered","Bold, vibrant","Fringed details, monochrome look"
3,Kenzo,Fall 2021,Neutral,"Pink dress, black and pink oversized cape",None visible,"Oversized, layered","Bold, vibrant","Fringed details, monochrome look"
1,Kenzo,Fall 2021,Gender Neutral,"Plaid oversized sweater, neon green wide-leg pants",Plaid scarf,"Oversized, flowing","Bold, vibrant","Dynamic movement, layered textures"
2,Kenzo,Fall 2021,Gender Neutral,"Blue quilted coat, blue wide-leg pants",,"Oversized, flowing","Layered, cozy","Contrasting textures, vibrant blue"
3,Kenzo,Fall 2021,Gender Neutral,"Black oversized coat, orange underlayer",Striped hood,"Oversized, structured","Graphic, bold","Color contrast, utilitarian boots"
1,Kenzo,Fall 2021,Masculine,"Black floral tunic, striped pants",Black padded boots,"Loose, layered","Bold, floral, eclectic","Large floral print, mixed patterns"
2,Kenzo,Fall 2021,Feminine,Neon green striped coat,Green platform shoes,"A-line, flowing","Graphic, vibrant, playful","Bright stripes, dynamic movement"
3,Kenzo,Fall 2021,Feminine,Floral bodysuit with hood,"Striped bag, white padded boots","Fitted, dynamic","Futuristic, bold, artistic","Floral and stripe contrast, energetic pose"
1,Kenzo,Fall 2006,Feminine,"Olive green cape with fur and plaid details, olive tights",Leopard print boots,"Oversized, layered","Eclectic, military-inspired",Mix of textures and patterns
2,Kenzo,Fall 2006,Feminine,Floral print dress with green accents,"Green handbag, striped scarf","Fitted, elegant","Floral, sophisticated","Contrasting colors, bold green"
3,Kenzo,Fall 2006,Feminine,"Camo jacket with embellishments, white dress",Red suede boots,"Layered, relaxed","Bohemian, rugged","Military elements, casual layering"
1,Kenzo,Fall 2006,Feminine,"Plaid skirt, floral cape, blouse","Green gloves, floral handbag","Fitted, layered","Eclectic, vintage-inspired","Mix of patterns, vibrant gloves"
2,Kenzo,Fall 2006,Feminine,"Plaid skirt, floral cape, blouse","Green gloves, plaid handbag, brown boots","Flared, layered","Eclectic, vintage-inspired","Rich textures, floral embroidery"
3,Kenzo,Fall 2006,Feminine,"Plaid jacket, striped skirt","Checkered handbag, green tights","Structured, tailored","Classic, sophisticated","Muted tones, mix of patterns"
1,Kenzo,Fall 2006,Feminine,Floral print coat,Matching floral print bag and boots,"A-line, voluminous","Bold, floral, coordinated","Rich colors, oversized floral pattern"
2,Kenzo,Fall 2006,Feminine,"Plaid jacket, plaid skirt","Plaid bag, floral boots","Layered, tailored","Plaid, mixed patterns","Contrasting textures, floral accents"
3,Kenzo,Fall 2006,Feminine,Floral print dress,Matching floral print boots,"A-line, fitted","Floral, vintage-inspired","Intricate embroidery, earthy tones"
