Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Nardos,Fall 2024,Feminine,Lime green satin coat dress,Black pointed heels,"Fitted bodice, flared hem","Elegant, Structured",Double-breasted design with high collar
1,Nardos,Fall 2024,Feminine,"Yellow satin dress with black polka dots, puff sleeves","Black feather belt, black ankle boots",Hourglass,"Bold, Elegant, Vintage",Statement sleeves and vibrant color
1,Nardos,Fall 2024,Feminine,Green floral embroidered gown,Earrings,A-line,"Elegant, Floral, Embroidered",Vibrant floral embroidery with bird motifs
0,Nardos,Fall 2024,Feminine,"Black dress, Green floral brocade coat","Green gloves, Embellished sandals",A-line,"Elegant, Floral, Evening",The look features a striking green floral pattern on the coat.
1,Nardos,Fall 2024,Feminine,"Green satin blouse, Green velvet pants with red floral embroidery","Green crocodile handbag, Large bow headpiece","Structured, Voluminous sleeves","Elegant, Luxurious, Statement",Bold color contrast with intricate embroidery
1,Nardos,Fall 2024,Feminine,"Blue satin blouse, Embroidered coat, Blue textured skirt","Teal gloves, Teal and green hat, Blue heels",A-line,"Elegant, Embroidered, Textured",Vibrant color palette with intricate embroidery and feather details.
1,Nardos,Fall 2024,Feminine,"Green tweed dress, black floral belt",Black ankle boots,Structured,"Elegant, Classic",Features a large floral belt detail.
1,Nardos,Fall 2024,Feminine,"Green tweed crop top, Green wide-leg pants, Black and green textured coat",Black heels,"Structured, Flowing","Elegant, Textured",Rich green hues with intricate textures
1,Nardos,Fall 2024,Feminine,"Strapless gown, black with green and blue floral embroidery",Earrings,Hourglass,"Elegant, Eveningwear","Rich floral pattern, luxurious fabric"
1,Nardos,Fall 2024,Feminine,"Textured floral dress, beige, wool","Orange gloves, brown ankle boots","A-line, voluminous sleeves","Elegant, textured, sophisticated",Intricate floral texture with contrasting accessories
1,Nardos,Fall 2024,Feminine,Sheer white textured dress with ruffled high neck and long sleeves,Pink embellished heels,"Fitted, layered","Elegant, ethereal",Intricate fabric detailing
1,Nardos,Fall 2024,Feminine,"Sheer ruffled blouse, ivory satin wide-leg pants, long ivory coat",Statement earrings,"Flowy, layered","Ethereal, romantic",Delicate textures with a soft color palette
1,Nardos,Fall 2024,Feminine,"White sheer blouse, White embellished skirt","White gloves, White floral hat, Green embellished heels","Structured, Hourglass","Elegant, Sophisticated, Couture",Features a large bow detail and delicate embellishments.
1,Nardos,Fall 2024,Feminine,Black satin dress with floral detail,"Black floral headpiece, Red heels","A-line, Sculptural","Elegant, Dramatic",Features large floral embellishments on the skirt
1,Nardos,Fall 2024,Feminine,"Black pearl-embellished dress, satin lapels","Black headpiece, black ankle boots",Fitted with flared hem,"Elegant, Sophisticated",Pearl embellishments add texture and luxury
1,Nardos,Fall 2024,Feminine,"Black satin jacket with voluminous sleeves, Black satin skirt with slit",Black chain-detail heels,"Structured, Dramatic","Elegant, Sophisticated","Bold sleeve design, Luxurious fabric"
1,Nardos,Fall 2024,Feminine,"Black off-shoulder mini dress, floral appliqué, lace details",Heels,A-line,"Elegant, Romantic",Features large bow detail
1,Nardos,Fall 2024,Feminine,"Black and gold textured jacket, Black and gold textured skirt","Black gloves, Earrings",Fitted,"Elegant, Textured, Sophisticated","Structured shoulders, Metallic accents"
1,Nardos,Fall 2024,Feminine,"Velvet suit, black with red floral embroidery",Green textured handbag,Tailored,"Elegant, Floral, Luxurious",Rich velvet texture with bold floral patterns
1,Nardos,Fall 2024,Feminine,"Black satin blazer with red flamingo embroidery, Black pants","Red heels, Statement earrings","Structured, Tailored","Elegant, Sophisticated","Embellished with red flamingo motifs, sleek and polished look"
1,Nardos,Fall 2024,Feminine,"Red satin blazer, Red satin pants","Blue handbag, Red shoes",Tailored,"Elegant, Bold","Embellished pants, Statement look"
1,Nardos,Fall 2024,Feminine,"Magenta fringed tweed coat, Black lace top, Black trousers",None,"Layered, Tailored","Elegant, Textured",Rich texture with a focus on layering and intricate details.
1,Nardos,Fall 2024,Feminine,"Multicolored geometric print dress, satin texture",Black pointed heels,"Voluminous, A-line","Bold, Retro, Playful",Eye-catching geometric pattern with vibrant colors
1,Nardos,Fall 2024,Feminine,"Red floral jacquard gown, one-shoulder, voluminous sleeve",None visible,A-line,"Elegant, Dramatic",Rich texture with floral pattern
1,Nardos,Fall 2024,Feminine,"Halter neck gown, multicolor geometric print, silk",Statement earrings,A-line,"Bold, Vibrant, Retro",Eye-catching geometric patterns
1,Nardos,Fall 2024,Feminine,Green satin gown with draped detailing and bird embroidery,None,Fitted bodice with flowing skirt,"Elegant, Sophisticated, Embellished",Features intricate bird embroidery
1,Nardos,Fall 2024,Feminine,"Strapless navy gown, floral and bird embroidery",Embellished earrings,A-line,"Elegant, Embroidered, Nature-Inspired",Intricate embroidery with nature motifs
1,Nardos,Fall 2024,Feminine,"Pink satin gown with floral appliqué, peplum overlay","Embellished pink heels, earrings","Fitted bodice, straight skirt","Elegant, Floral, Eveningwear",Vibrant color with intricate detailing
1,Nardos,Fall 2024,Feminine,"Fuchsia gown, sheer overlay, floral appliqué",Earrings,Flowing,"Elegant, Dramatic","High neck, vibrant color"
1,Nardos,Fall 2024,Feminine,"Blue embellished gown, off-shoulder, ruffled detail",None,Column,"Elegant, Glamorous","Intricate beadwork, flowing fabric"
1,Nardos,Fall 2024,Feminine,"Textured tweed dress with blue satin accents, red embellishment",Red heels,"Fitted, Midi","Elegant, Modern, Textured",Intricate detailing with a bold color contrast.
1,Nardos,Fall 2024,Feminine,"Strapless gown, light blue, floral embellishments, tulle overlay",Blue neck scarf,A-line,"Elegant, Floral, Dramatic",Richly embellished with colorful floral details
1,Nardos,Fall 2024,Feminine,"Beaded fringe gown, peach ruffled top",Earrings,Column,"Elegant, Glamorous",Intricate beadwork and dramatic ruffles
1,Nardos,Fall 2024,Feminine,One-shoulder orange satin gown with large floral detail,"Feather embellishment, earrings","Draped, fitted","Elegant, dramatic",Features a prominent rose-like detail on the hip
1,Nardos,Fall 2024,Feminine,"Floral embroidered gown, nude and pink, sheer overlay",Earrings,A-line,"Elegant, Floral, Romantic","High neck, intricate floral embroidery"
1,Nardos,Fall 2024,Feminine,"Embroidered pink gown, sheer overlay, floral details",Earrings,A-line,"Elegant, Romantic","Intricate floral embroidery, sheer neckline"
1,Nardos,Fall 2024,Feminine,"Gold strapless gown, floral embellished bodice, layered tulle skirt",Gold embellished pumps,Ball gown,"Elegant, Opulent, Romantic",Intricate floral details on bodice
1,Nardos,Fall 2024,Feminine,"Embroidered gown, Sheer overlay, Puff sleeves",Earrings,A-line,"Elegant, Floral, Couture",Intricate floral embroidery with sheer detailing
1,Nardos,Fall 2024,Feminine,Gold embroidered sheer gown,Gold headpiece,A-line,"Elegant, Ornate",Intricate floral embroidery
1,Nardos,Fall 2024,Feminine,"White ruffled top, White embroidered skirt",Earrings,Fitted,"Elegant, Ornate, Couture","Intricate embroidery, voluminous ruffles"
1,Nardos,Fall 2024,Feminine,"Black strapless gown, silver embroidery, sheer overlay",Black tulle shoulder wrap,A-line,"Elegant, Ornate, Dramatic",Intricate embroidery with bird motifs
1,Nardos,Fall 2024,Feminine,Black floral lace dress with feathered hem,Black heels,Fitted,"Elegant, Textured, Evening",Intricate floral lace detailing with a dramatic feathered hem.
1,Nardos,Fall 2024,Feminine,"One-shoulder gown, black floral appliqué, lace, tulle",Headpiece,Mermaid,"Elegant, Dramatic, Eveningwear",Intricate floral detailing and voluminous tulle skirt
1,Nardos,Fall 2024,Feminine,"Black lace gown, floral applique, sheer neckline",Headband,Ball gown,"Elegant, Romantic","Intricate lace detailing, classic evening wear"
1,Nardos,Fall 2024,Feminine,Red lace gown with high neck and long sleeves,"Drop earrings, strappy heels",Fitted with flowing train,"Elegant, Intricate, Eveningwear",Rich embroidery and sheer detailing
1,Nardos,Fall 2024,Feminine,"Red floral appliqué gown, sheer overlay, satin bow",Drop earrings,A-line,"Elegant, Romantic",Bold red bow adds dramatic flair
1,Nardos,Fall 2024,Feminine,"Red embroidered high-low dress, tulle cape",Embellished heels,A-line,"Elegant, Dramatic",Intricate embroidery with sheer overlay
1,Nardos,Fall 2024,Feminine,"Red gown, sheer fabric, textured floral details",Earrings,A-line,"Elegant, Dramatic",Features voluminous sleeves and a statement collar
1,Nardos,Fall 2024,Feminine,Red satin gown with ruffled neckline and floral details,Red floral headpiece,Voluminous,"Dramatic, Elegant",Bold red color with intricate detailing
