Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rue du Mail,Fall 2013,Feminine,Chevron-patterned coat,Black ankle boots,"Oversized, belted","Graphic, bold",Monochrome pattern with strong visual impact
2,Rue du Mail,Fall 2013,Feminine,Chevron-patterned coat with fur accents,Brown ankle boots,"Straight, tailored","Textured, luxurious",Fur details add warmth and contrast
3,Rue du Mail,Fall 2013,Feminine,"Chevron-patterned jacket, navy dress with wave pattern",Strappy black heels,"Structured, fitted","Elegant, modern",Mix of textures with a focus on pattern contrast
1,Rue du Mail,Fall 2013,Feminine,"Black sleeveless top with white wave pattern, black wide-leg trousers",,"Relaxed, flowing","Chic, minimalist",Monochrome look with subtle pattern detail
2,Rue du Mail,Fall 2013,Feminine,"Rust satin top with wave pattern, black and white herringbone culottes",White ankle boots with brown straps,"Loose, structured","Eclectic, modern",Mix of textures and patterns
3,Rue du Mail,Fall 2013,Feminine,White and rust color-blocked dress,Beige ankle wrap shoes,"Straight, fitted","Elegant, contemporary",Color-blocking with a minimalist approach
1,Rue du Mail,Fall 2013,Feminine,"Textured sleeveless top, herringbone skirt",Black ankle boots,"Fitted, knee-length","Textured, geometric","Contrasting textures, bold pattern"
2,Rue du Mail,Fall 2013,Feminine,"Textured jacket, herringbone skirt",Black ankle boots,"A-line, knee-length","Layered, geometric","Textured layers, subtle color blocking"
3,Rue du Mail,Fall 2013,Feminine,"Patterned top, black trousers",Strappy shoes,"Relaxed, tailored","Modern, graphic","Intricate top detailing, relaxed fit trousers"
1,Rue du Mail,Fall 2007,Feminine,"Black satin coat, black dress",None,"Tailored, sleek","Elegant, monochrome","Shiny fabric, classic cut"
2,Rue du Mail,Fall 2007,Feminine,"Black satin jacket, black skirt, black blouse",None,"Structured, fitted","Chic, sophisticated","Layered look, glossy finish"
3,Rue du Mail,Fall 2007,Feminine,"Black satin coat, black pants",Black gloves,"Streamlined, elongated","Modern, edgy","Textured details, all-black ensemble"
1,Rue du Mail,Fall 2007,Feminine,Black satin dress with asymmetric hem,Yellow-accented shoes,"A-line, sculptural","Avant-garde, modern",Unique draping detail on the side
2,Rue du Mail,Fall 2007,Feminine,"Black satin dress, bomber jacket",Black shoes,"Flared, layered","Edgy, contemporary",Mix of textures with satin and bomber material
3,Rue du Mail,Fall 2007,Feminine,Strapless black satin dress,Blue-accented shoes,"Bubble, fitted","Chic, elegant",Voluminous skirt with structured bodice
1,Rue du Mail,Fall 2007,Feminine,"Black embellished dress, ruffled cape",Black tights,"Fitted, layered","Elegant, evening","Subtle sparkle, dramatic shoulders"
2,Rue du Mail,Fall 2007,Feminine,"Black coat, white and black patterned dress","Black tights, white ankle boots","A-line, layered","Graphic, monochrome","Bold print, contrasting textures"
3,Rue du Mail,Fall 2007,Feminine,"Black satin jacket, black satin skirt",None visible,"Tailored, sleek","Chic, minimalist","Glossy fabric, structured collar"
