Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Jonathan Cohen,Spring 2024,Feminine,Brown and yellow printed sleeveless gown,"Gold bracelet, drop earrings","A-line, flowing","Bold print, elegant","Rich earthy tones, pleated detailing"
2,Jonathan Cohen,Spring 2024,Feminine,Brown and yellow printed strapless mini dress,Pearl choker,"Fitted, short","Bold print, modern","Matching knee-high boots, cohesive look"
3,Jonathan Cohen,Spring 2024,Feminine,Blue floral printed sleeveless dress,Gold bracelets,"Fitted, draped","Floral, sophisticated","Blurred floral pattern, asymmetrical draping"
1,Jonathan Cohen,Spring 2024,Feminine,Floral print dress,"Straw hat, floral platform heels, bracelet",A-line,"Floral, playful",Matching accessories with dress pattern
2,Jonathan Cohen,Spring 2024,Feminine,Black and white abstract print dress,Earrings,Flowy,"Artistic, monochrome",Bold abstract print
3,Jonathan Cohen,Spring 2024,Feminine,Off-the-shoulder floral dress,"Bracelet, sheer scarf, black heels",Fit and flare,"Romantic, vibrant",Flowing scarf adds movement
1,Jonathan Cohen,Spring 2024,Feminine,White V-neck dress,"Colorful beaded choker, black fishnet stockings, white heels",A-line,"Elegant, classic","Short sleeves, fitted bodice"
2,Jonathan Cohen,Spring 2024,Feminine,"White blouse, patterned tiered skirt",Beaded necklace,"Layered, voluminous","Eclectic, bold","Ruffled tiers, mixed patterns"
3,Jonathan Cohen,Spring 2024,Feminine,"Lavender draped dress, floral shawl","Red beaded necklace, statement pendant",Flowy,"Bohemian, artistic","Contrasting prints, relaxed fit"
1,Jonathan Cohen,Fall 2023,Feminine,Tiered strapless dress with floral print,Choker necklace,"Flowy, layered","Romantic, bohemian","Bold floral pattern, vibrant colors"
2,Jonathan Cohen,Fall 2023,Feminine,Long-sleeve mini dress with floral print,Earrings,"A-line, flared","Playful, retro","Dynamic movement, vibrant background"
3,Jonathan Cohen,Fall 2023,Feminine,"Black turtleneck, tiered floral skirt",Belt with decorative buckle,"Structured, layered","Eclectic, modern","Mix of textures, bold print contrast"
1,Jonathan Cohen,Fall 2023,Feminine,"Floral printed blazer, matching trousers",Gold hoop earrings,"Tailored, fitted","Bold, floral","Vibrant floral pattern, structured tailoring"
2,Jonathan Cohen,Fall 2023,Feminine,Floral printed long dress,Gold hoop earrings,"Flowy, A-line","Romantic, bohemian","Bell sleeves, soft silhouette"
3,Jonathan Cohen,Fall 2023,Feminine,Red sleeveless mini dress,Gold hoop earrings,Fit and flare,"Chic, playful","Rich color, youthful cut"
1,Jonathan Cohen,Fall 2023,Feminine,Red strapless peplum dress,Black pumps,Fit and flare,"Elegant, textured",Rich red fabric with floral pattern
2,Jonathan Cohen,Fall 2023,Feminine,Red sleeveless dress with abstract pattern,None,A-line,"Playful, artistic",Bold abstract print
3,Jonathan Cohen,Fall 2023,Feminine,Blue long-sleeve dress with floral pattern,None,Fitted,"Vibrant, graphic",Striking blue floral design
