Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Giles Deacon,Fall 2014,Feminine,Printed dress with orange skirt,"White gloves, black tights","Fitted, asymmetrical","Graphic, bold",Bird print with geometric lines
2,Giles Deacon,Fall 2014,Feminine,Orange ruffled dress,"Black gloves, black tights, two-tone shoes","A-line, flowing","Playful, vibrant",Ruffled detail adds movement
3,Giles Deacon,Fall 2014,Feminine,Oversized knit sweater dress,"Striped scarf, black tights, brown shoes","Oversized, cozy","Chunky knit, casual",Bold stripes and color blocking
1,Giles Deacon,Spring 2014,Feminine,Printed sleeveless dress,,A-line,"Artistic, contemporary",Features a large-scale photographic print
2,Giles Deacon,Spring 2014,Feminine,Printed sleeveless shift dress,Round sunglasses,Straight,"Artistic, contemporary",Features a large-scale photographic print
3,Giles Deacon,Spring 2014,Feminine,Sheer printed dress with collar,Round sunglasses,"Loose, airy","Artistic, contemporary",Sheer fabric with photographic print
1,Giles Deacon,Fall 2013,Feminine,White satin gown with voluminous sleeves,None,"Flowing, voluminous","Ethereal, romantic","Long, flowing hair complements the gown"
2,Giles Deacon,Fall 2013,Feminine,White gown with gold metallic bodice,White knitted headpiece,"Structured, flowing","Regal, avant-garde",Gold bodice adds a dramatic contrast
3,Giles Deacon,Fall 2013,Feminine,Gold metallic floral gown,None,"A-line, structured","Opulent, intricate",Textured metallic fabric with floral patterns
1,Giles Deacon,Fall 2013,Feminine,"Pink patterned coat, matching wide-leg pants",Chunky knit hat,"Oversized, flowing","Ethereal, whimsical","Soft color palette, textured knit hat"
2,Giles Deacon,Fall 2013,Feminine,"White blouse, metallic fringe skirt",None visible,"Fitted top, voluminous skirt","Edgy, avant-garde","Metallic textures, dramatic fringe"
3,Giles Deacon,Fall 2013,Feminine,"Gold metallic top, black floor-length skirt",None visible,"Fitted, elegant","Glamorous, sophisticated","Contrasting textures, floral metallic detailing"
