Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,J Brand,Fall 2017,Feminine,"Black leather jacket, black turtleneck, mustard yellow pants",Yellow hat,"Slim, fitted","Casual, chic",Bold color contrast with hat and pants
2,J Brand,Fall 2017,Feminine,"Denim jacket, beige V-neck top, wide-leg jeans",Brown suede shoes,"Relaxed, wide-leg","Casual, retro",Denim-on-denim look with a 70s vibe
3,J Brand,Fall 2017,Feminine,"Black shearling-lined jacket, white shirt, gray turtleneck, skinny jeans",Black ankle boots,"Layered, fitted","Casual, modern",Monochrome layering with texture contrast
1,J Brand,Fall 2017,Feminine,"Black leather jacket, purple velvet camisole, purple velvet pants","Black heels, choker necklace","Slim, fitted","Casual, chic",Rich textures with velvet and leather
2,J Brand,Fall 2017,Feminine,"Black velvet shirt, black leather pants","Black wide-brim hat, silver pendant necklace, scarf","Slim, tailored","Western, edgy",Monochrome look with statement hat
3,J Brand,Fall 2017,Feminine,"Green velvet dress, green shearling jacket",Black ankle boots,"Straight, relaxed","Elegant, cozy",Textured velvet with a warm jacket
1,J Brand,Fall 2017,Feminine,"Navy velvet blazer, navy velvet pants","Navy wide-brim hat, black ankle boots","Tailored, fitted","Chic, elegant",Monochrome velvet ensemble
2,J Brand,Fall 2017,Feminine,"Gray turtleneck sweater, beige skinny pants","Gold pendant necklace, beige block heels","Slim, streamlined","Casual, cozy",Neutral tones with a soft texture
3,J Brand,Fall 2017,Feminine,"Black turtleneck sweater, black leather pencil skirt",Black knee-high boots,"Fitted, sleek","Edgy, sophisticated",Contrast of textures with leather and knit
1,J Brand,Fall 2016,Feminine,"Black leather jacket with fur collar, black leather pants",Black loafers,"Slim, fitted","Edgy, modern",Monochrome look with a focus on texture
2,J Brand,Fall 2016,Feminine,"Red leather jacket, red flared pants",Hoop earrings,"Flared, fitted","Retro, bold",Rich color palette with a vintage vibe
3,J Brand,Fall 2016,Feminine,"Black turtleneck, black leather mini skirt","Hoop earrings, black loafers","A-line, fitted","Chic, minimalist",Classic black ensemble with sleek lines
1,J Brand,Fall 2016,Feminine,"Black leather jacket, black turtleneck, black leather pants",Large hoop earrings,"Slim, fitted","Edgy, sleek","Monochrome black, zipper details"
2,J Brand,Fall 2016,Feminine,"Black cropped jacket, black turtleneck, long black skirt",Large hoop earrings,"Straight, elongated","Minimalist, modern","Frayed hem, gold buttons"
3,J Brand,Fall 2016,Feminine,"Navy jacket, black turtleneck, black wide-leg pants",Large hoop earrings,"Boxy, relaxed","Casual, utilitarian","Frayed hem, gold buttons"
1,J Brand,Fall 2016,Feminine,"Black leather jacket, black turtleneck, distressed jeans",Black ankle boots,"Slim, structured","Edgy, casual",Gold hardware on jacket
2,J Brand,Fall 2016,Feminine,"Striped turtleneck, flared jeans","Hoop earrings, black ankle boots","Fitted, flared","Chic, retro",Long necktie detail
3,J Brand,Fall 2016,Feminine,"Cut-out top, cropped jeans","Hoop earrings, black ankle boots","Relaxed, cropped","Modern, casual",Unique shoulder cut-outs
