Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Marissa Webb,Spring 2017,Feminine,"Lace blouse, black leather pants",Black strappy heels,"High-waisted, tapered","Edgy, romantic","Lace details, leather contrast"
2,Marissa Webb,Spring 2017,Feminine,Lace dress,Brown strappy heels,"A-line, flowy","Romantic, airy",Delicate lace pattern
3,Marissa Webb,Spring 2017,Feminine,"Lace dress, olive green jacket",Silver strappy sandals,"Layered, relaxed","Casual, chic",Military-inspired jacket
1,Marissa Webb,Spring 2017,Feminine,"Beige leather jacket, blush dress",Brown strappy sandals,"Flowy, layered","Chic, casual",Soft color palette
2,Marissa Webb,Spring 2017,Feminine,"Beige leather vest, blush wide-leg trousers",Flat sandals,"Relaxed, tailored","Effortless, modern",Monochromatic look
3,Marissa Webb,Spring 2017,Feminine,Blush wrap dress,Brown strappy sandals,"Belted, relaxed","Elegant, minimalist",Soft draping
1,Marissa Webb,Spring 2017,Feminine,"Cream blazer, cream trousers","Pink handbag, metallic sandals","Tailored, relaxed","Chic, sophisticated","Deep V-neck, monochrome"
2,Marissa Webb,Spring 2017,Feminine,"Orange satin blouse, beige wrap skirt",Brown sandals,"Fitted, elegant","Feminine, polished","Ruffled sleeves, high waist"
3,Marissa Webb,Spring 2017,Feminine,"Orange satin blouse, black leather pants",Brown sandals,"Structured, modern","Edgy, bold","Square neckline, lace-up details"
1,Marissa Webb,Spring 2015,Feminine,"White sleeveless zip-up top, asymmetrical skirt",Black studded sandals,"Flowy, asymmetrical","Chic, modern","Sheer fabric, high collar"
2,Marissa Webb,Spring 2015,Feminine,"White spaghetti strap top, draped skirt",Black studded sandals,"Flowy, draped","Effortless, casual","Asymmetrical hem, relaxed fit"
3,Marissa Webb,Spring 2015,Feminine,"White slip dress, black blazer",Black studded sandals,"Loose, layered","Sophisticated, minimalist","Contrasting layers, structured outerwear"
1,Marissa Webb,Spring 2015,Feminine,"Black long-sleeve dress, white underlay",Black belt,"Flowy, layered","Chic, modern","High slit, contrast layering"
2,Marissa Webb,Spring 2015,Feminine,White sleeveless dress with perforated panels,None,"Asymmetrical, airy","Elegant, fresh","Button-down detail, light texture"
3,Marissa Webb,Spring 2015,Feminine,"Black oversized blazer, white shirt, striped pants",Black heels,"Tailored, structured","Sophisticated, androgynous","Strong shoulders, monochrome contrast"
1,Marissa Webb,Spring 2015,Feminine,White strapless dress with double-breasted button detail,Black strappy heels,"Straight, column","Chic, minimalist","Asymmetrical neckline, tailored look"
2,Marissa Webb,Spring 2015,Feminine,"White crop top, sheer long vest, black leather joggers",Black strappy heels,"Relaxed, layered","Sporty, modern","Sheer layering, contrast textures"
3,Marissa Webb,Spring 2015,Feminine,"Black long shirt dress, grey wrap skirt","Black belt, black cutout heels","Flowy, layered","Elegant, edgy","High slit, cinched waist"
