Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Chocheng,Fall 2024,Feminine,"Pink long coat, Red wide-leg pants","Pink hat, Pink earrings, Red heels","Straight, Layered","Monochrome, Bold, Structured","Contrasting colors, Statement accessories"
1,Chocheng,Fall 2024,Feminine,"Striped sleeveless top, black wide-leg pants",Black wide-brim hat,"Loose, flowing","Minimalist, modern","Bold stripes, contrasting textures"
1,Chocheng,Fall 2024,Feminine,"Cream textured top, Red high-slit skirt","Black wide-brimmed hat, Black shoes","Loose top, Fitted skirt","Elegant, Dramatic, Minimalist",Bold color contrast with a statement hat
1,Chocheng,Fall 2024,Feminine,"Sheer white long coat with braided details, Black velvet pants","Black wide-brimmed hat, Black heels","A-line, Layered","Minimalist, Elegant",Contrasting textures with sheer and velvet
1,Chocheng,Fall 2024,Feminine,"Ivory textured sleeveless top, Pink satin A-line skirt","Black wide-brim hat, Black pumps","A-line, Relaxed","Minimalist, Elegant",Classic color palette with a modern twist
1,Chocheng,Fall 2024,Feminine,"Black embellished jacket, Black knee-length skirt",Red statement earrings,Structured,"Elegant, Sophisticated",Monochrome black with bold accessories
1,Chocheng,Fall 2024,Feminine,"Black textured blazer, Black knee-length shorts","Black wide-brim hat, Black pumps","Structured, Tailored","Monochrome, Elegant, Minimalist",Classic black ensemble with a dramatic hat.
1,Chocheng,Fall 2024,Feminine,"Black textured coat, Black velvet pants",Black handbag,"Structured, Longline","Elegant, Monochrome",Features beaded detailing on coat
1,Chocheng,Fall 2024,Feminine,"Red structured cape, Black trousers",Black wide-brimmed hat,"Oversized, Dramatic","Avant-garde, Bold","Strong shoulder emphasis, Monochrome contrast"
1,Chocheng,Fall 2024,Feminine,"Black textured jacket, Red wide-leg pants","Black structured hat, Red statement necklace","Structured top, Voluminous bottom","Avant-garde, Dramatic, Bold","Contrasting colors, Architectural shapes"
