Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Juan Carlos Obando,Spring 2009,Feminine,"White textured crop top, light blue wide-leg pants","Brown cuff bracelet, black strappy sandals","Relaxed, midriff-baring","Casual, modern",Textured top with floral-like details
2,Juan Carlos Obando,Spring 2009,Feminine,"White textured crop top, light blue wide-leg pants","Brown cuff bracelet, black strappy sandals","Relaxed, midriff-baring","Casual, modern",Textured top with floral-like details
3,Juan Carlos Obando,Spring 2009,Feminine,"White textured crop top, light blue wide-leg pants","Brown cuff bracelet, black strappy sandals","Relaxed, midriff-baring","Casual, modern",Textured top with floral-like details
1,Juan Carlos Obando,Spring 2009,Feminine,"Black one-shoulder top, black bikini bottom",Gold bracelet,"Asymmetrical, minimal","Chic, beachwear",Flowy top with minimal bottom
2,Juan Carlos Obando,Spring 2009,Feminine,Black sheer one-shoulder gown with ruffled shoulder detail,,"Column, sheer","Elegant, evening","Dramatic ruffle, sheer fabric"
3,Juan Carlos Obando,Spring 2009,Feminine,"Black sheer crop top with ruffle details, black high-waisted trousers",,"Relaxed, sheer","Edgy, modern","Textured top, relaxed fit trousers"
1,Juan Carlos Obando,Fall 2013,Feminine,"Rust blouse, purple pleated skirt","Gold necklace, black belt","Flowy, cinched waist","Elegant, bohemian","Rich color contrast, layered necklaces"
2,Juan Carlos Obando,Fall 2013,Feminine,"Blue blouse, green pleated skirt","Gold earrings, black belt","Flowy, cinched waist","Elegant, vibrant","Bold color combination, sheer blouse"
3,Juan Carlos Obando,Fall 2013,Feminine,"Coral blouse, blue pleated skirt","Gold necklace, black belt","Flowy, cinched waist","Chic, colorful","Playful color blocking, statement necklace"
1,Juan Carlos Obando,Fall 2013,Feminine,"Black off-shoulder blouse, blush satin pants","Gold choker, gold cuffs","Slim, tailored","Elegant, sophisticated","Contrasting textures, off-shoulder detail"
2,Juan Carlos Obando,Fall 2013,Feminine,"Brown off-shoulder blouse, black pleated skirt","Gold pendant necklace, gold earrings","Flowy, voluminous","Romantic, bohemian","Pleated skirt, off-shoulder blouse"
3,Juan Carlos Obando,Fall 2013,Feminine,"Lilac halter top, red pleated skirt","Gold pendant necklace, gold earrings","Flowy, dramatic","Bold, statement","Bright color contrast, halter neckline"
1,Juan Carlos Obando,Fall 2013,Feminine,Black long-sleeve wrap dress with high slit,"Gold choker, layered necklaces","Flowy, asymmetrical","Elegant, sophisticated","Textured fabric, deep V-neck"
2,Juan Carlos Obando,Fall 2013,Feminine,Red long-sleeve wrap dress,"Gold choker, layered necklaces","Flowy, asymmetrical","Elegant, sophisticated","Rich color, deep V-neck"
3,Juan Carlos Obando,Fall 2013,Feminine,Black long-sleeve wrap dress,"Gold choker, layered necklaces","Flowy, asymmetrical","Elegant, sophisticated","Sheer fabric, deep V-neck"
