Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rahul Mishra,Fall 2024,Feminine,White embellished dress with 3D floral and fauna appliqué,Silver platform sandals,"Voluminous, sculptural","Avant-garde, artistic","Intricate detailing, nature-inspired motifs"
2,Rahul Mishra,Fall 2024,Feminine,"Sheer checkered top, embellished white skirt",Round sunglasses,"Flowy, relaxed","Modern, eclectic","Mix of textures, geometric patterns"
3,Rahul Mishra,Fall 2024,Masculine,"Sheer embroidered coat, white trousers",,"Loose, layered","Minimalist, elegant","Subtle embroidery, monochrome look"
1,Rahul Mishra,Fall 2024,Feminine,"Black blouse with butterfly motif, black sequin pants",,"Structured top, wide-leg pants","Dramatic, embellished",Bold butterfly design on shoulders
2,Rahul Mishra,Fall 2024,Masculine,"White embellished tunic, white wide-leg pants",,"Flowy, oversized","Ethereal, sculptural",Leaf-like embellishments on shoulders
3,Rahul Mishra,Fall 2024,Feminine,White strapless gown with embellishments,"Silver choker, silver platform heels","Fitted, flowing","Elegant, intricate",Delicate detailing with sheer elements
1,Rahul Mishra,Fall 2024,Feminine,"Black embellished jacket, black satin trousers",None visible,"Structured shoulders, wide-leg pants","Dramatic, avant-garde",Intricate detailing on shoulders
2,Rahul Mishra,Fall 2024,Feminine,"Silver sequin bandeau, silver sequin trousers, white embellished coat",Round sunglasses,"Relaxed, flowing","Glamorous, sparkling","High-shine sequins, casual luxe"
3,Rahul Mishra,Fall 2024,Feminine,"Black sheer top, black ruffled mini skirt",Black strappy heels,"A-line, voluminous","Chic, textured","Ruffled layers, sheer sleeves"
1,Rahul Mishra,Fall 2017,Feminine,"Striped dress, embroidered coat",Embroidered slippers,"Relaxed, layered","Eclectic, bohemian","Mix of patterns, floral embroidery"
2,Rahul Mishra,Fall 2017,Feminine,"Plaid blazer, embroidered velvet skirt",Embroidered slippers,"Tailored, fitted","Sophisticated, artistic","Sunflower embroidery, plaid pattern"
3,Rahul Mishra,Fall 2017,Feminine,"Plaid ruffled dress, embroidered checked coat",Embroidered slippers,"Voluminous, layered","Dramatic, romantic","Ruffles, mix of checks and florals"
1,Rahul Mishra,Fall 2017,Feminine,"Off-shoulder ruffled top, plaid trousers",Embroidered loafers,"Fitted, structured","Eclectic, textured","Layered ruffles, mixed patterns"
2,Rahul Mishra,Fall 2017,Feminine,"Embroidered sweater, plaid maxi skirt",None,"A-line, flowing","Bohemian, floral","Sunflower embroidery, bold patterns"
3,Rahul Mishra,Fall 2017,Feminine,"Plaid overall dress, sheer top",Embroidered loafers,"Fitted, flared","Vintage, eclectic","Sheer detailing, sunflower embroidery"
1,Rahul Mishra,Fall 2017,Feminine,"Plaid blazer, white shirt, plaid skirt",None visible,"Layered, A-line","Eclectic, layered","Mix of patterns, oversized blazer"
2,Rahul Mishra,Fall 2017,Feminine,"Embroidered jacket, sheer top, red layer, black skirt",Embroidered loafers,"Relaxed, layered","Bohemian, artistic","Intricate embroidery, relaxed fit"
3,Rahul Mishra,Fall 2017,Feminine,"Patterned sweater, sheer skirt",None visible,"Flowy, oversized","Graphic, bold","Monochrome pattern, sheer layering"
