Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ulla Johnson,Spring 2021,Feminine,"Patterned knit top, floral ruffled skirt",Statement earrings,"Voluminous, layered","Bohemian, eclectic",Mix of textures and prints
2,Ulla Johnson,Spring 2021,Feminine,White lace dress,Statement earrings,"A-line, airy","Romantic, delicate",Intricate lace detailing
3,Ulla Johnson,Spring 2021,Feminine,Lilac ruffled dress,"Brown handbag, statement earrings","Structured, tiered","Elegant, bold","Strong shoulder emphasis, vibrant color"
1,Ulla Johnson,Spring 2021,Feminine,Floral ruffled dress,"Statement necklace, earrings","Flowy, layered","Romantic, floral","Soft colors, tiered ruffles"
2,Ulla Johnson,Spring 2021,Feminine,Floral mini dress,"Large earrings, handbag","A-line, voluminous sleeves","Playful, bold","Dark floral print, statement sleeves"
3,Ulla Johnson,Spring 2021,Feminine,Crochet maxi dress,Drop earrings,"Relaxed, flowing","Bohemian, textured","Intricate crochet pattern, earthy tones"
1,Ulla Johnson,Spring 2021,Feminine,Denim jumpsuit with puff sleeves,"Floral headpiece, earrings","Structured, fitted","Bohemian, vintage","Acid wash effect, belted waist"
2,Ulla Johnson,Spring 2021,Feminine,Purple ruffled mini dress,Earrings,"Voluminous, layered","Playful, romantic","Floral and abstract patterns, asymmetrical ruffles"
3,Ulla Johnson,Spring 2021,Feminine,Floral maxi dress with ruffled top,"Floral headpiece, earrings","Flowy, A-line","Ethereal, romantic","Delicate floral print, lace-up detail"
1,Ulla Johnson,Spring 2017,Feminine,"Peach smocked blouse, orange wide-leg pants",Woven clutch,"Relaxed, flowing","Bohemian, vibrant","Soft color palette, casual elegance"
2,Ulla Johnson,Spring 2017,Feminine,Floral ruffled dress,Tassel sandals,"A-line, tiered","Romantic, floral","Delicate florals, soft ruffles"
3,Ulla Johnson,Spring 2017,Feminine,"White ruffled dress, tan leather jacket",Tassel sandals,"Layered, structured","Edgy, feminine","Mix of textures, soft and hard contrast"
1,Ulla Johnson,Spring 2017,Feminine,Beige ruffled dress,Drop earrings,A-line,"Elegant, minimalist","Soft ruffles, neutral tones"
2,Ulla Johnson,Spring 2017,Feminine,White dotted dress,Hoop earrings,Flowy,"Romantic, airy","Delicate fabric, soft silhouette"
3,Ulla Johnson,Spring 2017,Feminine,"Black embroidered mesh top, beige wide-leg pants",Fringe bag,Relaxed,"Bohemian, eclectic","Colorful embroidery, casual chic"
1,Ulla Johnson,Spring 2017,Feminine,Beige halter dress,Dangling earrings,"A-line, fitted bodice","Elegant, minimal","Soft color palette, delicate straps"
2,Ulla Johnson,Spring 2017,Feminine,"White knit top, beige shorts, textured coat",None,"Relaxed, layered","Casual, bohemian","Textured outerwear, neutral tones"
3,Ulla Johnson,Spring 2017,Feminine,White crochet dress,None,"Fitted, tiered","Romantic, vintage","Intricate crochet, ruffle details"
