Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Erin Fetherston,Spring 2011,Feminine,Beige trench coat dress,"Wide-brimmed hat, brown platform sandals","Tailored, A-line","Chic, classic","Double-breasted design, belted waist"
2,Erin Fetherston,Spring 2011,Feminine,"Beige sleeveless vest, matching shorts","Brown platform sandals, black necklace","Fitted, structured","Modern, sleek","Deep V-neck, oversized pockets"
3,Erin Fetherston,Spring 2011,Feminine,White wrap dress,"Wide-brimmed hat, brown platform sandals","Flowy, draped","Elegant, minimalist","Soft draping, simple silhouette"
1,Erin Fetherston,Spring 2011,Feminine,"White sheer blouse, black high-waisted pants",,"Flowy top, fitted pants","Elegant, minimalist","Sheer fabric, monochrome contrast"
2,Erin Fetherston,Spring 2011,Feminine,Peach satin shirtdress,,Straight,"Chic, sophisticated","Satin texture, tied waist detail"
3,Erin Fetherston,Spring 2011,Feminine,"White tailored blazer, printed skirt",,"Structured top, flowy skirt","Modern, refined","Asymmetrical hem, tailored fit"
1,Erin Fetherston,Spring 2011,Feminine,One-shoulder printed dress,Long necklace,"Fitted, short","Romantic, elegant","Soft floral pattern, asymmetric neckline"
2,Erin Fetherston,Spring 2011,Feminine,White short-sleeve dress,Wide-brimmed hat,"A-line, short","Minimalist, chic","Clean lines, summer-ready"
3,Erin Fetherston,Spring 2011,Feminine,"Metallic blazer, white blouse, metallic trousers",,"Tailored, sleek","Sophisticated, modern","Shimmery fabric, structured tailoring"
1,Erin Fetherston,Fall 2009,Feminine,"Red satin jacket, black puff skirt, black blouse","Black geometric hat, striped tights, black heels","Voluminous, structured","Whimsical, avant-garde","Bold hat, textured layering"
2,Erin Fetherston,Fall 2009,Feminine,"Red satin suit, black blouse","Black tall hat, black gloves, black heels","Tailored, sleek","Chic, sophisticated","Contrasting textures, sharp tailoring"
3,Erin Fetherston,Fall 2009,Feminine,"Red satin coat, black dress","Black tall hat, striped tights, black heels","A-line, layered","Elegant, playful","Mix of patterns, bold accessories"
1,Erin Fetherston,Fall 2009,Feminine,"Black blouse, red satin skirt","Red headpiece, striped tights, black platform heels","Voluminous skirt, fitted top","Playful, dramatic","Bold headpiece, striped tights"
2,Erin Fetherston,Fall 2009,Feminine,"Striped coat, red satin skirt","Black gloves, gray hat, striped tights, black platform heels","Structured coat, flared skirt","Sophisticated, elegant","Contrasting textures, bold stripes"
3,Erin Fetherston,Fall 2009,Feminine,"Striped cropped jacket, black leggings, red satin vest","Gray hat, black platform heels","Fitted leggings, cropped jacket","Chic, modern","Layered look, sleek silhouette"
1,Erin Fetherston,Fall 2009,Feminine,"Black dress with white collar, metallic long-sleeve blouse","Black pointed hat, black platform heels","A-line, fitted","Whimsical, retro","Peter Pan collar, textured fabric"
2,Erin Fetherston,Fall 2009,Feminine,"Black dress with white trim, black coat","Black pointed hat, striped tights, black platform heels","A-line, layered","Playful, graphic","Monochrome stripes, layered textures"
3,Erin Fetherston,Fall 2009,Feminine,"White dress, black leather jacket","Black pointed hat, black platform heels, polka dot gloves","A-line, structured","Chic, edgy","Contrast of textures, playful accessories"
1,Erin Fetherston,Spring 2017,Feminine,"Off-shoulder blouse, pleated skirt",Pendant necklace,"Flowy, relaxed","Bohemian, romantic","Soft blush tones, sheer fabric"
2,Erin Fetherston,Spring 2017,Feminine,"Blazer, wide-leg trousers",Pendant necklace,"Tailored, relaxed","Minimalist, chic","Monochrome look, deep neckline"
3,Erin Fetherston,Spring 2017,Feminine,V-neck dress,,"Flowy, tiered","Bohemian, elegant","Sheer stripes, soft blush tones"
1,Erin Fetherston,Spring 2017,Feminine,"Beige sleeveless top, sequined wide-leg pants",Matching scarf,"Flowy, relaxed","Elegant, shimmering",Monochrome look with subtle sparkle
2,Erin Fetherston,Spring 2017,Feminine,Silver sequined jumpsuit,Long pendant necklace,"Loose, draped","Chic, glamorous",Deep V-neck with satin lapels
3,Erin Fetherston,Spring 2017,Feminine,Rose gold slip dress,Clear strap sandals,"Straight, fitted","Minimalist, sleek",Shimmering fabric with a simple silhouette
1,Erin Fetherston,Spring 2017,Feminine,"Silver sequin jumpsuit, gray scarf",,"Relaxed, flowing","Glamorous, evening",Fringe detail on scarf
2,Erin Fetherston,Spring 2017,Feminine,"Light gray blazer, matching wide-leg pants",Long pendant necklace,"Tailored, relaxed","Chic, minimalist",Deep V-neckline
3,Erin Fetherston,Spring 2017,Feminine,Navy slip dress,,"Flowing, sleek","Elegant, simple","Spaghetti straps, floor-length"
1,Erin Fetherston,Fall 2007,Feminine,Gray lace dress,Silver sequined beanie,"A-line, short","Romantic, whimsical",Paired with knee-high socks
2,Erin Fetherston,Fall 2007,Feminine,Gray lace dress with long sleeves,Silver sequined beanie,"A-line, short","Romantic, whimsical","Balloon sleeves, knee-high socks"
3,Erin Fetherston,Fall 2007,Feminine,"Gray lace romper, sheer blouse",Silver sequined beanie,"Fitted, short","Romantic, whimsical","Layered with tights, delicate textures"
1,Erin Fetherston,Fall 2007,Feminine,"Silver dress with ruffled hem, sheer blouse",Gold headband,"A-line, playful","Whimsical, youthful","Metallic sheen, layered textures"
2,Erin Fetherston,Fall 2007,Feminine,White printed coat,Silver beanie,"Structured, cocoon","Elegant, cozy","Bold collar, intricate print"
3,Erin Fetherston,Fall 2007,Feminine,White printed mini dress,White headband,Fit-and-flare,"Romantic, fresh","Sweetheart neckline, floral pattern"
1,Erin Fetherston,Fall 2007,Feminine,"Gray dress, gray tights","White knit hat, necklace","A-line, relaxed","Whimsical, youthful","Soft fabric, starry print"
2,Erin Fetherston,Fall 2007,Feminine,"White printed dress, gray tights","Gold headscarf, necklace","A-line, flowing","Romantic, ethereal","Sheer sleeves, deep neckline"
3,Erin Fetherston,Fall 2007,Feminine,"White polka dot dress, gray tights","White knit hat, necklace","A-line, delicate","Dreamy, soft","Sheer fabric, subtle pattern"
