Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Stephen Burrows,Spring 2012,Feminine,"Red and navy striped cape, red dress","Red bangles, red necklace, red earrings","Flowy, dynamic","Bold, vibrant",Playful use of stripes and color blocking
2,Stephen Burrows,Spring 2012,Feminine,"Red and navy striped shirt, red shorts","White sunglasses, green bangles","Tailored, casual","Sporty, chic",Contrasting stripes with a pop of color
3,Stephen Burrows,Spring 2012,Feminine,"White blouse, red and navy striped skirt","Blue scarf, white bead necklace","Elegant, fitted","Sophisticated, modern",Elegant layering with bold accessories
1,Stephen Burrows,Spring 2012,Feminine,Striped dress,"Turquoise necklace, turquoise bangles, red headband",Fitted,"Bold, graphic","Nautical color scheme, vibrant contrast"
2,Stephen Burrows,Spring 2012,Feminine,"Red blazer, bikini top, high-waisted shorts","Yellow bangle, yellow necklace, round sunglasses",Playful,"Retro, sporty","Bright accents, beach-inspired"
3,Stephen Burrows,Spring 2012,Feminine,"Striped tunic, black capri pants","Red necklace, red bangles, sunglasses",Relaxed,"Casual, chic","Asymmetrical stripes, bold colors"
1,Stephen Burrows,Spring 2012,Feminine,Striped maxi dress,"Blue statement necklace, strappy sandals","Flowy, relaxed","Bold, colorful","Features wide stripes in blue, black, and white"
2,Stephen Burrows,Spring 2012,Feminine,Black and striped short dress,"Red headscarf, long necklace, turquoise bangles, strappy sandals","Fitted, knee-length","Chic, eclectic",Asymmetrical stripes with vibrant accessories
3,Stephen Burrows,Spring 2012,Feminine,Color-blocked mini dress,"Turquoise layered necklaces, bangles, strappy sandals","A-line, playful","Vibrant, youthful",Color-blocking with bold accessories
1,Stephen Burrows,Spring 2013,Feminine,"Orange and pink sleeveless top, multicolored printed pants",Black strappy sandals,"Slim, fitted","Vibrant, bold",Color blocking with bright patterns
2,Stephen Burrows,Spring 2013,Feminine,Red off-shoulder mini dress,"Yellow bangles, red heels","Loose, flowy","Playful, chic",Open shoulder design with a relaxed fit
3,Stephen Burrows,Spring 2013,Feminine,"Pink asymmetrical top, teal skirt",Silver heels,"Structured, elegant","Colorful, modern",Contrasting colors with a sleek silhouette
1,Stephen Burrows,Spring 2013,Feminine,"Multicolored off-shoulder top, blue skirt","Gold sandals, orange bangle","Flowy, relaxed","Vibrant, playful","Bold print, off-shoulder design"
2,Stephen Burrows,Spring 2013,Feminine,"Pink cut-out top, black mermaid skirt",Red heels,"Fitted, flared","Chic, modern","Cut-out details, contrasting colors"
3,Stephen Burrows,Spring 2013,Feminine,Multicolored printed dress,"Blue necklace, strappy sandals","Straight, draped","Artistic, bold","Colorful print, statement necklace"
1,Stephen Burrows,Spring 2013,Feminine,"Black sleeveless top with neon accents, black shorts","Yellow bangles, silver sandals","Relaxed, casual","Playful, vibrant",Colorful geometric patterns
2,Stephen Burrows,Spring 2013,Feminine,Orange sleeveless dress with neon trim,"Green bangle, silver sandals","Fitted, sleek","Bold, colorful",Contrasting trim adds visual interest
3,Stephen Burrows,Spring 2013,Feminine,Red belted dress with orange sleeve detail,Black strappy heels,"Elegant, flowing","Chic, sophisticated",Subtle color blocking with belt detail
