Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Comme des Garçons,Spring 2024,Gender Neutral,"Floral print dress, oversized ruffled coat","Pink textured hat, colorful sneakers","Voluminous, exaggerated","Avant-garde, floral","Bold colors, layered textures"
2,Comme des Garçons,Spring 2024,Gender Neutral,"Multicolored geometric shorts, ruffled coat","Red wig, embellished shoes","Voluminous, sculptural","Avant-garde, geometric","Contrasting patterns, bold shapes"
3,Comme des Garçons,Spring 2024,Gender Neutral,"Floral print dress, ruffled coat","Pink textured hat, embellished shoes","Voluminous, layered","Avant-garde, floral","Mixed textures, vibrant colors"
1,Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress,"Pink bob wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes"
2,Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress with bow detail,"Yellow textured wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes"
3,Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress,"Purple bob wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes"
1,Comme des Garçons,Spring 2024,Gender Neutral,"Puffy printed dress, blue padded vest","Blue textured wig, colorful sneakers","Voluminous, oversized","Avant-garde, artistic","Renaissance-inspired print, bold colors"
2,Comme des Garçons,Spring 2024,Gender Neutral,"Layered printed dress, red belt","Red textured wig, colorful boots","Voluminous, oversized","Avant-garde, artistic","Renaissance-inspired print, pink accents"
3,Comme des Garçons,Spring 2024,Gender Neutral,Ruffled printed dress,"Yellow textured wig, colorful boots","Voluminous, oversized","Avant-garde, artistic","Plaid and floral mix, bold textures"
1,Comme des Garçons,Fall 2023,Feminine,"Black sculptural dress with circular patterns, oversized square shoulders",Elaborate hairpiece,"Voluminous, architectural","Avant-garde, experimental","Dramatic headpiece, textured fabric"
2,Comme des Garçons,Fall 2023,Feminine,"Navy dress with ruffled details, oversized square shoulders",Elaborate hairpiece,"Voluminous, architectural","Avant-garde, experimental","Dramatic headpiece, layered textures"
3,Comme des Garçons,Fall 2023,Feminine,"Navy dress with striped details, oversized square shoulders",Elaborate hairpiece,"Voluminous, architectural","Avant-garde, experimental","Dramatic headpiece, layered stripes"
1,Comme des Garçons,Fall 2023,Feminine,"Black sculptural top, textured skirt",,"Oversized, avant-garde","Sculptural, dramatic","Exaggerated shoulders, intricate textures"
2,Comme des Garçons,Fall 2023,Feminine,Black and white layered coat,,"Voluminous, layered","Textured, monochrome","Contrasting textures, bold layering"
3,Comme des Garçons,Fall 2023,Feminine,Black and white layered dress,,"Voluminous, structured","Textured, monochrome","Fringe details, bold silhouette"
1,Comme des Garçons,Fall 2023,Feminine,Pink sculptural dress with floral appliqués,Multicolored twisted headpiece,"Voluminous, avant-garde","Bold, artistic","Textured fabric, exaggerated shapes"
2,Comme des Garçons,Fall 2023,Feminine,Red sculptural dress with ruffled details,Multicolored twisted headpiece,"Voluminous, avant-garde","Bold, artistic","Layered textures, dramatic silhouette"
3,Comme des Garçons,Fall 2023,Masculine,Black oversized coat,White sculptural headpiece,"Boxy, oversized","Minimalist, avant-garde","Structured form, monochrome palette"
1,Comme des Garçons,Spring 2023,Feminine,"White circular headpiece, black and white textured dress",White sneakers,"Voluminous, sculptural","Avant-garde, experimental","Dramatic headpiece, layered textures"
2,Comme des Garçons,Spring 2023,Feminine,Black textured dress with oversized ruffles,Black shoes,"Voluminous, cocoon-like","Avant-garde, dramatic","Textured fabric, enveloping silhouette"
3,Comme des Garçons,Spring 2023,Feminine,Black and white layered dress with oversized textures,Black shoes,"Voluminous, asymmetrical","Avant-garde, artistic","Mixed textures, layered construction"
1,Comme des Garçons,Spring 2023,Gender Neutral,"Black lace dress, metallic structured overlay",Headpiece with mixed media,"Voluminous, sculptural","Avant-garde, experimental","Textured materials, exaggerated form"
2,Comme des Garçons,Spring 2023,Gender Neutral,"Black and white floral cape, layered dress",White and beige headpiece,"Oversized, flowing","Artistic, bold","Floral patterns, dramatic headpiece"
3,Comme des Garçons,Spring 2023,Gender Neutral,"Black lace coat, white pants",White and beige headpiece,"Bulbous, cocoon-like","Innovative, theatrical","Contrasting textures, enveloping shape"
1,Comme des Garçons,Spring 2023,Gender Neutral,"Black structured cape, white dress with black floral overlay",Ornate headpiece,"Voluminous, cocoon","Avant-garde, sculptural","Playful floral patterns, exaggerated shapes"
2,Comme des Garçons,Spring 2023,Gender Neutral,"Black textured top, white voluminous skirt",Cage-like headpiece,"Round, oversized","Experimental, artistic","Textured fabrics, bold contrasts"
3,Comme des Garçons,Spring 2023,Gender Neutral,"Black glittery dress, white underlayer",Floral mask headpiece,"Balloon, dramatic","Futuristic, theatrical","Metallic sheen, layered volume"
