Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Windsor,Fall 2022,Feminine,"Pink button-up jacket, pink turtleneck, pink wide-leg trousers",None,"Relaxed, oversized","Monochrome, bold",Bright pink ensemble with tonal layering
2,Windsor,Fall 2022,Feminine,"Blue coat, blue turtleneck, blue wide-leg trousers",None,"Relaxed, oversized","Monochrome, bold",Layered blue tones with a structured coat
3,Windsor,Fall 2022,Feminine,"Green blazer, green wide-leg trousers",None,"Tailored, structured","Monochrome, elegant",Deep green suit with sharp tailoring
1,Windsor,Fall 2022,Feminine,"Camel coat, camel turtleneck, camel pants",Brown ankle boots,"Tailored, longline","Monochrome, elegant","Cozy knitwear, tonal dressing"
2,Windsor,Fall 2022,Feminine,"Pink coat, pink turtleneck, pink pants",Black oxford shoes,"Tailored, cropped","Monochrome, chic","Playful color, relaxed fit"
3,Windsor,Fall 2022,Feminine,"Beige coat, beige double-breasted blazer, beige turtleneck, beige wide-leg pants",Black loafers,"Oversized, structured","Monochrome, sophisticated","Layered suiting, neutral palette"
1,Windsor,Fall 2022,Feminine,"Green midi dress, beige shearling jacket",Nude strappy heels,"A-line, relaxed","Elegant, casual","Soft color palette, layered textures"
2,Windsor,Fall 2022,Feminine,"White shirt, beige bomber jacket, camel wide-leg trousers","Crossbody bag, brown ankle boots","Boxy, tailored","Chic, modern","Neutral tones, structured layers"
3,Windsor,Fall 2022,Feminine,"White top, beige oversized blazer, beige wide-leg trousers",Brown loafers,"Loose, oversized","Minimalist, sophisticated","Monochrome look, relaxed fit"
1,Windsor,Fall 2022,Feminine,"Houndstooth coat, white wide-leg trousers",None,"Oversized, relaxed","Classic, elegant","Belted waist, neutral palette"
2,Windsor,Fall 2022,Feminine,"Beige sleeveless coat, green turtleneck sweater, green wide-leg trousers",Brown ankle boots,"Layered, loose","Chic, cozy","Muted colors, tonal layering"
3,Windsor,Fall 2022,Feminine,"Plaid jacket, white shirt, pinstripe trousers",None,"Tailored, structured","Sophisticated, modern","Contrasting patterns, sharp lines"
1,Windsor,Fall 2022,Feminine,"Pinstripe blazer, white tank top, pinstripe trousers",None,"Tailored, elongated","Classic, professional","Double-breasted blazer, monochrome look"
2,Windsor,Fall 2022,Feminine,"Olive blazer, olive blouse, olive trousers",Hoop earrings,"Relaxed, tailored","Monochrome, chic","Rolled sleeves, tonal layering"
3,Windsor,Fall 2022,Feminine,"Quilted jacket, black coat, black trousers",Silver belt,"Layered, structured","Modern, utilitarian","Quilted texture, contrasting layers"
1,Windsor,Fall 2022,Feminine,"Black cable knit sweater, black trousers",Black boots,"Relaxed, oversized","Casual, cozy","Chunky knit, zip detail"
2,Windsor,Fall 2022,Feminine,"Olive draped coat, plaid shirt, white wide-leg pants",Brown shoes,"Layered, flowing","Sophisticated, earthy","Draped coat, plaid contrast"
3,Windsor,Fall 2022,Feminine,"Black double-breasted blazer, white top, dark wide-leg pants",Gold chain necklace,"Tailored, structured","Chic, modern","Gold button details, sharp tailoring"
1,Windsor,Fall 2022,Feminine,"Olive green parka, black cable-knit sweater, black trousers",Black boots,"Relaxed, layered","Casual, utilitarian","Earthy tones, practical outerwear"
2,Windsor,Fall 2022,Feminine,"Light blue puffer jacket, black trousers","Black boots, black beanie","Voluminous, tapered","Sporty, modern","Bold puffer, contrasting colors"
3,Windsor,Fall 2022,Feminine,"White long puffer coat, cream textured sweater, light blue trousers",Black boots,"Streamlined, cozy","Chic, winter-ready","Neutral palette, textured knit"
1,Windsor,Fall 2022,Feminine,"Cream textured sweater, black trousers",Cream scarf,"Relaxed, cozy","Chic, casual","Textured knit, neutral palette"
2,Windsor,Fall 2022,Feminine,"Black and white checkered jacket, black turtleneck, black trousers",None,"Boxy, tailored","Modern, monochrome","Bold pattern, layered look"
3,Windsor,Fall 2022,Feminine,"Cream coat, black wide-leg trousers",None,"Oversized, structured","Elegant, minimalist","Luxurious fabric, clean lines"
1,Windsor,Fall 2022,Feminine,"Cream double-breasted coat, black sweater, black wide-leg pants",Cream scarf,"Long, relaxed","Chic, elegant","Monochrome layering, soft textures"
