Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,COS,Spring 2024,Feminine,"Off-the-shoulder white blouse, White wide-leg trousers",Red sunglasses,"Oversized, Flowing","Minimalist, Monochrome","Clean lines, Elegant simplicity"
1,COS,Spring 2024,Menswear,"White oversized short-sleeve shirt, White wide-leg trousers",Black sandals,"Relaxed, Oversized","Minimalist, Monochrome",Clean lines and simplicity
1,COS,Spring 2024,Feminine,"Off-the-shoulder top, Mustard, Satin; Wide-leg pants, Mustard, Satin",Red sunglasses,Oversized,"Minimalist, Monochrome",Clean lines with a focus on volume
1,COS,Spring 2024,Feminine,"Black off-shoulder top, Black wide-leg pants","Red sunglasses, Black clutch","Loose, Flowing","Minimalist, Modern",Monochrome black ensemble with bold red eyewear.
1,COS,Spring 2024,Menswear,"White oversized shirt, White knee-length shorts","Black sunglasses, Black mesh tote bag, Black sandals","Relaxed, Oversized","Minimalist, Casual, Contemporary",Monochromatic white look with a focus on clean lines and simplicity.
1,COS,Spring 2024,Feminine,"Black bandeau top, black sheer shawl, black asymmetrical skirt, black sheer pants",None,Streamlined,"Minimalist, Elegant",Monochrome black ensemble with sheer layering
1,COS,Spring 2024,Feminine,"White, long, flowing dress","Oversized sunglasses, small clutch","Loose, flowing","Minimalist, elegant",Simple yet sophisticated look with a focus on clean lines.
1,COS,Spring 2024,Feminine,Black sheer mini dress,"Oversized black leather clutch, Black sunglasses","Loose, Relaxed","Minimalist, Chic",Simple yet elegant with a focus on texture and silhouette.
1,COS,Spring 2024,Feminine,"White mesh hooded dress, sheer texture","Red sunglasses, white clutch","Fitted, floor-length","Futuristic, minimal","Sheer fabric with a modern, sleek aesthetic"
1,COS,Spring 2024,Masculine,"White mesh sleeveless top, Beige wide-leg trousers","Black mesh tote, Black sunglasses","Relaxed, Flowing","Minimalist, Modern",Casual yet sophisticated with a focus on texture.
1,COS,Spring 2024,Unisex,"Black mesh hoodie, White pleated wide-leg pants","Red sunglasses, Black oversized clutch","Relaxed, Flowing","Minimalist, Modern",Contrasting textures with a sporty edge
1,COS,Spring 2024,Feminine,"White knit hooded sweater, White layered skirt","Black sunglasses, White flats","Relaxed, Layered","Minimalist, Monochrome",Clean lines with a casual yet sophisticated vibe
1,COS,Spring 2024,Unisex,"Navy oversized blazer, White oversized shirt, Navy wide-leg trousers","Large sunglasses, Black sandals","Oversized, Relaxed","Minimalist, Modern, Tailored",Clean lines with a focus on simplicity and elegance.
1,COS,Spring 2024,Masculine,"Navy zip-up jumpsuit, White shirt","Black mesh tote, Black sunglasses","Relaxed, Straight","Minimalist, Contemporary",Sleek and understated with a focus on clean lines.
1,COS,Spring 2024,Feminine,"Black strapless top, Black wide-leg pants",Black clutch,"Straight, Relaxed","Minimalist, Chic",Elegant and understated look with a focus on clean lines.
1,COS,Spring 2024,Masculine,"Black textured bomber jacket, Black tailored shorts",Black loafers,"Relaxed, Boxy","Minimalist, Modern",Subtle texture on jacket adds interest
1,COS,Spring 2024,Feminine,"White crop top, White high-waisted wide-leg pants",None,"Fitted top, Loose pants","Minimalist, Monochrome",Clean lines with a focus on simplicity
1,COS,Spring 2024,Masculine,"Denim shirt, Blue, Structured; Denim shorts, Blue, Loose",Brown sandals,Relaxed,"Casual, Minimalist",Monochrome denim ensemble with a focus on comfort and simplicity.
1,COS,Spring 2024,Masculine,"Oversized peach blazer, Rust V-neck top, Peach wide-leg trousers","Black sunglasses, Black sandals","Relaxed, Oversized","Minimalist, Monochrome",Muted color palette with a focus on relaxed tailoring.
1,COS,Spring 2024,Unisex,"Denim shirt, Denim bermuda shorts",Black flats,"Loose, Boxy","Casual, Minimalist","Denim on denim, Relaxed fit"
1,COS,Spring 2024,Masculine,"""Orange satin shirt, Orange satin trousers""",Black sandals,"Relaxed, Fluid","Minimalist, Monochrome",Casual elegance with a focus on comfort and simplicity.
1,COS,Spring 2024,Feminine,Black strapless mini dress,"Black clutch, oversized sunglasses","Fitted, minimal","Chic, modern",Simple yet elegant design
1,COS,Spring 2024,Masculine,"Black satin shirt, Black satin trousers",Black sandals,"Relaxed, Flowing","Minimalist, Elegant",Monochrome look with a focus on simplicity and fluidity.
1,COS,Spring 2024,Feminine,Red satin hooded dress,Red satin clutch,"Loose, Oversized","Monochromatic, Minimalist","Bold use of color with a cohesive, fluid silhouette."
1,COS,Spring 2024,Masculine,"Black oversized blazer, black mesh top, black wide-leg trousers",None,Relaxed,"Minimalist, Monochrome",Classic black ensemble with a modern twist
1,COS,Spring 2024,Gender Neutral,"Black hooded top, Black wide-leg trousers","Black sunglasses, Black belt","Relaxed, Oversized","Minimalist, Monochrome",Sleek and modern look with a focus on comfort and style.
1,COS,Spring 2024,Feminine,"Red sheer blouse, Red wide-leg trousers",Red shoes,Flowy,"Minimalist, Elegant",Monochromatic red ensemble
1,COS,Spring 2024,Feminine,"Black strapless dress, sheer hem",Sunglasses,Fitted,Minimalist,"Elegant, modern"
1,COS,Spring 2024,Feminine,"Black sheer blouse, black high-waisted briefs",Black clutch,"Flowy top, fitted bottom","Minimalist, Elegant",Sheer fabric adds a delicate touch to the bold silhouette.
1,COS,Spring 2024,Masculine,"Navy crinkled shirt, Navy crinkled trousers",Black leather tote,"Relaxed, Straight","Minimalist, Casual",Simple yet sophisticated ensemble with a focus on texture.
1,Cos,Spring 2024,Feminine,Black sheer pleated jumpsuit,Black pointed flats,Fitted,"Minimalist, Elegant",Sheer fabric creates a sophisticated and modern look.
1,COS,Spring 2024,Feminine,"Pleated ivory halter dress, satin texture",White flats,Flowy,"Elegant, Minimalist","Clean lines, subtle sheen"
