Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Yang Li,Spring 2017,Feminine,"White mini dress with black stripe, netted neckline",Black ankle boots,"Straight, fitted","Minimalist, edgy","Netted details, monochrome contrast"
2,Yang Li,Spring 2017,Feminine,"White mini dress with black stripe, one netted sleeve",Black ankle boots,"Straight, fitted","Minimalist, asymmetrical","Netted sleeve, monochrome contrast"
3,Yang Li,Spring 2017,Feminine,"White coat, netted top, lace-up pants",Black ankle boots,"Structured, layered","Minimalist, modern","Lace-up details, monochrome layering"
1,Yang Li,Spring 2017,Feminine,Black asymmetric dress with lace detail,Black ankle boots,"Fitted, asymmetric","Edgy, modern","Off-shoulder design, slit detail"
2,Yang Li,Spring 2017,Feminine,"White long coat, black mesh top, black skirt",Black ankle boots,"Structured, layered","Chic, contemporary","Contrasting textures, monochrome palette"
3,Yang Li,Spring 2017,Feminine,Snakeskin print dress with white accents,Black ankle boots,"Fitted, asymmetric","Bold, eclectic","Mix of patterns, off-shoulder design"
1,Yang Li,Spring 2017,Feminine,"Green textured sleeveless top, asymmetrical skirt",Black ankle boots,"Fitted, asymmetrical","Modern, edgy","Textured fabric, minimal accessories"
2,Yang Li,Spring 2017,Feminine,Green textured dress with black sleeves,Black ankle boots,"Straight, fitted","Contemporary, sleek","Contrasting sleeves, minimalistic"
3,Yang Li,Spring 2017,Feminine,Black textured dress with long sleeves,Black ankle boots,"Straight, fitted","Chic, modern","Monochrome look, sleek silhouette"
1,Yang Li,Fall 2014,Feminine,"Navy V-neck dress, draped fabric detail",Black ankle boots,"Fitted, asymmetrical","Elegant, modern","Satin finish, dramatic drape"
2,Yang Li,Fall 2014,Feminine,"Camel structured jacket, wide-leg trousers",Black belt,"Tailored, structured","Sophisticated, minimalist","Contrasting collar, cinched waist"
3,Yang Li,Fall 2014,Feminine,Tan trench coat dress,Black ankle boots,"Flared, belted","Chic, contemporary","Rolled sleeves, layered look"
1,Yang Li,Fall 2014,Feminine,"Camel coat, beige pants, black pleated belt",None,"Tailored, fitted","Minimalist, structured","Asymmetrical closure, monochrome palette"
2,Yang Li,Fall 2014,Feminine,"Camel and black coat, wide-leg black trousers",None,"Oversized, voluminous","Minimalist, modern","Contrasting lapels, relaxed fit"
3,Yang Li,Fall 2014,Feminine,"Camel coat-dress, black waist detail",None,"A-line, fitted","Minimalist, elegant","Structured bodice, flowing skirt"
1,Yang Li,Fall 2014,Masculine,"Black velvet jacket, black trousers",None,"Structured, sleek","Minimalist, modern","High-shine fabric, monochrome"
2,Yang Li,Fall 2014,Masculine,"Black bomber jacket with fur collar, black trousers",Black wide-brim hat,"Boxy, relaxed","Classic, sophisticated","Fur detail, monochrome"
3,Yang Li,Fall 2014,Feminine,"Burgundy fur coat, black mini dress",None,"Voluminous, cinched waist","Luxurious, bold","Rich texture, deep V-neck"
