Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Collette Dinnigan,Fall 2008,Feminine,"Black military-style jacket, black leather pants",,"Fitted, structured","Military, edgy",Intricate gold detailing on jacket
2,Collette Dinnigan,Fall 2008,Feminine,"Sheer black blouse, black velvet skirt",,"Fitted, elegant","Sheer, sophisticated",Delicate lace detail on blouse
3,Collette Dinnigan,Fall 2008,Feminine,"Black one-shoulder sequined top, black leather pants",Black gloves,"Fitted, sleek","Glamorous, modern",Asymmetrical top with sequins
1,Collette Dinnigan,Fall 2008,Feminine,"Black military-style jacket, black pants",,"Slim, structured","Military, chic","Decorative buttons, minimalist"
2,Collette Dinnigan,Fall 2008,Feminine,Black one-shoulder dress,Black tights,"Fitted, asymmetrical","Elegant, modern",Floral embellishment on shoulder
3,Collette Dinnigan,Fall 2008,Feminine,"Black embroidered jacket, black pants",,"Slim, structured","Ornate, sophisticated",Gold embroidery details
1,Collette Dinnigan,Fall 2008,Feminine,"Black embellished dress, black tights",Black shoes,"Fitted, structured","Elegant, embellished",Intricate shoulder details
2,Collette Dinnigan,Fall 2008,Feminine,"Sheer black blouse, embroidered black skirt, black tights",Black shoes,"Fitted, sheer","Sophisticated, sheer",Floral embroidery on skirt
3,Collette Dinnigan,Fall 2008,Feminine,"Black dress with embroidered sleeves, black tights",Black shoes,A-line,"Chic, embroidered",Embroidered sleeve details
1,Collette Dinnigan,Fall 2011,Feminine,"Black embellished coat, gold brocade pants",Black heels,"Tailored, straight","Elegant, sophisticated",Textured coat with intricate detailing
2,Collette Dinnigan,Fall 2011,Feminine,Gold brocade dress,"Black belt, polka dot tights, black heels",Hourglass,"Vintage, opulent","Puffed sleeves, fitted waist"
3,Collette Dinnigan,Fall 2011,Feminine,"Black embellished jacket, black pants",Black heels,"Fitted, structured","Chic, modern","Intricate beading on jacket, sleek silhouette"
1,Collette Dinnigan,Fall 2011,Feminine,"Black lace dress, fur collar","Black gloves, polka dot tights","Fitted, knee-length","Elegant, intricate","Lace pattern, fur detail"
2,Collette Dinnigan,Fall 2011,Feminine,Black lace dress,Polka dot tights,"Fitted, knee-length","Classic, delicate","Scalloped neckline, puff sleeves"
3,Collette Dinnigan,Fall 2011,Feminine,Black dress with lace panel,"Black gloves, polka dot tights","Fitted, knee-length","Sophisticated, bold","Contrasting lace panel, structured shoulders"
1,Collette Dinnigan,Fall 2011,Feminine,"Black embellished jacket, black wide-leg pants","Black belt, black gloves","Structured, elongated","Elegant, sophisticated","Textured embellishments, monochrome"
2,Collette Dinnigan,Fall 2011,Feminine,"Black lace top, black lace pants",Black belt,"Fitted, sleek","Chic, modern","Sheer lace, tailored fit"
3,Collette Dinnigan,Fall 2011,Feminine,"Black wrap top, black tiered skirt","Black belt, black gloves, polka dot tights","Hourglass, layered","Classic, refined","Textured layers, polished look"
