Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,KOLOR,Spring 2021,Masculine,"Plaid coat, green sweater, burgundy pants",Loafers,"Layered, relaxed","Eclectic, casual",Mix of patterns and textures
2,KOLOR,Spring 2021,Masculine,"Trench coat, red shirt, gray trousers",Loafers,"Layered, dynamic","Bold, contemporary",Contrasting colors and structured layers
3,KOLOR,Spring 2021,Feminine,"Trench coat, graphic top, patterned pants",Loafers,"Layered, flowing","Playful, modern",Graphic prints and vibrant colors
1,KOLOR,Spring 2021,Masculine,"Silver bomber jacket, red windbreaker, beige button-up, blue sweatpants","Patterned sandals, green socks","Layered, relaxed","Casual, sporty",Mix of textures and colors
2,KOLOR,Spring 2021,Masculine,"Patterned bomber jacket, blue graphic tee, gray checkered pants","Patterned sandals, green socks","Loose, casual","Streetwear, graphic",Bold prints and layering
3,KOLOR,Spring 2021,Feminine,"Striped jacket, brown tailored blazer, patterned skirt","Red shoes, blue socks","Asymmetrical, layered","Eclectic, tailored",Mix of patterns and structured tailoring
1,KOLOR,Spring 2021,Masculine,"Color-blocked coat, layered shirts, dark trousers",Patterned sandals,"Layered, relaxed","Eclectic, layered",Mix of textures and colors
2,KOLOR,Spring 2021,Masculine,"Brown short-sleeve sweater, turquoise undershirt, red trousers",Patterned sandals,"Loose, casual","Bold, casual",Bright color contrast
3,KOLOR,Spring 2021,Feminine,"Striped shirt, orange skirt",Patterned sandals,"Flowy, voluminous","Playful, vibrant",Mix of patterns and colors
1,Kolor,Fall 2015,Masculine,"Brown suede coat with fur collar, geometric sweater, gray wide-leg pants",None,"Relaxed, layered","Eclectic, retro","Mix of textures, earthy tones"
2,Kolor,Fall 2015,Feminine,"Gray poncho with leather pocket, striped maxi skirt",Patterned scarf,"Loose, flowing","Bohemian, layered","Contrasting patterns, earthy palette"
3,Kolor,Fall 2015,Masculine,"Red patterned poncho, gray and black pants",Black and white sneakers,"Relaxed, sporty","Graphic, casual","Bold prints, athletic influence"
1,KOLOR,Fall 2015,Feminine,"Striped sweater, polka dot skirt",Patterned scarf,A-line,"Eclectic, layered","Mix of patterns, textured fabrics"
2,KOLOR,Fall 2015,Masculine,"Plaid coat, blue shirt, navy skirt",None,Oversized,"Androgynous, layered","Contrasting textures, long silhouette"
3,KOLOR,Fall 2015,Feminine,"Lace overlay coat, blue blouse",None,Tailored,"Elegant, intricate","Lace detailing, rich colors"
1,Kolor,Fall 2015,Masculine,"Patterned sweater, color-block skirt, tailored pants",Slip-on shoes,"Layered, relaxed","Eclectic, modern",Mix of textures and patterns
2,Kolor,Fall 2015,Feminine,"Olive trench coat, layered skirt",Slip-on shoes,"Flowy, oversized","Utilitarian, layered","Asymmetrical layering, earthy tones"
3,Kolor,Fall 2015,Masculine,"Dark tailored coat, wide-leg pants","Knit neck warmer, slip-on shoes","Structured, voluminous","Contemporary, avant-garde","Textured knit details, muted palette"
