Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Maje,Fall 2024,Feminine,"Navy pinstripe blazer, Navy pinstripe shorts, Light blue patterned shirt",Brown leather shoulder bag,"Relaxed, Oversized","Chic, Modern, Tailored",Mix of classic tailoring with contemporary elements
1,Maje,Fall 2024,Feminine,"White sequin jacket, White wide-leg jeans",Studded shoes,"Relaxed, Wide-leg","Casual, Chic",Monochromatic white look with textured details
1,Maje,Fall 2024,Feminine,"Olive green ruched crop top, Olive green full skirt",Gold pendant necklace,"Fitted top, Full skirt","Elegant, Modern, Chic",Textured fabric adds depth
1,Maje,Fall 2024,Feminine,"Black lace maxi dress, sheer texture","Black leather bag, Black chunky boots","Fitted bodice, Flowy skirt","Edgy, Romantic, Gothic","Intricate lace detailing, Sheer panels"
1,Maje,Fall 2024,Feminine,"Faux fur jacket, Leopard print maxi dress",Gold chain necklace,"Relaxed, Longline","Chic, Elegant, Animal Print",Combines classic elegance with bold print.
1,Maje,Fall 2024,Feminine,"Charcoal gray oversized coat, Black polka dot crop top, Black polka dot high-waisted shorts","Black leather shoulder bag, White socks, Black loafers",Oversized coat with fitted undergarments,"Casual, Chic, Playful",Mix of formal outerwear with playful undergarments
1,Maje,Fall 2024,Feminine,Black sequin mini dress,"Black loafers, White socks",Fitted,"Chic, Elegant","Short sleeves, High neckline"
1,Maje,Fall 2024,Feminine,"Brown tailored blazer, Brown trousers","Gold chain belt, Gold ring","Structured, Oversized","Chic, Minimalist",Sophisticated use of accessories
1,Maje,Fall 2024,Feminine,"Brown leather jacket, Brown turtleneck sweater, Plaid pleated skirt",Gold chain necklace,"Structured, Layered","Chic, Modern, Preppy",Classic fall colors with a mix of textures.
1,Maje,Fall 2024,Feminine,"Black leather jacket, Light blue shirt, Blue denim jeans","Burgundy cap, Black loafers","Relaxed, Straight-leg","Casual, Chic",Effortless blend of casual and chic elements
1,Maje,Fall 2024,Feminine,"Beige knit cardigan, Brown pleated skirt","Brown leather bag, Brown loafers, Beige socks","Fitted top, Flared skirt","Casual, Preppy, Cozy","Textured knit, Asymmetrical skirt hem"
1,Maje,Fall 2024,Feminine,"Brown plaid blazer, black sweater, red shirt, black leather pants",Black ankle boots,"Structured, tailored","Chic, modern, layered",Classic fall color palette with a mix of textures.
1,Maje,Fall 2024,Feminine,"Navy wool hooded coat, Gray turtleneck sweater, Plaid pleated skirt",Gray socks,"Oversized coat, Mini skirt","Casual, Preppy",Layered look with classic patterns
1,Maje,Fall 2024,Feminine,"Beige coat, White turtleneck, Beige trousers","Brown suede bag, Brown gloves",Oversized,"Chic, Minimalist",Neutral tones with a focus on layering
1,Maje,Fall 2024,Feminine,"""Denim jacket, blue, embellished""; ""Sequin top, silver""; ""Jeans, blue, embellished""",None,Relaxed,"Casual, Glam, Embellished",Denim with sequins for a casual glam look.
1,Maje,Fall 2024,Female,"Striped sleeveless knit vest, navy cargo pants","Navy cap, brown leather bag",Relaxed,"Casual, Sporty, Chic",Nautical-inspired vest with utilitarian pants
1,Maje,Fall 2024,Feminine,Red sequin mini dress,None visible,Fitted,"Glamorous, Sparkling","Short sleeves, floral sequin pattern"
1,Maje,Fall 2024,Feminine,"Black coat with faux fur collar, Gray turtleneck, Silver sequin skirt",Black studded handbag,Structured,"Chic, Elegant, Modern",Combination of textures with sequins and faux fur adds sophistication.
1,Maje,Fall 2024,Feminine,"Navy zip-up jacket, Navy pants with orange stripe, Light blue shirt, Orange sweater tied at waist",Black pointed heels,"Relaxed, Sporty","Casual, Sporty, Chic",Contrasting colors with sporty elements
1,Maje,Fall 2024,Feminine,"Oversized red turtleneck sweater, Navy wide-leg corduroy pants","Black studded handbag, Black pointed shoes","Oversized top, Wide-leg pants","Casual, Edgy, Modern","Bold color contrast, Textured fabrics"
1,Maje,Fall 2024,Feminine,"Silver sequin top, Black wide-leg pants",Silver statement earrings,"Relaxed, Oversized","Glamorous, Casual",Contrast of sparkling top with casual pants
1,Maje,Fall 2024,Feminine,Brown ribbed knit turtleneck dress,Brown suede bag,"Fitted, Longline","Minimalist, Chic",Elegant and cozy knitwear
1,Maje,Fall 2024,Feminine,"Shearling coat, brown and white, textured; Blue jeans, denim",Black leather bag with fringe and grommet details,"Oversized, relaxed","Bohemian, cozy, chic",Textured shearling adds volume; casual yet stylish.
1,Maje,Fall 2024,Feminine,"Navy embellished jacket, Light blue shirt, Navy cargo pants",Blue fringed bag,Relaxed,"Casual, Chic, Embellished",Features intricate embellishments on the jacket
1,Maje,Fall 2024,Feminine,"Gray wool coat, Gray knit dress","Black leather bag, Gold earrings","Long, Layered","Minimalist, Chic",Monochromatic gray ensemble with sleek lines
1,Maje,Fall 2024,Feminine,Silver sequin dress,Black platform sandals,"Straight, relaxed","Glamorous, modern","Minimal accessories, focus on texture"
1,Maje,Fall 2024,Feminine,"Black shearling jacket, Gray embellished sweater, White turtleneck, Black knit shorts",None,Structured,"Cozy, Layered, Textured",Mix of textures with embellishments
1,Maje,Fall 2024,Feminine,"Cropped olive wool jacket, Olive embellished jumpsuit","Black leather bag, Black chunky boots","Relaxed, Cropped","Military, Casual, Chic",Structured jacket with casual jumpsuit
1,Maje,Fall 2024,Feminine,"Beige ribbed turtleneck, White mini skirt with floral appliqué",None,"Fitted top, A-line skirt","Chic, Minimalist, Elegant",Floral details add texture and interest
1,Maje,Fall 2024,Feminine,"Pinstripe vest, Pinstripe trousers","Black leather bag, Black belt",Tailored,"Chic, Modern, Sleek","Monochrome pinstripe pattern, Minimalist aesthetic"
