Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Sandro,Fall 2022,Feminine,"Brown coat, beige cropped sweater, orange sweatpants",None,"Relaxed, oversized","Casual, cozy","Layered knitwear, vibrant color contrast"
2,Sandro,Fall 2022,Feminine,"Plaid blazer, blue cropped sweater, gray trousers","Black bucket hat, blue scarf","Tailored, relaxed","Chic, layered","Mix of textures, muted tones"
3,Sandro,Fall 2022,Feminine,"Plaid coat, floral mini dress",Black belt with chain detail,"Structured, layered","Eclectic, bold","Pattern mixing, statement outerwear"
1,Sandro,Fall 2022,Feminine,"Plaid blazer, patterned sweater, blue shirt, leather mini skirt",Blue scarf,"Structured, layered","Preppy, eclectic",Mix of textures and patterns
2,Sandro,Fall 2022,Feminine,"Plaid jacket, green turtleneck, blue knit skirt","Bucket hat, chain belt, blue scarf","Relaxed, layered","Casual, cozy","Bold plaid, layered accessories"
3,Sandro,Fall 2022,Feminine,"Plaid shirt, ribbed turtleneck, high-waisted jeans",None,"Casual, relaxed","Casual, laid-back","Classic denim, oversized plaid"
1,Sandro,Fall 2022,Feminine,"Denim jacket with shearling collar, high-waisted jeans",None,"Fitted, casual","Denim-on-denim, classic",Patchwork details on jacket
2,Sandro,Fall 2022,Feminine,"Navy coat, patterned dress","Blue scarf, brooch","Layered, elegant","Chic, sophisticated",Textured scarf adds contrast
3,Sandro,Fall 2022,Feminine,"White sweater with floral embroidery, polka dot skirt","Black bucket hat, black boots","Relaxed, flowy","Casual, playful",Mix of patterns with floral and polka dots
1,Sandro,Fall 2022,Feminine,"Gray double-breasted blazer, patterned sweater, white shirt",Plaid scarf,"Tailored, structured","Classic, elegant","Gold buttons, layered look"
2,Sandro,Fall 2022,Feminine,"Gray pinstripe blazer, gray turtleneck, black ribbed top, white pants",None,"Cropped, fitted","Modern, chic","Layered textures, contrast buttons"
3,Sandro,Fall 2022,Feminine,"Green plaid overshirt, green hoodie, plaid skirt",Quilted cap,"Relaxed, casual","Casual, sporty","Layered look, monochrome green"
1,Sandro,Fall 2022,Feminine,Floral print dress,Green plaid scarf,"Relaxed, flowing","Bohemian, cozy",Layered with oversized scarf
2,Sandro,Fall 2022,Feminine,"Striped knit sweater, beige puffer vest",Green quilted bucket hat,"Structured, layered","Casual, sporty",Neutral tones with quilted details
3,Sandro,Fall 2022,Feminine,"Green quilted jacket, white joggers, beige puffer vest",Green and brown quilted bag,"Relaxed, casual","Sporty, layered",Mix of textures with quilted elements
1,Sandro,Fall 2022,Feminine,"Floral dress, shearling jacket",None,"Oversized, layered","Bohemian, cozy",Mix of textures with floral and shearling
2,Sandro,Fall 2022,Feminine,Ribbed knit dress,"Plaid scarf, patterned tote bag","Fitted, elongated","Chic, warm",Contrasting patterns with scarf and bag
3,Sandro,Fall 2022,Feminine,"Cropped jacket, patterned shirt, beige trousers",Plaid scarf,"Relaxed, cropped","Casual, layered",Neutral tones with a pop of pattern
1,Sandro,Fall 2022,Feminine,Striped floral dress,Plaid scarf,"Fitted, gathered waist","Bohemian, vintage","Puffed sleeves, textured scarf"
2,Sandro,Fall 2022,Feminine,"Patterned bomber jacket, cropped sweater, drawstring pants",None,"Relaxed, layered","Casual, eclectic","Mixed patterns, sporty elements"
3,Sandro,Fall 2022,Feminine,"Black varsity jacket, bralette, wide-leg pants",None,"Relaxed, oversized","Sporty, minimal","Monochrome, athletic vibe"
1,Sandro,Fall 2022,Feminine,"Red and black striped crop top, black leather pants",Black and white loafers,"Fitted, straight-leg","Casual, chic","Bold stripes, leather texture"
