Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Charles Jeffrey Loverboy,Spring 2023,Masculine,"Pinstripe double-breasted blazer, pinstripe shorts, printed shirt","Striped hat, statement earring, red tights, embellished shoes","Boxy, cropped","Eclectic, playful",Mix of formal and casual elements
2,Charles Jeffrey Loverboy,Spring 2023,Feminine,Pinstripe wrap dress,"White oversized sunglasses, black belt, yellow fishnet socks, black heels",A-line,"Chic, avant-garde","Bold accessories, structured silhouette"
3,Charles Jeffrey Loverboy,Spring 2023,Masculine,"Tie-dye tank top, navy wide-leg trousers","Striped hat, statement earring, rope belt, embellished shoes",Relaxed,"Casual, artistic","Graphic print, relaxed fit"
1,Charles Jeffrey LOVERBOY,Spring 2023,Feminine,Navy pinstripe dress,"White sunglasses, white heels","Voluminous, structured","Avant-garde, playful","Exaggerated sleeves, pinstripe pattern"
2,Charles Jeffrey LOVERBOY,Spring 2023,Masculine,"Checkered shirt, navy trousers","Checkered hat, rope belt","Relaxed, casual","Nautical, eclectic","Lace-up details, mixed patterns"
3,Charles Jeffrey LOVERBOY,Spring 2023,Masculine,Pinstripe suit,,"Tailored, fitted","Deconstructed, edgy","Cut-out shoulders, pinstripe pattern"
1,Charles Jeffrey Loverboy,Spring 2023,Feminine,"Plaid dress with ruffled hem, oversized collar","Striped hat, wide belt, white socks, black shoes","A-line, cinched waist","Playful, eclectic","Mix of patterns, exaggerated collar"
2,Charles Jeffrey Loverboy,Spring 2023,Feminine,"Denim jacket, white full skirt","Striped hat, belt, white socks, black shoes","Voluminous, structured","Retro, avant-garde","Contrasting textures, bold silhouette"
3,Charles Jeffrey Loverboy,Spring 2023,Masculine,"Navy cropped vest, lace top, white skirt","White hat, blue embellished shoes, fishnet socks","Straight, fitted","Eclectic, modern","Mix of textures, unique footwear"
1,Charles Jeffrey Loverboy,Fall 2021,Gender Fluid,"Multicolored graphic suit, leggings",Spiked shoes,"Fitted, elongated","Avant-garde, bold","Colorful patchwork, asymmetrical design"
2,Charles Jeffrey Loverboy,Fall 2021,Gender Fluid,"Plaid jacket, plaid skirt","Plaid hat, striped socks, spiked shoes","Structured, layered","Punk, eclectic","Bold plaid patterns, exaggerated shoulders"
3,Charles Jeffrey Loverboy,Fall 2021,Gender Fluid,"Fringed tops, striped shorts, striped pants","Belts, platform shoes","Layered, mixed","Punk, deconstructed","Fringe details, mixed patterns, layered textures"
1,Charles Jeffrey Loverboy,Fall 2021,Androgynous,"Tie-dye coat, mesh top, lace pants","Spiked shoes, gloves","Layered, elongated","Punk, avant-garde","Bold makeup, dramatic hair"
2,Charles Jeffrey Loverboy,Fall 2021,Androgynous,"Lilac coat, patterned bodysuit, wide-leg pants","Platform shoes, ties","Layered, oversized","Eclectic, playful","Contrasting patterns, vibrant colors"
3,Charles Jeffrey Loverboy,Fall 2021,Masculine,"Black suit, printed scarf","White shoes, rings","Tailored, sleek","Classic, artistic","Bold scarf, monochrome contrast"
1,Charles Jeffrey Loverboy,Fall 2021,Feminine,"Graphic crop top, matching skirt, black coat","Necklace, printed tights, platform boots","Fitted, layered","Punk, artistic","Bold prints, statement hair"
2,Charles Jeffrey Loverboy,Fall 2021,Feminine,"Color-blocked dress, knitted scarf","Knitted hat, white shoes","Column, fitted","Playful, colorful","Graphic patterns, knitwear"
3,Charles Jeffrey Loverboy,Fall 2021,Gender Fluid,"Striped sweater dress, striped shorts","Spiked shoes, striped socks, knitted hat","Oversized, layered","Eclectic, vibrant","Mixed patterns, bold accessories"
1,Charles Jeffrey Loverboy,Spring 2021,Gender Neutral,"Yellow graphic panels, black base outfit",None,"Oversized, layered","Eclectic, bold","Vibrant colors, graphic motifs"
2,Charles Jeffrey Loverboy,Spring 2021,Gender Neutral,Green plaid dress,Platform shoes,A-line,"Punk, avant-garde","Plaid pattern, exaggerated proportions"
3,Charles Jeffrey Loverboy,Spring 2021,Masculine,"Crochet sweaters, briefs",Floral headpieces,Fitted,"Artistic, experimental","Textured knitwear, floral accents"
1,Charles Jeffrey Loverboy,Spring 2021,Unisex,Red and black graphic armor-like top,Leaf and floral headpiece,"Boxy, exaggerated","Avant-garde, artistic",Bold graphic patterns with 'HEALTH' text
2,Charles Jeffrey Loverboy,Spring 2021,Unisex,Yellow and black patterned dress,"Matching hat, fishnet stockings","Fitted, flared","Psychedelic, vibrant",Optical illusion pattern with platform shoes
3,Charles Jeffrey Loverboy,Spring 2021,Unisex,Blue and red graphic armor-like ensemble,Square headpiece,"Boxy, exaggerated","Avant-garde, artistic",Bold graphic patterns with 'HOPE' text
1,Charles Jeffrey Loverboy,Spring 2021,Masculine,"Patterned suit, platform shoes",None,"Elongated, oversized","Psychedelic, bold","Optical illusion print, exaggerated proportions"
2,Charles Jeffrey Loverboy,Spring 2021,Feminine,Black high-waisted underwear,Green hat,"Minimal, fitted","Avant-garde, daring","Playful headpiece, minimal coverage"
3,Charles Jeffrey Loverboy,Spring 2021,Masculine,Patterned jacket,"Headscarf, necklace","Structured, fitted","Eclectic, artistic","Colorful print, mixed patterns"
