Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Plan C,Fall 2024,Feminine,"Red short-sleeve coat, black turtleneck, red skirt","Brown handbag, gold chain bracelet","A-line, layered","Bold, modern","Contrasting colors, statement bracelet"
2,Plan C,Fall 2024,Feminine,"Gray sweater, brown asymmetrical skirt",Gold chain bag,"Asymmetrical, relaxed","Casual, chic","Layered textures, bold accessories"
3,Plan C,Fall 2024,Feminine,"Brown double-breasted coat, brown skirt, white shirt",White scarf,"Boxy, structured","Classic, elegant","Layered outerwear, neutral palette"
1,Plan C,Fall 2024,Feminine,"Brown coat, blue striped shirt dress",Red knee-high boots,"Layered, oversized","Eclectic, layered","Mix of textures, bold boots"
2,Plan C,Fall 2024,Feminine,"Gray cardigan, black turtleneck, burgundy wide-leg trousers","Gold chain necklace, black handbag","Relaxed, tailored","Chic, sophisticated","Contrasting textures, statement necklace"
3,Plan C,Fall 2024,Feminine,"Beige oversized jacket, brown knit top, beige skirt",Brown chain strap bag,"Boxy, structured","Modern, minimalist","Monochrome palette, oversized fit"
1,Plan C,Fall 2024,Feminine,"Brown oversized sweater, red and black striped dress","Gold chain necklace, black clutch","Relaxed, layered","Chic, bold","Contrasting textures, statement necklace"
2,Plan C,Fall 2024,Feminine,"Pinstripe suit, gray turtleneck",Black oversized bag,"Tailored, oversized","Sophisticated, modern","Monochrome layering, sleek lines"
3,Plan C,Fall 2024,Feminine,"Black short-sleeve dress, gray turtleneck","Gold chain necklace, brown tote bag, black knee-high boots","Boxy, structured","Minimalist, edgy","Bold accessories, clean lines"
1,Plan C,Fall 2021,Feminine,"Tan wide-leg trousers, green and tan color-blocked top",Yellow earrings,"Relaxed, elongated","Color-block, casual","Beach setting, bold color contrast"
2,Plan C,Fall 2021,Feminine,Black dress with brown panel,None visible,"Straight, knee-length","Minimalist, sleek","Beach setting, high boots"
3,Plan C,Fall 2021,Feminine,"Brown blazer, black shorts",Green socks,"Boxy, structured","Layered, tailored","Beach setting, contrasting colors"
1,Plan C,Fall 2021,Masculine,"Black coat, orange turtleneck, magenta trousers",White boots,"Straight, relaxed","Bold, color-blocking","Contrasting colors, beach setting"
2,Plan C,Fall 2021,Feminine,"Magenta blazer, orange turtleneck, pleated skirt","White boots, clutch","Structured, flowing","Vibrant, layered","Mix of textures, beach setting"
3,Plan C,Fall 2021,Masculine,"Black top, orange turtleneck, black shorts","Striped bag, white boots","Boxy, casual","Minimalist, sporty","Playful accessories, beach setting"
1,Plan C,Fall 2021,Feminine,"Fur-collared coat, orange turtleneck, black shorts",Black knee-high boots,"Boxy, layered","Eclectic, casual","Beach setting, mix of textures"
2,Plan C,Fall 2021,Feminine,"Oversized plaid top, matching shorts, blue turtleneck","Striped tote bag, white shoes","Loose, oversized","Playful, bold","Colorful socks, contrasting patterns"
3,Plan C,Fall 2021,Feminine,"Plaid coat, green turtleneck",White boots,"Structured, oversized","Classic, modern","Green socks, beach backdrop"
1,Plan C,Fall 2021,Neutral,"Tan wide-leg trousers, green and tan color-blocked top",None,"Relaxed, elongated","Casual, color-blocked","Beach setting, minimal accessories"
2,Plan C,Fall 2021,Neutral,Black dress with brown panel,None,"Straight, knee-length","Modern, utilitarian","Contrasting colors, bold boots"
3,Plan C,Fall 2021,Neutral,"Brown blazer, black shorts",None,"Boxy, tailored","Contemporary, structured","Layered look, vibrant socks"
1,Plan C,Fall 2021,Masculine,"Black coat, orange turtleneck, magenta trousers",White boots,"Structured, relaxed","Bold, color-blocking","Contrasting colors, beach setting"
2,Plan C,Fall 2021,Feminine,"Magenta blazer, orange turtleneck, pleated skirt","White boots, clutch","Tailored, flowing","Vibrant, eclectic","Layered textures, bold hues"
3,Plan C,Fall 2021,Masculine,"Navy top, orange turtleneck, navy shorts","Striped bag, white boots","Boxy, casual","Minimalist, modern","Playful accessories, clean lines"
1,Plan C,Fall 2021,Feminine,"Brown fur-collared vest, black sweater, navy shorts",Black knee-high boots,"Layered, relaxed","Casual, outdoor","Beach setting, warm layering"
2,Plan C,Fall 2021,Feminine,"Oversized plaid top, matching plaid shorts","Striped tote bag, white ankle boots","Boxy, oversized","Eclectic, bold","Colorful socks, contrasting patterns"
3,Plan C,Fall 2021,Feminine,"Plaid overcoat, green turtleneck","White boots, green socks","Straight, structured","Classic, tailored",Muted tones with bright accents
