Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Ottolinger,Fall 2022,Neutral,"Green denim jacket, green denim pants","Black sunglasses, fur detail","Fitted, layered","Futuristic, edgy","Monochrome green, textured fabric"
2,Ottolinger,Fall 2022,Neutral,"Blue checkered top, green wrap skirt",Statement earrings,"Relaxed, draped","Eclectic, avant-garde","Mix of patterns, bold footwear"
3,Ottolinger,Fall 2022,Neutral,"Grey cropped top, grey wrap pants","Green sunglasses, small white bag","Relaxed, layered","Sporty, modern","Textured fabric, casual elegance"
1,Ottolinger,Fall 2022,Feminine,"Gray hooded coat, layered knit dress","Sunglasses, red knit gloves, fur leg warmers","Layered, asymmetrical","Avant-garde, eclectic","Mix of textures, bold accessories"
2,Ottolinger,Fall 2022,Feminine,"Brown speckled sweatshirt, printed mini skirt","White textured bag, red knit gloves, fur leg warmers","Casual, layered","Streetwear, eclectic","Playful prints, mixed materials"
3,Ottolinger,Fall 2022,Feminine,"Shiny burgundy coat with fur trim, brown speckled pants",Decorative eye makeup,"Oversized, structured","Futuristic, bold","Shiny textures, dramatic silhouette"
1,Ottolinger,Fall 2022,Feminine,"Printed long dress, black bralette","Sunglasses, red belt","Fitted, layered","Eclectic, artistic",Mix of prints and textures
2,Ottolinger,Fall 2022,Masculine,"Black oversized jacket, black pants",Sunglasses,"Oversized, relaxed","Avant-garde, edgy",Faux fur boots
3,Ottolinger,Fall 2022,Feminine,"Blue velvet top, black leather pants",Blue sunglasses,"Fitted, structured","Futuristic, bold",Contrasting textures and colors
1,Ottolinger,Spring 2021,Feminine,"Beige knit tank top, beige knit shorts",Yellow and brown heeled sandals,"Relaxed, casual","Comfortable, knitwear","Textured fabric, neutral tones"
2,Ottolinger,Spring 2021,Feminine,"Beige striped knit cardigan, beige striped knit shorts",Yellow and brown heeled sandals,"Relaxed, casual","Comfortable, knitwear","Striped pattern, cropped top"
3,Ottolinger,Spring 2021,Feminine,Beige cut-out dress,Beige wrap sandals,"Fitted, elegant","Minimalist, sleek","Cut-out details, high slit"
1,Ottolinger,Spring 2021,Feminine,"Printed top, printed cycling shorts",Straw bag with blue handles,"Fitted, casual","Playful, casual","Intricate print, relaxed fit"
2,Ottolinger,Spring 2021,Feminine,Printed maxi dress with cutouts,None,"Flowing, dramatic","Edgy, avant-garde","Cutout details, long sleeves"
3,Ottolinger,Spring 2021,Feminine,"Ruffled off-shoulder top, printed pants",None,"Relaxed, voluminous","Romantic, bohemian","Ruffles, floral print"
1,Ottolinger,Spring 2021,Feminine,Cream maxi dress with gathered details,"Straw bag with chain strap, yellow heeled sandals","Loose, flowing","Bohemian, relaxed","Textured fabric, casual elegance"
2,Ottolinger,Spring 2021,Feminine,"Cream short-sleeve top, cream ruffled skirt with slit","Small furry handbag, yellow heeled sandals","Fitted, flared","Romantic, playful","Ruffled details, high slit"
3,Ottolinger,Spring 2021,Feminine,"Black strappy top, sheer cream pants","Small furry handbag, beige twisted sandals","Fitted, sheer","Edgy, modern","Sheer layering, bold top design"
