Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Aeron,Spring 2024,Feminine,"Light blue denim jacket, White button-up shirt, Navy wide-leg pants",Geometric earrings,Relaxed,"Casual, Chic",Classic denim and tailored mix
1,AG,Spring 2024,Feminine,"White t-shirt, Blue denim skirt","Black belt, Gray sweater","Straight, Midi","Casual, Relaxed",Features slouchy boots and a tied sweater.
1,Agnès B,Spring 2024,Feminine,"Navy jacket, Blue denim jacket, Blue denim jeans","Silver hoop earrings, Black sandals",Relaxed,"Casual, Layered, Denim",Classic denim-on-denim look with a modern twist
1,AG,Spring 2024,Masculine,"Gray suede jacket, Blue denim shirt, White t-shirt, Light wash jeans",Silver rings,Relaxed,"Casual, Layered",Classic casual layering with denim and suede textures.
1,Unknown,Spring 2024,Masculine,"Blue and white striped sweater, Dark blue jeans",Ring,Relaxed,"Casual, Minimalist",Simple and clean look with a focus on comfort.
1,AG,Spring 2024,Menswear,"Gray blazer, White t-shirt, White jeans","Silver chain, Rings",Relaxed fit,"Casual, Minimalist","Earthy tones with a clean, modern look"
1,Unknown,Spring 2024,Feminine,"Silver satin blouse, White high-waisted pants, Gray wool wrap","Black belt, Strappy heels","Relaxed, Draped","Minimalist, Elegant",Sophisticated use of textures and neutral tones.
1,Unknown,Spring 2024,Feminine,"Striped long-sleeve top, Navy wide-leg trousers","Black belt, Black handbag, Hoop earrings","Relaxed, Straight","Casual, Nautical","Classic striped pattern, Minimalist accessories"
1,AG,Spring 2024,Feminine,"White cotton shirt, White tank top, Blue denim jeans","Silver hoop earrings, Black belt",Relaxed fit,"Casual, Minimalist",Classic casual look with a focus on simplicity and comfort.
1,AG,Spring 2024,Masculine,"Navy jacket, Light denim shirt, Olive cargo pants",Brown sandals,Relaxed,"Casual, Utilitarian",Simple and functional design
1,AG,Spring 2024,Masculine,"Navy patterned polo shirt, Dark blue denim jeans",Silver bracelet,Relaxed,"Casual, Modern",Simple and clean look with a focus on comfort.
1,AG,Spring 2024,Masculine,"Black sweater, Blue pants",Silver chain necklace,Relaxed,"Casual, Minimalist",Simple and clean look with a focus on comfort.
1,AG,Spring 2024,Feminine,"Beige denim jacket, Ivory top, Cream pants","Hoop earrings, White strappy sandals","Straight, Tailored","Minimalist, Casual",Neutral palette with layered textures
1,AG,Spring 2024,Feminine,"White cropped shirt, White tank top, Sage green trousers","Hoop earrings, Necklace","Relaxed, Straight-leg","Casual, Minimalist",Simple and clean ensemble with a focus on comfort.
1,Unknown,Spring 2024,Feminine,"Light gray long-sleeve top, White wide-leg pants, Gray sweatshirt tied at waist","Silver hoop earrings, Strappy sandals","Relaxed, Casual","Minimalist, Monochrome",Simple and clean lines with a casual vibe
1,AG,Spring 2024,Masculine,"Blue short-sleeve shirt, White t-shirt, Navy pants","Sunglasses, Rings","Relaxed, Casual","Minimalist, Effortless",Simple and clean look with a focus on comfort.
1,AG,Spring 2024,Masculine,"Denim jacket, Gray sweater, Blue jeans",Black boots,Relaxed,"Casual, Denim, Layered",Classic denim-on-denim look with a casual vibe.
1,Unknown,Spring 2024,Masculine,"White polo shirt, Light blue pants, Gray sweater draped over shoulders",Silver bracelet,Relaxed,"Casual, Minimalist",Simple and clean look with soft colors
1,AG,Spring 2024,Feminine,"Light blue denim jacket, Light blue denim jeans, Gray striped crop top",Silver hoop earrings,"Fitted, Straight-leg","Casual, Denim, Minimalist",Classic denim-on-denim look with a modern twist.
1,AG,Spring 2024,Feminine,"Striped tank top, Black wide-leg pants","Black sunglasses, Black sandals",Relaxed,"Casual, Minimalist",Sweater draped over shoulders
1,Agnona,Spring 2024,Feminine,"Gray ribbed knit polo shirt, Light blue wide-leg jeans","Black belt, Hoop earrings",Relaxed,"Casual, Minimalist",Simple yet elegant casual look
1,AG,Spring 2024,Menswear,"Gray hooded jacket, striped gray t-shirt, pink shorts","Sunglasses, white sneakers, white socks",Relaxed,"Casual, Sporty",Minimalist design with a focus on comfort and simplicity.
1,AG,Spring 2024,Masculine,"Dark denim jacket, Light gray t-shirt, Dark denim jeans","Silver chain necklace, Black belt",Straight,"Casual, Minimalist",Classic denim-on-denim look with a modern twist.
1,Unknown,Spring 2024,Masculine,"Light gray denim jacket, Pink polo shirt, White shorts",White sneakers,Straight,"Casual, Sporty",Neutral tones with a relaxed fit
1,AG,Spring 2024,Feminine,"White ribbed tank top, Blue denim shorts, Light blue denim jacket","Blue bandana belt, Gold necklace, Gold bracelet","Casual, Relaxed","Casual, Denim, Layered",Effortless denim look with a casual vibe.
1,AG,Spring 2024,Feminine,Pink cotton shirt dress,White strappy sandals,A-line,"Casual, Chic",Relaxed fit with drawstring waist
1,AG,Spring 2024,Feminine,"White long shirt, Gray tank top, White denim shorts","Sunglasses, Hoop earrings, Layered necklaces, Brown sandals",Relaxed,"Casual, Minimalist",Neutral tones with a focus on comfort and simplicity.
1,AG,Spring 2024,Feminine,"Blue denim jacket, White tank top, Blue denim jeans",Black strappy sandals,Fitted,"Casual, Denim, Minimalist",Classic denim-on-denim look with a modern twist.
