Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Andrew Gn,Spring 2012,Feminine,"White textured mini dress, wide belt","White headband, white bracelet","Structured, cinched waist","Elegant, fresh","Textured fabric, monochrome look"
2,Andrew Gn,Spring 2012,Feminine,"Black textured coat dress, wide belt","Black headband, earrings","A-line, cinched waist","Chic, sophisticated","Textured fabric, monochrome look"
3,Andrew Gn,Spring 2012,Feminine,White textured coat dress,"White headband, white bracelet","A-line, structured","Elegant, modern","Textured fabric, monochrome look"
1,Andrew Gn,Spring 2012,Feminine,White embroidered coat dress,"White headband, white lace gloves","Straight, structured","Elegant, minimal","Intricate embroidery, zipper detail"
2,Andrew Gn,Spring 2012,Feminine,White halter mini dress,"White headband, white cuff bracelet","Fitted, draped","Chic, sophisticated","Textured fabric, halter neckline"
3,Andrew Gn,Spring 2012,Feminine,"White coat, white mesh top, white shorts","White headband, white lace gloves","Relaxed, layered","Casual, refined","Mesh detailing, tonal layering"
1,Andrew Gn,Spring 2012,Feminine,White embroidered mini dress,"Drop earrings, white sandals","Fitted, puff sleeves","Elegant, delicate","Intricate embroidery, subtle texture"
2,Andrew Gn,Spring 2012,Feminine,White V-neck dress with embroidered sleeves,"Headband, white sandals",A-line,"Chic, sophisticated","Deep V-neck, ornate sleeve details"
3,Andrew Gn,Spring 2012,Feminine,White sleeveless dress with high-low hem,"Headband, cuff bracelet, white sandals",Asymmetrical,"Modern, fresh","Textured neckline, flowing hemline"
1,Andrew Gn,Spring 2017,Feminine,"Denim jacket, denim skirt","Studded choker, chain strap bag","Fitted, flared","Denim, textured","Frayed edges, intricate stitching"
2,Andrew Gn,Spring 2017,Feminine,Denim mini dress,"Studded belt, chain strap bag",A-line,"Denim, edgy","Sheer detailing, frayed trim"
3,Andrew Gn,Spring 2017,Feminine,"Denim blouse, denim midi skirt","Studded sandals, chain strap bag",Fitted,"Denim, structured","Studded shoulders, frayed edges"
1,Andrew Gn,Spring 2017,Feminine,"Blue studded top, blue shorts","Studded choker, black sandals","Relaxed, casual","Denim, edgy","Studded details, casual chic"
2,Andrew Gn,Spring 2017,Feminine,"Denim jacket, white shirt, denim shorts","Studded choker, chain strap bag, black sandals","Tailored, casual","Denim, tailored","Frayed edges, structured layering"
3,Andrew Gn,Spring 2017,Feminine,"White eyelet cape, black textured skirt","Studded choker, chain strap bag, black sandals","A-line, structured","Monochrome, textured","Contrasting textures, bold silhouette"
1,Andrew Gn,Spring 2017,Feminine,"White embroidered blouse, black textured mini skirt","Studded choker, studded ankle boots","Structured, fitted","Edgy, romantic","Contrasting textures, bold shoulders"
2,Andrew Gn,Spring 2017,Feminine,Embellished denim mini dress,"Studded choker, small clutch","A-line, fitted","Bohemian, ornate","Intricate detailing, denim texture"
3,Andrew Gn,Spring 2017,Feminine,"Navy embroidered blouse, denim embellished shorts","Studded choker, studded sandals","A-line, fitted","Eclectic, detailed","Mix of textures, floral embroidery"
