Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Bottega Veneta,Spring 2008,Feminine,Beige sleeveless dress,"Brown gloves, woven handbag","Fitted, knee-length","Elegant, classic","Cinched waist, neutral tones"
2,Bottega Veneta,Spring 2008,Feminine,"Beige short-sleeve jacket, cropped pants",Beige handbag,"Structured, tailored","Chic, sophisticated","Double-breasted jacket, monochrome look"
3,Bottega Veneta,Spring 2008,Feminine,Beige trench coat,"Brown gloves, woven handbag, sunglasses","A-line, knee-length","Timeless, polished","Layered sleeves, belted waist"
1,Bottega Veneta,Spring 2008,Feminine,"Sleeveless top, pencil skirt","Sunglasses, gloves, large handbag","Straight, tailored","Chic, elegant","Neutral palette, structured fit"
2,Bottega Veneta,Spring 2008,Feminine,Short-sleeve belted dress,Woven sandals,"A-line, relaxed","Casual, sophisticated","Textured fabric, cinched waist"
3,Bottega Veneta,Spring 2008,Feminine,"Short-sleeve jacket, midi skirt",Patterned handbag,"Boxy, structured","Vintage-inspired, refined","Soft color, detailed shoulders"
1,Bottega Veneta,Spring 2008,Feminine,Textured coat dress,Heeled sandals,"Oversized, cocoon","Minimalist, elegant","Rolled sleeves, textured fabric"
2,Bottega Veneta,Spring 2008,Feminine,Floral sleeveless dress,"Sunglasses, large handbag, heeled sandals","Straight, relaxed","Casual, chic",Subtle floral pattern
3,Bottega Veneta,Spring 2008,Feminine,Belted shirt dress,"Patterned tote bag, heeled sandals","A-line, cinched waist","Classic, refined","Soft pleats, structured collar"
1,Bottega Veneta,Spring 2012,Feminine,Green corset dress,"Brown oversized bag, strappy sandals","Fitted bodice, flared skirt","Elegant, structured","Textured fabric, bold color"
2,Bottega Veneta,Spring 2012,Feminine,Blue corset dress,"Gray textured bag, strappy sandals","Fitted bodice, flared skirt","Chic, modern","Rich color, structured design"
3,Bottega Veneta,Spring 2012,Feminine,Teal dress with knotted top,"Brown textured bag, strappy sandals","Fitted, slightly flared","Casual, sophisticated","Patterned fabric, relaxed fit"
1,Bottega Veneta,Spring 2012,Feminine,"Blue leather jacket, blue pleated skirt","Strappy sandals, earrings","Fitted, flared","Edgy, bold","Rich blue tones, leather texture"
2,Bottega Veneta,Spring 2012,Feminine,Blue leather shirt dress,"Large handbag, strappy sandals","Straight, structured","Chic, utilitarian","Patch pockets, button-down style"
3,Bottega Veneta,Spring 2012,Feminine,Blue leather and fabric dress,"Large handbag, strappy sandals","Straight, sleek","Modern, sophisticated","Mixed materials, long sleeves"
1,Bottega Veneta,Spring 2012,Feminine,White patent leather dress,"Black sunglasses, black strappy sandals","A-line, fitted","Modern, sleek","High-shine finish, minimalistic design"
2,Bottega Veneta,Spring 2012,Feminine,Black patent leather dress,"Black sunglasses, geometric necklace, black strappy sandals","A-line, fitted","Chic, contemporary","Glossy texture, structured cut"
3,Bottega Veneta,Spring 2012,Feminine,"Color-blocked leather top, black patent leather skirt","Long earrings, black strappy sandals","Straight, fitted","Edgy, artistic","Bold color blocking, mixed materials"
1,Bottega Veneta,Fall 2007,Feminine,"Black textured dress, black belt","Long black gloves, black shoes","Fitted, structured","Elegant, classic","Textured fabric, cinched waist"
2,Bottega Veneta,Fall 2007,Feminine,"Black oversized coat, black dress","White handbag, black shoes","Oversized, relaxed","Chic, minimalist","Frayed edges, monochrome"
3,Bottega Veneta,Fall 2007,Feminine,"Black dress, cropped jacket","Long black gloves, small black clutch","A-line, tailored","Sophisticated, timeless","Cropped jacket, subtle volume"
1,Bottega Veneta,Fall 2007,Feminine,"Black coat, beige dress","Black quilted handbag, black shoes","Oversized coat, fitted dress","Chic, elegant","Contrasting textures, classic color palette"
2,Bottega Veneta,Fall 2007,Feminine,Blush tailored coat-dress,Black shoes,"Fitted, flared skirt","Sophisticated, tailored","Soft color, structured tailoring"
3,Bottega Veneta,Fall 2007,Feminine,Red dress,"Black handbag, black shoes",A-line,"Minimalist, refined","Simple silhouette, bold color"
1,Bottega Veneta,Fall 2007,Feminine,Peach sleeveless dress,None,A-line,"Elegant, simple",Bow detail at neckline
2,Bottega Veneta,Fall 2007,Feminine,Light pink short-sleeve dress,None,A-line,"Chic, minimalist",Keyhole neckline
3,Bottega Veneta,Fall 2007,Feminine,"Coral coat, pleated skirt",Patterned handbag,Structured,"Classic, tailored","Matching belt, buttoned coat"
