Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,DKNY,Fall 2012,Feminine,"Black leather coat, black turtleneck dress",Black belt,"Structured, streamlined","Edgy, urban","Shiny leather texture, monochrome look"
2,DKNY,Fall 2012,Feminine,"Black coat with leather sleeves, black skirt",Black belt,"Fitted, flared","Chic, modern","Contrasting textures, defined waist"
3,DKNY,Fall 2012,Feminine,Black dress with leather sleeves and hem,,"Fitted, flared","Sleek, contemporary","Leather accents, minimalistic design"
1,DKNY,Fall 2012,Feminine,"Black leather jacket, black pants",Black ankle boots,"Fitted, sleek","Urban, edgy",Monochrome look with a focus on leather
2,DKNY,Fall 2012,Feminine,"Black leather blazer, black skirt, black turtleneck","Black clutch, black platform heels","Tailored, flared","Chic, sophisticated",Leather ensemble with a mix of structured and flared elements
3,DKNY,Fall 2012,Feminine,"Black leather top, printed skirt, black turtleneck",Black boots,"Layered, cinched waist","Modern, bold",Contrast of leather and print with a structured waist
1,DKNY,Fall 2012,Feminine,"Black and white patterned dress, black tights","Black belt, black platform heels","Fitted, flared skirt","Graphic, modern","High neckline, bold pattern"
2,DKNY,Fall 2012,Feminine,"Black blazer, black dress, black tights","Black handbag, black platform heels","Tailored, structured","Chic, urban","Double-breasted blazer, monochrome"
3,DKNY,Fall 2012,Feminine,"Black turtleneck, black textured skirt, black tights",Black platform heels,"Fitted, flared skirt","Sleek, sophisticated","Crocodile texture, high waist"
1,DKNY,Fall 2011,Feminine,"Beige and black cape, black leather vest, white shirt, black pants",Two-tone lace-up shoes,"Layered, structured","Chic, modern","Contrasting colors, layered outerwear"
2,DKNY,Fall 2011,Feminine,"Black and beige coat, white shirt, black sweater, gray pants",Two-tone lace-up shoes,"Tailored, sleek","Classic, sophisticated","Color-blocking, tailored fit"
3,DKNY,Fall 2011,Feminine,"Black and beige leather jacket, white shirt, gray suit, gray pants",Two-tone lace-up shoes,"Fitted, tailored","Contemporary, polished","Leather accents, monochrome palette"
1,DKNY,Fall 2011,Feminine,"Black and beige color-blocked shirt, beige pants","Black hat, black and white shoes","Slim, tailored","Chic, modern","Color blocking, sleek lines"
2,DKNY,Fall 2011,Feminine,"Black jacket, white blouse, black pants",None visible,"Fitted, layered","Sophisticated, urban","Faux fur texture, monochrome palette"
3,DKNY,Fall 2011,Feminine,"Gray blazer, white sweater, black skirt","Black hat, black shoes","Layered, structured","Classic, elegant","Mix of textures, tailored fit"
1,DKNY,Fall 2011,Feminine,"Gray coat, black and white striped sweater, black pants",Black boots,"Tailored, sleek","Chic, modern",Monochrome with a pop of pattern
2,DKNY,Fall 2011,Feminine,Black lace dress with white collar,Black ankle boots,"A-line, fitted","Classic, elegant",Contrast collar adds a vintage touch
3,DKNY,Fall 2011,Feminine,"Navy coat, black and white striped sweater, red dress","Black hat, black ankle boots","Layered, structured","Playful, bold",Mix of patterns and colors
1,DKNY,Fall 2010,Feminine,"Camel oversized coat, geometric print dress",Brown ankle boots,"Relaxed, oversized","Casual, modern",Layered look with a focus on earthy tones
2,DKNY,Fall 2010,Feminine,"Black sleeveless coat, geometric print dress, gray tights",Black lace-up boots,"Boxy, layered","Chic, urban",Mix of textures with a bold print
3,DKNY,Fall 2010,Feminine,"Striped knit dress, pleated skirt","Gray cap, brown ankle boots","Fitted, layered","Playful, eclectic",Pattern mixing with a casual cap accessory
1,DKNY,Fall 2010,Feminine,"Plaid blazer, geometric print top, plaid skirt","Knit cap, long scarf, ankle boots","Layered, tailored","Eclectic, youthful","Mix of patterns, playful layering"
2,DKNY,Fall 2010,Feminine,"Two-tone blazer, geometric print top, black skirt","Knit cap, large handbag, ankle boots","Structured, modern","Chic, urban","Contrasting textures, bold accessories"
3,DKNY,Fall 2010,Feminine,"Black coat, grey top, black trousers",Ankle boots,"Relaxed, sleek","Minimalist, sophisticated","Monochrome palette, clean lines"
1,DKNY,Fall 2010,Feminine,Patchwork dress,"Black clutch, black ankle boots",Fitted,"Edgy, modern",Mix of patterns and textures
2,DKNY,Fall 2010,Feminine,"Black coat, graphic sweater, pleated skirt",Patterned ankle boots,Layered,"Chic, urban","Oversized coat, layered textures"
3,DKNY,Fall 2010,Feminine,"Belted coat, leggings","Fur hat, black shoulder bag, patterned ankle boots",Structured,"Sophisticated, sleek","Asymmetrical coat, statement hat"
