Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Duro Olowu,Fall 2008,Feminine,"Blue and yellow checkered coat, red and blue floral pants","Green sunglasses, leopard print shoes","Oversized, relaxed","Eclectic, bold","Mix of patterns, statement outerwear"
2,Duro Olowu,Fall 2008,Feminine,"White sweater, red and blue floral skirt","Large necklace, hoop earrings, leopard print shoes","Straight, fitted","Eclectic, colorful","Bold accessories, pattern mixing"
3,Duro Olowu,Fall 2008,Feminine,"Black top, multicolored floral skirt, red and blue floral jacket","Sunglasses, hoop earrings, long necklace, leopard print shoes","Layered, structured","Eclectic, vibrant","Layered prints, statement jewelry"
1,Duro Olowu,Fall 2008,Feminine,"Black blazer, blue blouse, green camouflage pants",Hoop earrings,"Fitted, tailored","Eclectic, bold","Contrasting patterns, oversized bow"
2,Duro Olowu,Fall 2008,Feminine,"Red cardigan, printed maxi skirt","Gold belt, patterned scarves","Layered, flowing","Vibrant, mixed prints","Layered scarves, cinched waist"
3,Duro Olowu,Fall 2008,Feminine,Mixed print dress,"Red gloves, hoop earrings","A-line, midi","Colorful, patterned","Mixed floral prints, bold gloves"
1,Duro Olowu,Fall 2008,Feminine,"Yellow patterned dress with black and white striped details, black tights",Large hoop earrings,"Straight, knee-length","Eclectic, vibrant",Mix of patterns and textures
2,Duro Olowu,Fall 2008,Feminine,"Multicolored patterned dress with purple sleeves, black tights",Large hoop earrings,"Straight, knee-length","Eclectic, bold",Colorful patchwork design
3,Duro Olowu,Fall 2008,Feminine,"Blue patterned dress with layered skirt, black tights",Large hoop earrings,"Straight, layered","Eclectic, artistic",Contrasting patterns and colors
1,Duro Olowu,Fall 2022,Feminine,Black double-breasted coat with textured sleeves,Gold earrings,A-line,"Chic, textured",Contrasting textures on sleeves
2,Duro Olowu,Fall 2022,Feminine,"Black and magenta cape, black trousers",Gold earrings,Oversized,"Bold, color-blocked",Vibrant magenta accents
3,Duro Olowu,Fall 2022,Feminine,Black dress with multicolored striped bodice,Gold earrings,Fitted,"Elegant, colorful",Playful stripe pattern on bodice
1,Duro Olowu,Fall 2022,Feminine,"Black and white leaf print shirt, matching trousers","Black loafers, gold earrings","Relaxed, straight","Graphic, bold",Monochrome leaf pattern
2,Duro Olowu,Fall 2022,Feminine,"Black and white leaf print shirt, matching skirt","Black loafers, gold earrings, matching hat","A-line, structured","Graphic, bold",Monochrome leaf pattern with matching hat
3,Duro Olowu,Fall 2022,Feminine,"Black and white leaf print top, matching trousers","Black loafers, gold earrings","Relaxed, flowing","Graphic, bold",Monochrome leaf pattern with colorful back detail
1,Duro Olowu,Fall 2022,Feminine,Striped cape dress,"Patterned hat, statement earrings","A-line, flowing","Bold, graphic","Vibrant color blocking, geometric patterns"
2,Duro Olowu,Fall 2022,Feminine,Striped cape coat,Statement earrings,"A-line, structured","Bold, graphic","Contrasting stripes, tailored fit"
3,Duro Olowu,Fall 2022,Feminine,"Patterned blouse, patterned skirt",Statement earrings,"Fitted, asymmetric","Eclectic, vibrant","Mix of floral and geometric prints, bold colors"
1,Duro Olowu,Spring 2012,Feminine,"Floral print dress, patterned jacket","Sunglasses, ankle strap heels","A-line, layered","Eclectic, vibrant","Mix of patterns, colorful"
2,Duro Olowu,Spring 2012,Feminine,"Cream jacket, tiered maxi skirt",Sunglasses,"Structured, flowing","Elegant, minimalist","Monochrome, tailored jacket"
3,Duro Olowu,Spring 2012,Feminine,Red and white printed dress,Sunglasses,"Maxi, fitted waist","Bold, graphic","Striking print, ruffled details"
1,Duro Olowu,Spring 2012,Feminine,Red and gold floral gown,Colorful bangles,"A-line, layered","Vibrant, elegant","Rich patterns, asymmetrical hem"
2,Duro Olowu,Spring 2012,Feminine,Black floral and striped dress,Patterned ankle strap heels,Fit and flare,"Playful, eclectic","Mix of patterns, structured bodice"
3,Duro Olowu,Spring 2012,Feminine,Green and blue floral midi dress,Patterned ankle strap heels,A-line,"Bold, artistic","Contrasting patterns, classic cut"
1,Duro Olowu,Spring 2012,Feminine,"Floral blazer, striped top, printed maxi skirt",,"Fitted, flared","Eclectic, vibrant",Mix of prints and textures
2,Duro Olowu,Spring 2012,Feminine,Red sleeveless dress,"Round sunglasses, ankle-tie sandals",A-line,"Classic, bold","Bright color, simple silhouette"
