Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Marco de Vincenzo,Spring 2017,Feminine,"Black sheer top, layered fringe dress","Sunglasses, large earrings, pink handbag","Loose, layered","Eclectic, playful","Mix of textures, fringe details"
2,Marco de Vincenzo,Spring 2017,Feminine,"Fringe coat, patterned pants","Black handbag, colorful earrings","Structured, eclectic","Bold, vibrant",Fringe coat with colorful geometric pants
3,Marco de Vincenzo,Spring 2017,Feminine,Black patterned dress,"Sunglasses, blue handbag","Fitted, elegant","Chic, modern",Subtle pattern with sleek accessories
1,Marco de Vincenzo,Spring 2017,Feminine,"Black shirt with pink embroidery, black culottes","Red handbag, sunglasses","Relaxed, flowing","Chic, modern","Playful embroidery, bold red accents"
2,Marco de Vincenzo,Spring 2017,Feminine,"Black lace top, patterned maxi dress","Black clutch, oversized sunglasses","Elegant, fitted","Glamorous, sophisticated","Intricate lace, high slit"
3,Marco de Vincenzo,Spring 2017,Feminine,"Black pleated top, printed sheer blouse, black skirt","Red knee-high boots, statement earrings","Structured, layered","Avant-garde, bold","Textured pleats, vibrant boots"
1,Marco de Vincenzo,Spring 2017,Feminine,Yellow ruffled dress with embroidery,"Blue chain handbag, striped sandals","Loose, flowing","Playful, vibrant","Layered ruffles, colorful embroidery"
2,Marco de Vincenzo,Spring 2017,Feminine,"White lace top, patterned overlay, yellow pleated skirt","Blue clutch, white sneakers","Layered, eclectic","Textured, mixed patterns","Intricate lace, bold color contrasts"
3,Marco de Vincenzo,Spring 2017,Masculine,"Striped short-sleeve top, black trousers",,"Relaxed, casual","Colorful, graphic","Bold stripes, casual fit"
1,Marco de Vincenzo,Spring 2016,Feminine,"Multicolored fringe coat, black pants",White fur shoes,"Long, layered","Eclectic, textured","Bold color blocking, playful texture"
2,Marco de Vincenzo,Spring 2016,Feminine,"Multicolored fringe top, matching skirt",Yellow woven shoes,"A-line, flowing","Vibrant, artistic","Fringe detailing, bold colors"
3,Marco de Vincenzo,Spring 2016,Feminine,Multicolored fringe dress,Purple woven shoes,"A-line, relaxed","Colorful, dynamic","Gradient fringe, bold footwear"
1,Marco de Vincenzo,Spring 2016,Feminine,"Graphic knit top, navy pants",,"Straight, relaxed","Graphic, modern",Colorful landscape print on top
2,Marco de Vincenzo,Spring 2016,Feminine,"Strapless top, pleated skirt",Blue woven shoes,A-line,"Elegant, vibrant","Ombre effect on skirt, structured bodice"
3,Marco de Vincenzo,Spring 2016,Feminine,"Gradient top, fringed skirt",Red woven shoes,Flowy,"Artistic, bold","Sunset gradient on top, textured skirt"
1,Marco de Vincenzo,Spring 2016,Feminine,"Gradient blouse, beige textured pants",Blue fuzzy shoes,"Straight, relaxed","Colorful, gradient","Bold color transitions, textured pants"
2,Marco de Vincenzo,Spring 2016,Feminine,"Floral metallic coat, white blouse, red patterned skirt",Blue woven shoes,"A-line, layered","Eclectic, vibrant","Mix of patterns, metallic sheen"
3,Marco de Vincenzo,Spring 2016,Feminine,"Geometric patterned top, silver pleated skirt",Pink woven shoes,"Flowy, pleated","Geometric, playful","Textured top, shiny pleats"
1,Marco de Vincenzo,Spring 2013,Feminine,White V-neck dress,White shoes,"A-line, fitted","Minimalist, clean","Simple elegance, monochrome"
2,Marco de Vincenzo,Spring 2013,Feminine,"White sleeveless vest, white shorts",White shoes,"Tailored, structured","Minimalist, modern","Deep V-neck, crisp lines"
3,Marco de Vincenzo,Spring 2013,Feminine,"White sleeveless top, white trousers","White shoes, clutch bag","Relaxed, flowing","Minimalist, chic","Layered top, monochrome look"
1,Marco de Vincenzo,Spring 2013,Feminine,"Sheer knit top, white skirt",None,"Loose, relaxed","Minimalist, airy","Subtle transparency, light layering"
2,Marco de Vincenzo,Spring 2013,Feminine,"Cropped knit top, white shorts",None,"Fitted top, loose bottom","Modern, fresh","Cropped silhouette, texture contrast"
3,Marco de Vincenzo,Spring 2013,Feminine,"Sleeveless blouse, flared shorts",None,A-line,"Clean, youthful","Flared hem, simple elegance"
1,Marco de Vincenzo,Spring 2013,Feminine,Black and gray patterned sleeveless dress,Black heels,"Straight, relaxed","Minimalist, modern","Abstract pattern, scoop neckline"
2,Marco de Vincenzo,Spring 2013,Feminine,"Light blue sleeveless top, gray skirt",Black heels,"Loose, layered","Casual, contemporary","Color-blocked design, soft fabric"
3,Marco de Vincenzo,Spring 2013,Feminine,"Gray patterned sleeveless top, gray skirt","Black heels, black clutch","Relaxed, fluid","Artistic, chic","Abstract print, monochrome palette"
