Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,J.Lindeberg,Spring 2024,Androgynous,"White oversized jersey with blue logo, White shorts","Blue and white helmet, Goggles, Gloves","Loose, Sporty","Motocross, Sporty, Casual",Incorporates motocross elements with a casual twist.
1,J Lindeberg,Spring 2024,Unisex,"Beige printed jacket, Beige printed trousers",Black gloves,"Relaxed, Straight-leg","Casual, Sporty, Graphic",Motocross-inspired graphics
1,J.Lindeberg,Spring 2024,Masculine,"Orange long-sleeve top, White tailored pants","Black cap, Black bandana, Black backpack, White belt",Straight-leg,"Sporty, Casual, Modern",Incorporates motocross elements
1,J.Lindeberg,Spring 2024,Menswear,"Double-breasted suit, black and white patterned, tailored fit","Black cap, black shoes","Structured, straight","Sporty, modern, edgy",Incorporates a sporty element with the cap and motorbike backdrop
1,J.Lindeberg,Spring 2024,Unisex,"Black T-shirt, Black leather pants","Orange cap, Orange belt, Black gloves, Crossbody strap","Straight-leg, Fitted top","Sporty, Biker, Casual",Incorporates motorcycle elements with bright accents
1,J.Lindeberg,Spring 2024,Unisex,"Black sleeveless top, Red tailored pants","Black sunglasses, Black belt",Straight-leg,"Sporty, Modern, Minimalist",Motorcycle-inspired elements
1,J Lindeberg,Spring 2024,Unisex,"Sleeveless white zip-up vest, White wide-leg pants","Green tie-dye bucket hat, Green tie-dye crossbody bag","Relaxed, Sporty","Casual, Modern, Sporty",Incorporates a motocross theme with a relaxed fit.
1,J.Lindeberg,Spring 2024,Unisex,"Navy oversized sweatshirt, neon green dress","Blue cap, iridescent visor","Oversized, relaxed","Sporty, casual, modern",Incorporates motocross elements
1,J.Lindeberg,Spring 2024,Masculine,"Green sleeveless knit top, Black leather pants","Goggles, Gloves, Sneakers",Relaxed fit,"Sporty, Edgy, Modern",Incorporates motocross elements
1,J.Lindeberg,Spring 2024,Masculine,"Green tie-dye shirt, Olive tank top, Beige wide-leg pants","Black sunglasses, Patterned crossbody bag","Relaxed, Oversized","Casual, Sporty",Motorbike backdrop adds edgy vibe
1,J.Lindeberg,Spring 2024,Masculine,"Blue leather jacket, Gray textured trousers","Sunglasses, Black bandana, Motorcycle helmet","Relaxed, Straight-leg","Edgy, Sporty, Modern",Incorporates motorcycle elements
1,J.Lindeberg,Spring 2024,Masculine,"Black leather shirt, White tank top, Black leather pants","White cap, Blue bandana, Black belt with blue rope","Relaxed, Straight-leg","Edgy, Urban, Sporty",Incorporates leather and casual elements with a sporty twist.
1,J.Lindeberg,Spring 2024,Androgynous,"Blue oversized hoodie, White shorts","Blue visor sunglasses, White gloves","Oversized top, Fitted shorts","Sporty, Futuristic, Casual",Motocross-inspired elements
1,J Lindeberg,Spring 2024,Feminine,"Yellow crop top, White jeans","Yellow goggles, White helmet",Relaxed fit,"Sporty, Edgy",Motocross-inspired elements
1,J.Lindeberg,Spring 2024,Feminine,"Red bomber jacket, Black crop top, Black cycling shorts","White crossbody bag, Black gloves","Fitted top, Loose jacket","Sporty, Edgy, Casual",Incorporates motocross elements with a casual twist
