Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Mark Fast,Fall 2021,Feminine,"Blue textured coat, graphic t-shirt, plaid skirt",Statement earrings,"Oversized, layered","Casual, eclectic",Mix of textures and prints
2,Mark Fast,Fall 2021,Feminine,"Patterned cardigan, button-up shirt, pleated skirt",Statement earrings,"A-line, relaxed","Playful, vibrant","Colorful patterns, layered look"
3,Mark Fast,Fall 2021,Feminine,"Graphic sweater, denim jeans",,"Fitted, casual","Casual, bold","Graphic knitwear, casual denim"
1,Mark Fast,Fall 2021,Feminine,"White puffer coat, gray checkered jacket, blue velvet mini skirt",,"Layered, fitted","Urban, eclectic","Mix of textures, bold color contrast"
2,Mark Fast,Fall 2021,Feminine,"Pink feathered top, pink embellished skirt",Silver belt,"Voluminous, fitted","Glamorous, bold","Textured top, metallic accents"
3,Mark Fast,Fall 2021,Masculine,"Black denim jacket, black denim pants",,"Straight, relaxed","Casual, graphic","Blue graphic prints, coordinated set"
1,Mark Fast,Spring 2013,Feminine,"Black mesh bodysuit, sheer long sleeves","Gold chain necklace, gold hoop earrings, gold chain belt","Fitted, sheer","Bold, edgy","Fringe details, vibrant footwear"
2,Mark Fast,Spring 2013,Feminine,"Black cut-out dress, pink fringed shawl","Gold chain belt, gold hoop earrings",Bodycon,"Glamorous, dynamic","Fringe movement, layered textures"
3,Mark Fast,Spring 2013,Feminine,"Red mini dress, black oversized coat","Gold chain necklace, gold hoop earrings, gold bracelet","Voluminous, layered","Chic, modern","Contrasting textures, bold accessories"
1,Mark Fast,Spring 2013,Feminine,"Red long-sleeve top, red knit skirt","Gold chain harness, large hoop earrings","Fitted, bodycon","Bold, edgy",Colorful socks with platform shoes
2,Mark Fast,Spring 2013,Feminine,Black fringe dress,"Gold chain necklace, large hoop earrings","Flared, fitted bodice","Glamorous, playful","Fringe detailing, vibrant socks"
3,Mark Fast,Spring 2013,Feminine,Red textured mini dress,"Gold chain choker, large hoop earrings","Loose, relaxed","Casual, chic","Textured fabric, contrasting socks"
1,Mark Fast,Spring 2013,Feminine,Red fringe dress with cutouts,Gold hoop earrings,"Fitted, flared","Bold, playful","Fringe movement, cutout details"
2,Mark Fast,Spring 2013,Feminine,Red textured mini dress,"Gold chain belt, gold hoop earrings",Bodycon,"Edgy, chic","Textured fabric, chain details"
3,Mark Fast,Spring 2013,Feminine,"Red mesh cardigan and skirt, black underlayer","Gold chain belt, gold hoop earrings","Layered, fitted","Layered, bold","Mesh layering, contrast underlayer"
1,Mark Fast,Fall 2012,Feminine,Gray knit dress,"Black beret, blue heels","Fitted, bodycon","Textured, knitwear","Deep V-neck, fringe details"
2,Mark Fast,Fall 2012,Feminine,"Striped knit dress, oversized black coat",Blue heels,"Layered, oversized","Monochrome, knitwear","Hooded coat, mixed textures"
3,Mark Fast,Fall 2012,Feminine,"Gray knit dress, cropped knit shrug",Blue heels,"Fitted, layered","Minimalist, knitwear","Structured layering, tonal look"
1,Mark Fast,Fall 2012,Feminine,"Striped knit dress, beige ribbed cardigan, turtleneck",Beige knit headband,"Fitted, bodycon","Layered, knitwear","Neutral tones, mixed textures"
2,Mark Fast,Fall 2012,Feminine,"Beige knit dress, ribbed cardigan, black oversized coat",None,"Layered, fitted","Cozy, knitwear","Contrasting layers, hood detail"
3,Mark Fast,Fall 2012,Feminine,"Charcoal knit dress with hood, ribbed cardigan",None,"Fitted, flowing","Edgy, knitwear","Slit details, monochrome look"
1,Mark Fast,Fall 2012,Feminine,"Striped knit dress, oversized fringed coat","Black tights, ankle strap heels","Voluminous, layered","Textured, bold",Contrasting textures with fringe details
2,Mark Fast,Fall 2012,Feminine,"Striped cropped sweater, ribbed skirt","Knit beanie, black tights, ankle strap heels","Fitted, midriff-baring","Casual, chic",Playful layering with knitwear
3,Mark Fast,Fall 2012,Feminine,"Ribbed wrap sweater, striped knit skirt","Black tights, ankle strap heels","Fitted, asymmetrical","Sophisticated, edgy",Asymmetrical wrap details with mixed patterns
