Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Shiatzy Chen,Fall 2024,Feminine,"Black cropped sweater, Black skirt, White cuffs","Black flower brooch, White shoes, Black knee-high socks","Structured, Fitted","Chic, Modern, Minimalist",Monochrome look with geometric accents
1,Shiatzy Chen,Fall 2024,Feminine,Black sleeveless coat dress,"Statement earrings, white pointed heels","A-line, tailored","Elegant, modern",Minimalist design with a focus on structure
1,Shiatzy Chen,Fall 2024,Masculine,"White tailored blazer, White turtleneck sweater, White tailored trousers",White floral brooch,"Structured, Straight","Elegant, Minimalist",Classic white ensemble with subtle detailing
1,Shiatzy Chen,Fall 2024,Feminine,"Gray wool coat, Black dress","Glitter shoes, Black knee-high socks","Straight, Structured","Elegant, Minimalist",Features a floral detail on the coat
1,Shiatzy Chen,Fall 2024,Feminine,"Gray wool coat, White blouse",Statement earrings,"Oversized, Longline","Minimalist, Elegant",Subtle embroidery detail on coat
1,Shiatzy Chen,Fall 2024,Feminine,"White wool coat, White blouse",None visible,"Straight, Oversized","Minimalist, Elegant",Features floral embellishments on the collar
1,Shiatzy Chen,Fall 2024,Feminine,"Black beaded halter top, Black beaded wrap skirt",Black metallic handbag,"Fitted, Asymmetrical","Elegant, Sophisticated",Features floral embellishments
1,Shiatzy Chen,Fall 2024,Feminine,"Black textured oversized coat, White shirt","Black knee-high socks, Black pointed heels with ankle chain","Oversized, Structured","Minimalist, Modern",Monochrome look with a focus on texture and clean lines.
1,Shiatzy Chen,Fall 2024,Feminine,"Black ruffled crop top, Black high-waisted trousers",Black strappy details,"Fitted top, Wide-leg trousers","Chic, Modern, Elegant",Minimalist design with a focus on texture and structure
1,Shiatzy Chen,Fall 2024,Feminine,"Black lace slip dress, Black satin pants","White handbag, Statement earrings","Straight, Flowing","Elegant, Sophisticated",Lace detailing adds a delicate touch.
1,Shiatzy Chen,Fall 2024,Feminine,Black sequin layered dress,"Red crossbody bag, Red ankle-strap heels","Fitted, Layered","Elegant, Modern",Features layered textures and bold red accents
1,Shiatzy Chen,Fall 2024,Feminine,Black glitter coat with fur collar,Black textured handbag,A-line,"Elegant, Sophisticated","Features a sleek, modern aesthetic with subtle sparkle."
1,Shiatzy Chen,Fall 2024,Masculine,"Black wool jacket, White high-neck top, Black wide-leg shorts","Black leather shoes, Black knee-high socks","Relaxed, Structured","Minimalist, Monochrome",Elegant contrast between black and white
1,Shiatzy Chen,Fall 2024,Feminine,"Black glitter vest, Black turtleneck, Black metallic skirt","Red handbag, Black boots","Structured, Layered","Chic, Modern, Edgy",The look features a striking contrast with a bold red handbag.
1,Shiatzy Chen,Fall 2024,Feminine,"Black metallic cropped jacket, Black metallic wide-leg pants",None,"Cropped, Wide-leg","Modern, Edgy, Minimalist",Shimmering texture adds a futuristic touch
1,Shiatzy Chen,Fall 2024,Masculine,"Black embroidered bomber jacket, Black textured pants",Black shoes,"Relaxed, Structured","Modern, Edgy",Floral embroidery adds a unique touch
1,Shiatzy Chen,Fall 2024,Masculine,"Purple leather jacket with black fur collar, Black wide-leg trousers",None,Relaxed,Modern,"Minimalist, luxurious texture"
1,Shiatzy Chen,Fall 2024,Feminine,"Black sequin jacket, Black leather shorts","Black knee-high socks, White shoes","Structured, A-line","Elegant, Modern",Monochrome look with a mix of textures
1,Shiatzy Chen,Fall 2024,Feminine,Purple leather coat dress,"Purple textured handbag, Silver glitter heels",Fitted A-line,"Elegant, Modern, Chic",Features a high collar and knee-length hem.
1,Shiatzy Chen,Fall 2024,Masculine,"Black tailored blazer, Purple knit sweater, Black tailored trousers",Black leather shoes,"Structured, Tailored","Elegant, Modern, Sophisticated",Subtle detailing on blazer edges
1,Shiatzy Chen,Fall 2024,Feminine,"Purple textured coat, Blue dress with black lace hem",Black knee-high boots,"Oversized coat, Slim dress","Elegant, Textured, Sophisticated",Rich textures and deep colors
1,Shiatzy Chen,Fall 2024,Feminine,"Purple oversized blazer, Purple textured dress","Black handbag, Black knee-high socks, Silver pointed heels","Structured, Oversized","Chic, Modern, Textured",The look features a striking purple palette with a mix of textures.
1,Shiatzy Chen,Fall 2024,Masculine,"Black textured coat, Purple satin shirt, Black wide-leg trousers",Purple floral brooch,"Structured upper, Relaxed lower","Elegant, Modern, Sophisticated",Contrasting textures with a pop of color
1,Shiatzy Chen,Fall 2024,Feminine,"White embroidered coat, white lace shorts","Black knee-high socks, white heels","A-line, structured","Elegant, modern, minimal",Intricate embroidery adds a touch of luxury.
1,Shiatzy Chen,Fall 2024,Masculine,"White embroidered jacket, White textured pants",Black shoes,"Relaxed, Structured","Minimalist, Elegant",Subtle embroidery detail on jacket
1,Shiatzy Chen,Fall 2024,Feminine,"White textured coat, White ruffled blouse, White shorts","Black knee-high socks, White floral neck accessory","Straight, Layered","Elegant, Minimalist",Soft textures with floral details
1,Shiatzy Chen,Fall 2024,Feminine,"Cream textured jacket with fur collar, White wide-leg trousers",None visible,"Boxy top, Wide-leg bottom","Elegant, Minimalist",Monochromatic look with luxurious textures
1,Shiatzy Chen,Fall 2024,Feminine,"Black tweed blazer, Black glitter mini dress","Black handbag, Black knee-high socks","Structured, Fitted","Chic, Elegant",Classic black ensemble with subtle sparkle
1,Shiatzy Chen,Fall 2024,Feminine,"Black tweed coat dress, Black satin cuffs","Black knee-high socks, Black heels with gold chain","Fitted, Knee-length","Elegant, Textured, Sophisticated",Features a high slit and multicolored speckles
1,Shiatzy Chen,Fall 2024,Feminine,Black tweed coat dress,"Black knee-high socks, Glitter shoes","Fitted, A-line","Elegant, Textured",Textured fabric with a classic silhouette
1,Shiatzy Chen,Fall 2024,Feminine,"Black tweed jacket, Black textured top, Black layered skirt","Black knee-high socks, Black pointed shoes with chain detail",Structured,"Elegant, Textured, Monochrome",Rich textures and monochrome palette create a sophisticated look.
1,Shiatzy Chen,Fall 2024,Feminine,"Black tweed crop top, Black tweed pants","Black handbag, Statement earrings","Structured, Cropped","Chic, Textured",Intricate detailing on tweed fabric
1,Shiatzy Chen,Fall 2024,Feminine,Black sequin lace cape dress,Black knee-high boots with metallic tips,A-line,"Gothic, Elegant",High neck with bow detail
1,Shiatzy Chen,Fall 2024,Feminine,"Yellow coat with metallic prints, Brown fur collar","Black tights, Black pointed heels","Oversized, Straight","Avant-garde, Artistic","Bold metallic patterns, Luxurious texture"
1,Shiatzy Chen,Fall 2024,Feminine,"Black and gold textured blazer, Black trousers",Black boots,Tailored,"Elegant, Luxurious",Features gold accents and textured details
1,Shiatzy Chen,Fall 2024,Feminine,"Yellow metallic-patterned jacket, Yellow metallic-patterned shorts","Black knee-high socks, Black pointed shoes","Structured, Boxy","Modern, Chic, Bold",Gold accents add a luxurious touch
1,Shiatzy Chen,Fall 2024,Feminine,"Black embroidered coat, Black and gold textured dress",Metallic handbag,"Oversized coat, Flowing dress","Elegant, Sophisticated","Intricate embroidery, Luxurious textures"
1,Shiatzy Chen,Fall 2024,Feminine,"Black double-breasted blazer with gold brushstroke detail, black wide-leg trousers",Black textured handbag,"Structured, Oversized","Modern, Artistic, Elegant",Gold brushstroke adds artistic flair to classic tailoring.
1,Shiatzy Chen,Fall 2024,Masculine,"Black fringed blazer, White button-up shirt, Black trousers",Burgundy shoes,Tailored,"Textured, Modern, Edgy",Fringed texture adds a unique touch to classic tailoring.
1,Shiatzy Chen,Fall 2024,Androgynous,"Black textured coat, Black dress",Pointed metallic shoes,"Oversized, Longline","Avant-garde, Textured, Monochrome","Frayed texture, Metallic accents"
1,Shiatzy Chen,Fall 2024,Masculine,"White double-breasted blazer, white turtleneck, white trousers","Floral brooch, black shoes",Relaxed fit,"Elegant, Minimalist, Monochrome",Features a floral brooch detail
1,Shiatzy Chen,Fall 2024,Feminine,"White wrap blouse, White wrap skirt",Black boots,"Asymmetrical, Fitted","Minimalist, Elegant",Features a high collar and side slit.
1,Shiatzy Chen,Fall 2024,Masculine,"Black textured suit, Black shirt",Black tie,Structured,"Elegant, Modern",Subtle sparkle in fabric
