Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Pamella Roland,Spring 2021,Feminine,Pink strapless sequin dress with feather details,Silver strappy sandals,"Fitted, midi length","Glamorous, elegant",Intricate sequin and feather embellishments
2,Pamella Roland,Spring 2021,Feminine,Purple long-sleeve sequin gown,None visible,"Fitted, floor length","Sophisticated, sparkling",All-over sequin detailing with sheer sleeves
3,Pamella Roland,Spring 2021,Feminine,Lilac sequin dress with feather accents,None visible,"A-line, knee length","Chic, playful",Feathered shoulders and hem with sequin embellishments
1,Pamella Roland,Spring 2021,Feminine,Strapless sequin dress,None visible,"Fitted, knee-length","Glamorous, sparkling","Floral sequins, fringe details"
2,Pamella Roland,Spring 2021,Feminine,Black dress with sheer embellished sleeve,Black studded heels,"Bodycon, midi","Elegant, modern","Asymmetrical neckline, metallic accents"
3,Pamella Roland,Spring 2021,Feminine,"Purple tailored blazer, flared pants",None visible,"Fitted, flared","Sophisticated, tailored","Embellished collar, deep V-neck"
1,Pamella Roland,Spring 2021,Feminine,Purple off-shoulder gown,,"Fitted, mermaid","Elegant, sophisticated","Dramatic neckline, floor-length"
2,Pamella Roland,Spring 2021,Feminine,Black gown with sequined shawl,,Column,"Chic, glamorous","Sequined shawl, minimalist design"
3,Pamella Roland,Spring 2021,Feminine,Green sequined dress,,Bodycon,"Bold, sparkling","Cut-out shoulders, knee-length"
1,Pamella Roland,Spring 2015,Feminine,White oversized coat dress,None,"Voluminous, boxy","Minimalist, modern",Black rectangular detail on front
2,Pamella Roland,Spring 2015,Feminine,"White cut-out top, high-waisted trousers",Statement earrings,"Fitted, wide-leg","Elegant, sophisticated",Geometric cut-out detail
3,Pamella Roland,Spring 2015,Feminine,"White perforated coat, bandeau top, high-waisted trousers",None,"Relaxed, structured","Chic, contemporary",Textured coat with open weave
1,Pamella Roland,Spring 2015,Feminine,"Textured cap sleeve top, beige pencil skirt",Nude heels,"Fitted, sleek","Elegant, minimalist","Subtle texture, neutral palette"
2,Pamella Roland,Spring 2015,Feminine,Sleeveless dress with wide waistband,Silver heels,"Fitted, sleek","Sophisticated, modern","Contrasting textures, neutral tones"
3,Pamella Roland,Spring 2015,Feminine,"Sleeveless long vest with floral detail, wide-leg trousers",White heels,"Flowy, layered","Chic, contemporary","Floral accents, soft layering"
1,Pamella Roland,Spring 2015,Feminine,"Pink boxy top, white wide-leg trousers",None,"Relaxed, boxy","Minimalist, clean lines",Soft pastel color palette
2,Pamella Roland,Spring 2015,Feminine,Gray fitted dress with panel details,None,"Fitted, tailored","Sophisticated, elegant",Subtle texture with paneling
3,Pamella Roland,Spring 2015,Feminine,Pink wrap dress,None,"Fitted, structured","Chic, modern",Wrap detail adds interest
