Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Altuzarra,Spring 2023,Feminine,"White oversized coat, blue striped shirt, gray knit vest, mini skirt","Lime green handbag, red sneakers","Layered, relaxed","Casual, sporty",Bright sneakers add a pop of color
2,Altuzarra,Spring 2023,Feminine,"Olive green parka, white shirt, red knit dress, black mini skirt","White handbag, black sneakers","Layered, oversized","Casual, utilitarian",Bold red dress contrasts with the parka
3,Altuzarra,Spring 2023,Feminine,"Gray blazer, blue striped blouse, tan mini skirt","Brown handbag, black sneakers, embellished scarf","Structured, layered","Chic, eclectic",Embellished scarf adds texture and interest
1,Altuzarra,Spring 2023,Feminine,"Navy blazer, white blouse with ruffles, khaki mini skirt","Silver metallic bag, red sneakers","Layered, structured","Eclectic, modern",Mix of formal and casual elements
2,Altuzarra,Spring 2023,Feminine,"Gray oversized jacket, pink sweater, white shirt, pleated skirt","Small blue bag, silver pointed flats","Oversized, layered","Casual, chic",Contrast of textures and colors
3,Altuzarra,Spring 2023,Feminine,"Pink lace-up blouse, khaki mini skirt, cream jacket",Black heels,"Relaxed, layered","Effortless, contemporary",Soft color palette with a relaxed fit
1,Altuzarra,Spring 2023,Feminine,"Yellow cable-knit cardigan, white lace-up blouse, white skirt","Pink handbag, black sandals","Relaxed, layered","Casual, chic",Bright color contrast with soft textures
2,Altuzarra,Spring 2023,Feminine,"Denim lace-up blouse, denim skirt","Black handbag, black sneakers","Casual, coordinated","Denim, monochrome",Effortless denim-on-denim look
3,Altuzarra,Spring 2023,Feminine,"Plaid blazer, navy sweater, striped shirt, striped skirt","Patterned handbag, black sneakers","Structured, layered","Preppy, tailored",Mix of patterns and textures for a modern twist
1,Altuzarra,Fall 2022,Feminine,"Black coat, printed maxi skirt",None visible,"Layered, voluminous","Bohemian, eclectic","Fur collar detail, mixed prints"
2,Altuzarra,Fall 2022,Feminine,Printed maxi dress,Black handbag,"Flowy, cinched waist","Bohemian, elegant","Deep V-neck, intricate patterns"
3,Altuzarra,Fall 2022,Feminine,"Brown leather coat, printed sweater, wide-leg pants",Brown handbag,"Layered, structured","Sophisticated, modern","Fur collar, rich textures"
1,Altuzarra,Fall 2022,Feminine,"Black leather jacket, black turtleneck, black pleated skirt","Black handbag, fur collar","Layered, fitted","Edgy, modern",Monochrome look with texture contrast
2,Altuzarra,Fall 2022,Feminine,"Printed dress with red and black patterns, wide belt","Beige handbag, black platform boots","Flowy, cinched waist","Bohemian, eclectic",Rich patterns with a statement belt
3,Altuzarra,Fall 2022,Feminine,"Beige cropped jacket, white knit sweater, black pleated skirt","Taupe handbag, embellished belt","Layered, relaxed","Chic, contemporary",Neutral tones with metallic accents
1,Altuzarra,Fall 2012,Feminine,"Black textured coat, embellished sleeves, black thigh-high boots",None,"Fitted, layered","Eclectic, luxurious",Mix of textures and embellishments
2,Altuzarra,Fall 2012,Feminine,"Black fur-collared jacket, patterned pants, black thigh-high boots",Fringe details on boots,"Structured, layered","Bohemian, edgy",Bold patterns with classic black
3,Altuzarra,Fall 2012,Feminine,"Black coat with fur collar, patterned jumpsuit, black thigh-high boots",Fringe details on boots,"Structured, layered","Bohemian, edgy",Rich textures and intricate patterns
1,Altuzarra,Fall 2012,Feminine,"Black knit sweater, patterned pants",Wide belt with coin details,"Fitted top, voluminous pants","Eclectic, bohemian","Mix of textures, bold patterns"
2,Altuzarra,Fall 2012,Feminine,"Black coat, white patterned sweater, black pants",None,"Layered, structured","Chic, sophisticated","Monochrome palette, military-inspired coat"
3,Altuzarra,Fall 2012,Feminine,"Black blazer, white textured skirt",None,"Tailored, sleek","Modern, elegant","High slit, fringe details on skirt"
1,Altuzarra,Fall 2012,Feminine,"Navy military jacket, patterned turtleneck, cargo pants",Black knee-high boots,"Structured, layered","Military, utilitarian","Double-breasted jacket, fringe details"
2,Altuzarra,Fall 2012,Feminine,"Black leather jacket, graphic top, textured skirt","Wide belt, ankle boots","Fitted, textured","Edgy, modern","Textured skirt, wide belt accent"
3,Altuzarra,Fall 2012,Feminine,"Embellished top, textured skirt, cargo pants","Wide belt, knee-high boots","Layered, embellished","Bohemian, eclectic","Coin embellishments, mixed textures"
