Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Fashion East,Spring 2024,Masculine,"Red checkered shirt, black shorts","White knee-high socks, black sneakers","Fitted, casual","Retro, sporty",Button details on shorts
2,Fashion East,Spring 2024,Masculine,"Black mesh top, black shorts with red checkered pockets","Silver necklace, black sneakers","Layered, edgy","Futuristic, deconstructed","Mesh fabric, exposed skin"
3,Fashion East,Spring 2024,Masculine,"White tank top, red and black pants","Silver harness, black sneakers","Streamlined, athletic","Modern, avant-garde","Harness detail, bold color contrast"
1,Fashion East,Spring 2024,Masculine,"Black vest, patterned shorts, black leggings",Black wrist cuffs,"Fitted, layered","Edgy, modern","Deep V-neck, bold patterns"
2,Fashion East,Spring 2024,Masculine,"Black overalls, blue shirt, black leggings",,"Relaxed, layered","Casual, utilitarian","Button details, structured overalls"
3,Fashion East,Spring 2024,Masculine,"Black pants, red checkered waistband",Red checkered suspenders,"Relaxed, fitted","Sporty, contemporary","Bare chest, functional straps"
1,Fashion East,Spring 2024,Masculine,"White short-sleeve shirt, red and black layered shorts","Studded wristbands, black knee-high socks","Relaxed, layered","Casual, sporty","Contrasting colors, casual layering"
2,Fashion East,Spring 2024,Masculine,"White sleeveless top, black mesh shorts","Silver rope necklace, black knee-high socks, small bag","Athletic, fitted","Sporty, modern","Mesh details, monochrome look"
3,Fashion East,Spring 2024,Masculine,"Textured zip-up jacket, sheer gray pants",Silver rope straps,"Loose, relaxed","Edgy, contemporary","Sheer fabric, textured knit"
1,Fashion East,Fall 2022,Masculine,"White sheer wrap shirt, black wide-leg pants",Safety pin necklace,"Relaxed, flowing","Edgy, deconstructed","Safety pin details, sheer fabric"
2,Fashion East,Fall 2022,Feminine,"Navy asymmetrical top, navy mini skirt",None visible,"Fitted, asymmetrical","Punk, avant-garde","Safety pin embellishments, cut-out design"
3,Fashion East,Fall 2022,Masculine,"White graphic tank top, blue jeans",Brown leather belt,"Casual, relaxed","Grunge, casual","Safety pin accents, distressed denim"
1,Fashion East,Fall 2022,Feminine,"Red cropped jacket, red wrap skirt",Black boots,"Fitted, cropped","Bold, edgy","Monochrome red, midriff-baring"
2,Fashion East,Fall 2022,Masculine,"Black graphic t-shirt, black open jacket, black pants",Black boots,"Relaxed, layered","Casual, graphic","Muscle print, layered look"
3,Fashion East,Fall 2022,Masculine,"Black deconstructed jacket, black flowing skirt",Black boots,"Flowing, deconstructed","Avant-garde, experimental","Layered textures, exposed chest"
1,Fashion East,Fall 2022,Feminine,Striped one-shoulder dress,,"Draped, asymmetrical","Edgy, modern","Sheer fabric, diagonal stripes"
2,Fashion East,Fall 2022,Masculine,"Black jacket, black pants",,"Tailored, relaxed","Minimalist, urban","Exposed midriff, layered straps"
3,Fashion East,Fall 2022,Feminine,"White crop top, white wrap skirt",Silver pendant necklace,"Fitted, flowing","Bohemian, chic","Cut-out details, asymmetrical hem"
1,Fashion East,Spring 2011,Feminine,Beige sleeveless dress,"Black sandals, black socks","Straight, relaxed","Minimalist, natural",Textured fabric detail on dress
2,Fashion East,Spring 2011,Feminine,"Gray sleeveless shirt, light gray pants",Orange and black sandals,"Loose, flowing","Casual, layered","Hooded shirt, contrasting footwear"
3,Fashion East,Spring 2011,Feminine,"White shirt, gray vest, white pants",Black sandals,"Fitted, tailored","Classic, clean",Layered vest over shirt
1,Fashion East,Spring 2011,Feminine,"Beige graphic top, black and white printed skirt",Black cut-out sandals,"Relaxed, A-line","Artistic, eclectic","Raw edges on top, mixed prints"
2,Fashion East,Spring 2011,Feminine,"Black and white printed shirt, dark patterned pants","Orange socks, black sandals","Relaxed, tapered","Graphic, bold","Contrasting patterns, vibrant socks"
3,Fashion East,Spring 2011,Feminine,"Light gray blazer, printed shirt, gray shorts",Black sandals,"Structured, boxy","Modern, minimal","Frayed hem on shorts, layered look"
1,Fashion East,Spring 2011,Feminine,"Gray button-up shirt, white textured jacket, black slim pants",Black sandals,"Slim, layered","Casual, modern","Textured layering, minimalistic palette"
2,Fashion East,Spring 2011,Feminine,"Graphic t-shirt, gray long-sleeve top, black ruffled skirt","White socks, black sandals","Loose, layered","Casual, eclectic","Graphic print, ruffled hem"
3,Fashion East,Spring 2011,Feminine,"Gray structured jacket, white draped top, beige textured shorts","Black cut-out socks, black sandals","Structured, layered","Edgy, contemporary","Cut-out details, structured jacket"
