Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Julien David,Fall 2011,Masculine,"Black coat, white shirt, cropped pants","Pixelated face mask, black boots","Structured, tailored","Avant-garde, minimalist","Unique headpiece, monochrome palette"
2,Julien David,Fall 2011,Masculine,"Plaid coat, blue shirt, cropped pants","Pixelated face mask, black boots with blue soles","Structured, tailored","Avant-garde, minimalist","Contrasting shoe soles, unique headpiece"
3,Julien David,Fall 2011,Masculine,"Plaid coat, blue shirt, cropped pants","Pixelated face mask, black boots with blue soles","Structured, tailored","Avant-garde, minimalist","Consistent theme with previous look, unique headpiece"
1,Julien David,Fall 2011,Feminine,"Black coat, white shirt, black leggings","Veil, black boots","Structured, layered","Avant-garde, minimalist","Pixelated face veil, monochrome palette"
2,Julien David,Fall 2011,Feminine,"Black sleeveless dress, black leggings","Veil, black boots","A-line, layered","Avant-garde, minimalist","Pixelated face veil, monochrome palette"
3,Julien David,Fall 2011,Masculine,"Black double-breasted suit, white shirt","Veil, black boots with blue soles","Tailored, structured","Avant-garde, minimalist","Pixelated face veil, monochrome palette"
1,Julien David,Fall 2011,Feminine,"Gray oversized suit, striped scarf","Veil headpiece, black boots","Relaxed, oversized","Avant-garde, layered",Monochrome with statement scarf
2,Julien David,Fall 2011,Feminine,"Brown jacket, colorful printed dress","Veil headpiece, black boots","Layered, structured","Eclectic, colorful",Bold print with neutral outerwear
3,Julien David,Fall 2011,Feminine,"Black jacket, colorful printed dress","Veil headpiece, black boots","Layered, structured","Eclectic, colorful",Vibrant print with dark outerwear
1,Julien David,Spring 2016,Feminine,Denim button-up dress,Black sandals,"Relaxed, straight","Casual, minimalist",Simple button detailing
2,Julien David,Spring 2016,Feminine,"Dark zip-up top, denim skirt",Blue sandals,"Fitted top, flowing skirt","Casual, modern",Contrast between top and skirt
3,Julien David,Spring 2016,Feminine,Denim overall dress,White platform shoes,A-line,"Casual, edgy","High slit, zipper detail"
1,Julien David,Spring 2016,Feminine,"White long-sleeve top, navy vest, white midi skirt",White sandals,"Fitted top, A-line skirt","Layered, casual","Contrasting textures, minimalistic"
2,Julien David,Spring 2016,Feminine,"Black halter dress, white underlayer",Black platform shoes,"Straight, relaxed","Effortless, chic","Monochrome look, subtle layering"
3,Julien David,Spring 2016,Feminine,"White zip-up top, navy parka, white shorts",White lace-up boots,"Oversized outerwear, fitted shorts","Sporty, utilitarian",Contrast between oversized and fitted pieces
1,Julien David,Spring 2016,Feminine,"Blue textured top, white button-up pants",Blue sandals,"Relaxed, voluminous","Casual, airy","Textured fabric, oversized pockets"
2,Julien David,Spring 2016,Feminine,"Patterned long-sleeve top, black button-up skirt",White sandals,"Structured, layered","Eclectic, modern","Layered top, button details"
3,Julien David,Spring 2016,Feminine,Blue zip-up dress with collar,White platform shoes,"A-line, fitted","Sporty, chic","Contrasting collar, pleated skirt"
