Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Nathan Jenden,Spring 2009,Feminine,Orange draped dress,"Statement earrings, blue heels","Fitted, draped","Bold, vibrant","Deep neckline, bright color"
2,Nathan Jenden,Spring 2009,Feminine,"Metallic structured jacket, metallic pencil skirt","Red sunglasses, black heels","Structured, tailored","Futuristic, metallic","Strong shoulders, iridescent fabric"
3,Nathan Jenden,Spring 2009,Feminine,Orange wrap dress,Black heels,"Fitted, wrap","Minimalist, bold","Clean lines, bright color"
1,Nathan Jenden,Spring 2009,Feminine,"Printed blazer, matching skirt",,"Fitted, structured","Bold, graphic","Peplum detail, monochrome print"
2,Nathan Jenden,Spring 2009,Feminine,Strapless dress with peplum,Sunglasses,Fitted,"Elegant, modern","Soft peach color, contrast details"
3,Nathan Jenden,Spring 2009,Feminine,Metallic mini dress,,"Loose, draped","Chic, futuristic","Shiny texture, simple cut"
1,Nathan Jenden,Spring 2009,Feminine,"Embellished jacket, patterned dress",None visible,"Fitted, knee-length","Eclectic, bold","Intricate patterns, vibrant colors"
2,Nathan Jenden,Spring 2009,Feminine,"Black blazer, iridescent fringe dress",Pink pocket square,"Structured, playful","Futuristic, chic","Contrasting textures, vibrant fringe"
3,Nathan Jenden,Spring 2009,Feminine,"Leather vest, embellished sleeves, black wide-leg pants",None visible,"Tailored, relaxed","Edgy, sophisticated","Mix of textures, bold sleeves"
1,Nathan Jenden,Spring 2008,Feminine,"Beige coat, white layered skirt","Striped cap, black shoes with bows","A-line, layered","Playful, feminine","Large white bow, striped cap"
2,Nathan Jenden,Spring 2008,Feminine,"Striped blouse, striped shorts",Black shoes with bows,"Structured, tailored","Chic, bold","Puffed sleeves, oversized bow tie"
3,Nathan Jenden,Spring 2008,Feminine,"Black and white coat, white layered skirt","Black cap, black shoes with bows","A-line, layered","Contrasting, playful","Yellow bow, striped details"
1,Nathan Jenden,Spring 2008,Feminine,"Striped blazer, white layered skirt","Striped cap, black shoes","Voluminous, structured","Playful, monochrome","Bold stripes, layered textures"
2,Nathan Jenden,Spring 2008,Feminine,"Black cropped jacket, white blouse, white shorts","Striped necktie, black shoes","Boxy, layered","Chic, monochrome","Contrasting textures, oversized sleeves"
3,Nathan Jenden,Spring 2008,Feminine,White strapless dress with floral details,"Pink waistband, black shoes","A-line, fitted","Romantic, elegant","Textured floral appliqué, vibrant accent"
1,Nathan Jenden,Spring 2008,Feminine,"Striped strapless dress, cropped pants","Pink belt, black bow shoes","A-line, layered","Playful, bold",Contrast between stripes and solid colors
2,Nathan Jenden,Spring 2008,Feminine,"White blouse, black and white mini skirt","Black gloves, black bow shoes","Structured, fitted","Monochrome, chic",High contrast with bold lines
3,Nathan Jenden,Spring 2008,Feminine,"White blouse, lace skirt","Striped bow, black bow shoes","Voluminous, layered","Romantic, whimsical",Mix of textures with lace and stripes
1,Nathan Jenden,Fall 2010,Feminine,"Patchwork tunic, patterned leggings","Pink gloves, sunglasses","Oversized, fitted","Bold, graphic","Mix of patterns, vibrant gloves"
2,Nathan Jenden,Fall 2010,Feminine,"Patterned coat, embellished top","Zebra print hat, fishnet tights",Voluminous,"Eclectic, dramatic","Textured layers, statement hat"
3,Nathan Jenden,Fall 2010,Feminine,"Blue jacket, black skirt",None,"Relaxed, layered","Modern, sleek","Contrasting textures, minimalist accessories"
1,Nathan Jenden,Fall 2010,Feminine,"Black blazer with leopard print lapels, zebra print dress, black and blue leggings","Sunglasses, black lipstick","Fitted, layered","Eclectic, bold","Animal prints, mixed patterns"
2,Nathan Jenden,Fall 2010,Feminine,"Gray oversized coat, pinstripe suit, polka dot skirt","Wide-brimmed hat, black lipstick","Oversized, layered","Avant-garde, textured","Mix of patterns, dramatic hat"
3,Nathan Jenden,Fall 2010,Feminine,"Gray metallic-trim coat, black dress","Beret, black lipstick","Boxy, structured","Modern, edgy","Metallic accents, structured outerwear"
1,Nathan Jenden,Fall 2010,Feminine,"Black belted coat, gray turtleneck, blue and black skirt, black leggings","Black gloves, lace-up heels","Layered, fitted","Edgy, modern","Dark lipstick, textured fabrics"
2,Nathan Jenden,Fall 2010,Feminine,"Black and white patterned dress, black mini dress","Patterned beret, scarf, fishnet stockings, strappy heels","Fitted, asymmetric","Graphic, bold","Monochrome patterns, strong contrast"
3,Nathan Jenden,Fall 2010,Feminine,Black and white geometric dress,"Gray scarf, fishnet stockings, lace-up heels","Bodycon, asymmetric","Minimalist, graphic","Monochrome, geometric design"
