Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,J. Mendel,Fall 2009,Feminine,"White fur vest, black top, black pants",Black gloves,"Slim, elongated","Chic, elegant",Contrasting textures with fur and fabric
2,J. Mendel,Fall 2009,Feminine,"Black leather jacket, black top, black pants",Black gloves,"Slim, tailored","Sophisticated, sleek",Monochrome look with leather detailing
3,J. Mendel,Fall 2009,Feminine,"Black textured jacket, black top, black pants",Black gloves,"Slim, fitted","Modern, minimal",Textured jacket adds depth to monochrome outfit
1,J. Mendel,Fall 2009,Feminine,"Fur jacket, black pants",Black gloves,"Fitted, sleek","Elegant, luxurious","Dark palette, texture contrast"
2,J. Mendel,Fall 2009,Feminine,"Fur jacket, black pants",Black gloves,"Fitted, sleek","Elegant, luxurious","Dark palette, texture contrast"
3,J. Mendel,Fall 2009,Feminine,"Fur cape, black pants",Black gloves,"Fitted, sleek","Elegant, luxurious","Dark palette, texture contrast"
1,J. Mendel,Fall 2009,Feminine,"Black textured coat, leggings",Black gloves,"Structured, tailored","Elegant, sophisticated","High collar, sleek lines"
2,J. Mendel,Fall 2009,Feminine,"Black fur coat, leggings",Black gloves,"Structured, tailored","Luxurious, chic","Fur texture, leather accents"
3,J. Mendel,Fall 2009,Feminine,"Gray tweed coat, leggings",Black gloves,"Structured, tailored","Classic, refined","Contrast trim, high collar"
1,J. Mendel,Spring 2017,Feminine,"White cropped jacket, patterned dress",,Fit and flare,"Modern, geometric","Sheer striped sleeves, intricate patterns"
2,J. Mendel,Spring 2017,Feminine,Yellow lace dress,Patterned shoes,A-line,"Elegant, airy","Geometric lace, flowing hem"
3,J. Mendel,Spring 2017,Feminine,Black lace gown,,Column,"Sophisticated, evening","Sheer panels, intricate lace"
1,J. Mendel,Spring 2017,Feminine,Yellow strapless lace gown,,"Fitted, floor-length","Elegant, delicate",Intricate lace detailing
2,J. Mendel,Spring 2017,Feminine,"White sleeveless top, patterned pants",White pointed heels,"Tailored, straight-leg","Modern, chic",Geometric pattern on pants
3,J. Mendel,Spring 2017,Feminine,Black lace mini dress,,"Fitted, mini-length","Edgy, textured",Layered lace with floral embellishments
1,J. Mendel,Spring 2017,Feminine,"White lace top, sheer pleated skirt",White strappy heels,"Flowy, ethereal","Romantic, delicate","Intricate lace details, soft movement"
2,J. Mendel,Spring 2017,Feminine,"Black sheer top, patterned trousers",Black heeled mules,"Fitted, tailored","Chic, modern","Textured fabric, structured silhouette"
3,J. Mendel,Spring 2017,Feminine,"Fur grid top, white midi skirt",Black pointed heels,"A-line, voluminous","Avant-garde, elegant","Unique fur pattern, layered textures"
1,J. Mendel,Spring 2013,Feminine,Green and beige textured dress,White ankle strap heels,"A-line, fitted bodice","Elegant, textured","Deep V-neckline, subtle sheen"
2,J. Mendel,Spring 2013,Feminine,Green and beige textured top and skirt,"White ankle strap heels, beige clutch","Straight, tailored","Chic, floral embellishments","Floral shoulder detail, pocketed skirt"
3,J. Mendel,Spring 2013,Feminine,Light green textured top and skirt,White ankle strap heels,"Flared, layered","Playful, soft","V-neckline, layered hem"
1,J. Mendel,Spring 2013,Feminine,Pleated sage green mini dress,Strappy sandals,"A-line, fitted bodice","Ethereal, delicate","Light, airy fabric with subtle pleats"
2,J. Mendel,Spring 2013,Feminine,"Blush pink coat, pleated dress","Clutch with fur detail, ankle strap heels","Boxy coat, flowy dress","Elegant, soft",Textured coat with a soft color palette
3,J. Mendel,Spring 2013,Feminine,Mint green lace dress,Ankle strap heels,"A-line, fitted waist","Romantic, vintage-inspired",Intricate lace detailing with sheer elements
1,J. Mendel,Spring 2013,Feminine,"Lace coat, leather top, shorts",Strappy sandals,"Relaxed, layered","Elegant, monochrome",Intricate lace detailing
2,J. Mendel,Spring 2013,Feminine,"Pleated dress, sheer overlay","Belt, ankle-strap heels","Flowy, cinched waist","Ethereal, soft","Pastel hues, sheer fabric"
3,J. Mendel,Spring 2013,Feminine,Pleated V-neck dress,"Belt, metallic pointed heels","Flowy, A-line","Chic, sophisticated","Gradient pleats, structured belt"
