Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Hodakova,Fall 2024,Feminine,"White shirt, woven leather skirt","Black tie, black heels","Straight, structured","Innovative, modern",Woven leather texture
2,Hodakova,Fall 2024,Feminine,"Beige trench coat, green skirt","Black clutch, black heels","Oversized, belted","Classic, utilitarian",Minimalist accessories
3,Hodakova,Fall 2024,Feminine,"Black cardigan, woven leather skirt","Black headpiece, black flats","Straight, fitted","Sophisticated, edgy",Textured footwear
1,Hodakova,Fall 2024,Feminine,"Black polo shirt, quilted leather skirt","Black fur clutch, black ribbon shoes","Straight, structured","Edgy, minimalist","Quilted texture, monochrome look"
2,Hodakova,Fall 2024,Feminine,"Blue shirt, leather vest","Brown tie, black fur clutch, mesh headpiece","Boxy, oversized","Androgynous, modern","Layered leather, menswear-inspired"
3,Hodakova,Fall 2024,Feminine,"Blue shirt, black textured dress",Black patent shoes,"Column, voluminous","Avant-garde, textured","3D floral appliqué, dramatic silhouette"
1,Hodakova,Fall 2024,Feminine,"Black puff-sleeve top, floral textured mini skirt",Black woven handbag,"Fitted, playful","Chic, youthful",Textured skirt adds dimension
2,Hodakova,Fall 2024,Feminine,White button-up shirt dress,"Tan handbag, black embellished shoes","Loose, casual","Effortless, modern",Minimalist with a touch of elegance
3,Hodakova,Fall 2024,Feminine,"Dark satin jacket, gray skirt",Wine bottle,"Layered, structured","Sophisticated, avant-garde",Mix of textures and fabrics
1,Hodakova,Spring 2023,Feminine,Black strapless gown with textured leather patches,"Sheer black gloves, paper-like face accessories","Column, fitted","Avant-garde, textured","Innovative use of leather, sculptural elements"
2,Hodakova,Spring 2023,Feminine,Black woven leather strapless dress,None visible,"Fitted, structured","Futuristic, woven","Metallic accents, intricate weaving"
3,Hodakova,Spring 2023,Feminine,Black oversized puffer dress,Paper-like face accessories,"Voluminous, cocoon","Dramatic, oversized","Playful silhouette, exaggerated volume"
1,Hodakova,Spring 2023,Feminine,"Black netted dress, beige undergarment",White sculptural earrings,"Sheer, form-fitting","Avant-garde, bold","Leather straps, open weave design"
2,Hodakova,Spring 2023,Feminine,Black voluminous gown,Paper-like face accessory,"Flowy, oversized","Dramatic, conceptual","Layered fabric, theatrical presence"
3,Hodakova,Spring 2023,Feminine,Beige patchwork dress,"Black woven bag, silver earrings","Fitted, sculptural","Eclectic, textured","Lace details, asymmetrical design"
1,Hodakova,Spring 2023,Feminine,"Black strapless dress with front slit, black pants",Black heels,"Fitted bodice, voluminous skirt","Avant-garde, deconstructed","Frayed edges, layered look"
2,Hodakova,Spring 2023,Feminine,"Black pinstripe blazer, black skirt with slit","Brown woven bag, black pointed heels","Structured, elongated","Tailored, edgy","Raw edges, asymmetrical design"
3,Hodakova,Spring 2023,Feminine,Black off-the-shoulder ruffled mini dress,Black heels,"Voluminous, short","Dramatic, playful","Ruffled texture, bold silhouette"
1,Hodakova,Spring 2022,Feminine,"Black leather strapless top, black pants",Black mesh gloves,"Structured, fitted","Edgy, avant-garde",Leather top with unique structure
2,Hodakova,Spring 2022,Feminine,"Sheer black crop top, black wide-leg pants",None,"Flowy, relaxed","Minimalist, modern",Sheer top with geometric patterns
3,Hodakova,Spring 2022,Feminine,"Black leather bustier, black oversized coat, black wide-leg pants",Glasses,"Layered, oversized","Chic, contemporary",Layered look with a mix of textures
1,Hodakova,Spring 2022,Feminine,"Black tailored jacket, black skirt",Checkered bag,"Structured, elongated","Chic, modern","High collar, slit skirt"
2,Hodakova,Spring 2022,Feminine,"Black oversized t-shirt, black flared skirt",Black clutch,"Flowy, oversized","Casual, artistic",Graphic back detail
3,Hodakova,Spring 2022,Feminine,"Brown tailored jacket, brown skirt",None,"Structured, elongated","Chic, modern","High collar, slit skirt"
1,Hodakova,Spring 2022,Feminine,"Black oversized coat, white shirt dress",White handbag,"Oversized, layered","Monochrome, structured","Contrasting layers, bold stripes on tights"
2,Hodakova,Spring 2022,Feminine,"Black deep V-neck dress, oversized jacket",None,"Fitted, oversized sleeves","Minimalist, edgy","Deep neckline, sheer knee-highs"
3,Hodakova,Spring 2022,Feminine,"White strapless top, black wide-leg pants",Black headpiece,"Voluminous, fitted bodice","Avant-garde, dramatic","Cut-out details, sculptural headpiece"
