Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,COS,Fall 2024,Feminine,"Gray wool coat, black belt",White fluffy slippers,"Oversized, relaxed","Minimalist, cozy","Draped fabric, cinched waist"
2,COS,Fall 2024,Feminine,"Black asymmetrical top, black asymmetrical skirt",Black ankle boots,"Asymmetrical, flowing","Edgy, modern","Layered textures, dynamic hemline"
3,COS,Fall 2024,Masculine,"Black overcoat, black v-neck sweater, black trousers",Black leather shoes,"Structured, elongated","Classic, sleek","Monochrome, tailored fit"
1,COS,Fall 2024,Masculine,"Black cape, black trousers",None,"Oversized, relaxed","Minimalist, monochrome","High collar, wide-leg pants"
2,COS,Fall 2024,Feminine,Silk draped dress,Fur slippers,"Fluid, draped","Elegant, minimalist","Asymmetrical neckline, flowing fabric"
3,COS,Fall 2024,Feminine,Faux fur coat,"Pink socks, white shoes","Boxy, cocoon","Bold, textured","Cow print pattern, high collar"
1,COS,Fall 2024,Masculine,"Olive green double-breasted coat, textured shirt, matching trousers",Black leather bag,"Relaxed, oversized","Minimalist, classic","Muted tones, structured tailoring"
2,COS,Fall 2024,Feminine,"Gray blazer, cream blouse, wide-leg denim trousers",None,"Relaxed, oversized","Chic, modern","Soft draping, contrast textures"
3,COS,Fall 2024,Masculine,"Navy suit, turtleneck sweater",None,"Relaxed, oversized","Sophisticated, sleek","Monochrome look, clean lines"
1,COS,Fall 2024,Masculine,"Navy oversized coat, black trousers",Black belt,"Oversized, cocoon","Minimalist, modern","Structured shoulders, monochrome"
2,COS,Fall 2024,Masculine,"Navy double-breasted coat, navy trousers, zip-up sweater",None,"Relaxed, tailored","Classic, sophisticated","Layered outerwear, tonal look"
3,COS,Fall 2024,Feminine,Black oversized coat,Black belt,"Oversized, cocoon","Minimalist, modern","Structured shoulders, monochrome"
1,COS,Fall 2024,Masculine,"Black leather jacket, black turtleneck, dark jeans",None,"Relaxed, structured","Minimalist, modern",Contrasting textures with leather and denim
2,COS,Fall 2024,Feminine,"Black leather jacket, black turtleneck, black trousers",None,"Relaxed, oversized","Minimalist, modern",Monochrome look with a focus on leather
3,COS,Fall 2024,Masculine,"Black textured sweater, black trousers",None,"Relaxed, oversized","Minimalist, modern",Textured knit adds depth to monochrome ensemble
1,COS,Fall 2024,Feminine,Black off-the-shoulder dress,Embellished black shoes,"Fitted, streamlined","Elegant, minimalist",Classic black dress with modern twist
2,COS,Fall 2024,Feminine,Black oversized coat,"Quilted black clutch, green socks, green shoes","Loose, oversized","Contemporary, bold",Pop of color with accessories
3,COS,Fall 2024,Masculine,"Gray layered coat, gray suit",Black shoes,"Relaxed, layered","Sophisticated, tailored",Monochrome layering with a casual touch
1,COS,Fall 2024,Feminine,"Gray oversized top, gray shorts",Fringed gray clutch,"Relaxed, oversized","Minimalist, modern",Pop of color with green socks
2,COS,Fall 2024,Feminine,Camel oversized coat,None,"Draped, oversized","Classic, elegant",Contrasting green socks
3,COS,Fall 2024,Masculine,"Gray sleeveless top, gray trousers",Black leather bag,"Loose, relaxed","Minimalist, contemporary",Monochrome look with structured bag
1,COS,Fall 2024,Feminine,"Gray knit top, gray wide-leg trousers",None,"Relaxed, draped","Minimalist, elegant","Subtle texture, neutral palette"
2,COS,Fall 2024,Masculine,"Olive green suit, beige knit zip-up",Brown leather shoes,"Oversized, structured","Classic, contemporary","Layered knitwear, muted tones"
3,COS,Fall 2024,Androgynous,"Black leather jacket, gray trousers",Black shoes,"Boxy, relaxed","Modern, utilitarian","Contrasting textures, monochrome look"
1,COS,Fall 2024,Feminine,"Gray button-up shirt, gray midi skirt","Pink socks, beige shoes","Relaxed, structured","Minimalist, utilitarian","Epaulettes on shoulders, monochrome look"
2,COS,Fall 2024,Masculine,"Black leather jacket, black trousers",None,"Boxy, oversized","Modern, sleek","High collar, casual elegance"
3,COS,Fall 2024,Masculine,"Black shearling coat, black shirt, black trousers",None,"Relaxed, oversized","Cozy, contemporary","Textured outerwear, monochrome layering"
1,COS,Fall 2024,Feminine,"Black oversized blazer, black trousers, black top",None,"Oversized, relaxed","Minimalist, monochrome","Strong shoulders, sleek tailoring"
2,COS,Fall 2024,Feminine,Black sleeveless dress,"Black gloves, puffy clutch, white fluffy shoes","Straight, streamlined","Chic, modern","Contrasting textures, elegant simplicity"
3,COS,Fall 2024,Masculine,"Black sleeveless top, black trousers",None,"Relaxed, straight","Minimalist, casual","Understated elegance, clean lines"
1,COS,Fall 2024,Masculine,"Oversized black blazer, white shirt, black trousers",None,"Oversized, relaxed","Minimalist, tailored","Double-breasted blazer, monochrome look"
2,COS,Fall 2024,Feminine,"Black lace top, black wrap trousers",None,"Draped, relaxed","Textured, elegant","Sheer top, asymmetrical trousers"
3,COS,Fall 2024,Feminine,"Sleeveless black blazer, black trousers",Chain detail shoes,"Structured, tailored","Chic, modern","Belted waist, sleeveless design"
1,COS,Fall 2024,Feminine,"Black lace sleeveless dress, black slip",None,"Sheath, layered","Elegant, delicate",Intricate lace detailing
2,COS,Fall 2024,Masculine,"Black oversized sleeveless blazer, black wide-leg trousers",None,"Oversized, relaxed","Modern, minimal","Double-breasted blazer, relaxed fit"
3,COS,Fall 2024,Feminine,"Black strapless top, black sheer skirt","Black gloves, black quilted clutch","A-line, layered","Chic, sophisticated","Textured top, sheer layering"
1,COS,Fall 2024,Masculine,"Oversized black blazer, black trousers",None,"Relaxed, oversized","Minimalist, modern","Soft tailoring, monochrome"
2,COS,Fall 2024,Feminine,Black sheer dress,None,"Flowy, sheer","Ethereal, elegant","Layered textures, transparency"
3,COS,Fall 2024,Feminine,"Black sleeveless top, black shorts",Black beaded collar,"Slim, short","Chic, contemporary","Embellished neckline, monochrome"
1,COS,Fall 2024,Feminine,Black textured dress,Black belt,"Straight, fitted","Chic, modern","Textured fabric, minimal accessories"
2,COS,Fall 2024,Feminine,"Dark sheer dress, high collar","Black gloves, quilted clutch","Flowing, layered","Edgy, sophisticated","Sheer fabric, structured collar"
3,COS,Fall 2024,Feminine,Black sleeveless gown,None,"Elegant, fluid","Minimalist, elegant","Contrasting inner lining, floor-length"
1,COS,Fall 2024,Feminine,Black draped dress,None,"Flowy, asymmetrical","Minimalist, elegant","High slit, cape-like shoulder detail"
