Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Roberto Cavalli,Spring 2023,Feminine,Ivory fitted dress,"Gold brooch, braided headband","Sleek, fitted","Elegant, minimal","Textured fabric, subtle embellishment"
2,Roberto Cavalli,Spring 2023,Feminine,"Leopard print coat, ivory bandeau, ivory skirt","Gold brooch, braided headband","Layered, bold","Eclectic, statement","Animal print contrast, structured layering"
3,Roberto Cavalli,Spring 2023,Feminine,"Ivory ruffled blouse, ivory trousers","Gold brooch, braided headband","Voluminous, structured","Romantic, classic","Ruffled details, high-waisted trousers"
1,Roberto Cavalli,Spring 2023,Feminine,"Black leather bandeau, high-slit pleated skirt","Gold earrings, pineapple belt buckle","Dramatic, flowing","Elegant, bold","High slit, structured top"
2,Roberto Cavalli,Spring 2023,Feminine,"Leopard print mini dress, black puff sleeve bolero",Gold earrings,"Fitted, structured","Animal print, glamorous","Bold print, contrasting textures"
3,Roberto Cavalli,Spring 2023,Feminine,"Sheer black blouse, high-waisted skirt with slit",Headband,"A-line, flowing","Chic, sophisticated","Sheer fabric, high slit"
1,Roberto Cavalli,Spring 2023,Feminine,Black strapless mini dress with draped detail,,"Fitted, asymmetrical","Elegant, modern","Textured fabric, minimal accessories"
2,Roberto Cavalli,Spring 2023,Feminine,"White bandeau top, leopard print skirt",,"Flared, high-waisted","Bold, playful","Animal print, structured top"
3,Roberto Cavalli,Spring 2023,Feminine,Black and cream one-shoulder gown,Gold earrings,"Dramatic, voluminous","Sophisticated, avant-garde","Contrasting colors, ornate brooch"
1,Roberto Cavalli,Spring 2017,Feminine,"Patterned kimono, printed vest, multicolored jeans","Statement necklace, earrings","Flowy, relaxed","Bohemian, eclectic","Fringe details, vibrant colors"
2,Roberto Cavalli,Spring 2017,Feminine,"Sheer embroidered blouse, orange velvet pants","Choker, belt","Tailored, flared","Retro, glam","Sheer fabric, intricate embroidery"
3,Roberto Cavalli,Spring 2017,Feminine,"Ombre dress, purple pants","Choker, bangles","Layered, fluid","Bohemian, artistic","Draped shawl, rich textures"
1,Roberto Cavalli,Spring 2017,Masculine,"Pink embroidered kimono, mustard t-shirt, beige suede pants","Purple polka dot scarf, red beaded necklace","Relaxed, bohemian","Eclectic, vintage-inspired","70s influence, mix of textures"
2,Roberto Cavalli,Spring 2017,Feminine,Patchwork floral maxi dress,Colorful choker necklace,"Flowy, bohemian","Romantic, eclectic","Rich patterns, layered textures"
3,Roberto Cavalli,Spring 2017,Feminine,"Striped blazer, floral patchwork pants, blue tank top","Leopard print scarf, statement choker","Tailored, eclectic","Bohemian, mixed prints","Contrasting patterns, bold accessories"
1,Roberto Cavalli,Spring 2017,Feminine,"Patchwork leather jacket, wide-leg jeans","Yellow tinted sunglasses, choker","Relaxed, bohemian","Eclectic, retro","Fringe details, 70s influence"
2,Roberto Cavalli,Spring 2017,Feminine,"Floral patchwork blouse, striped wide-leg pants, fringed kimono","Statement necklace, earrings","Flowy, layered","Bohemian, vibrant","Mix of patterns, fringe accents"
3,Roberto Cavalli,Spring 2017,Feminine,"Patchwork maxi dress, sleeveless vest","Long scarf, earrings","Flowy, layered","Bohemian, eclectic","Floral prints, layered accessories"
