Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Maiyet,Spring 2017,Feminine,"Long coat, flared pants",,"Elongated, relaxed","Minimalist, elegant",Monochrome look with a focus on clean lines
2,Maiyet,Spring 2017,Feminine,"Sweater, asymmetrical skirt",Large tote bag,"Fitted, asymmetrical","Chic, modern",Textured knit with a structured skirt
3,Maiyet,Spring 2017,Feminine,Embroidered sheer top,,"Fitted, delicate","Ethereal, intricate",Detailed embroidery on sheer fabric
1,Maiyet,Spring 2017,Feminine,White sleeveless knit dress,,"Long, slim","Minimalist, elegant","Deep V-neckline, subtle texture"
2,Maiyet,Spring 2017,Feminine,Patterned short-sleeve dress,Large tote bag,"Relaxed, flowy","Casual, chic","Soft patterns, natural pose"
3,Maiyet,Spring 2017,Feminine,"Sheer blouse, wide-leg trousers, long coat",,"Layered, voluminous","Sophisticated, airy","Monochrome layering, sheer detailing"
1,Maiyet,Spring 2017,Feminine,Flowy white dress,,"A-line, flowing","Ethereal, minimalist","Barefoot, soft fabric movement"
2,Maiyet,Spring 2017,Feminine,"Black patterned blouse, black patterned skirt",,"Relaxed, draped","Chic, understated","Barefoot, subtle patterns"
3,Maiyet,Spring 2017,Feminine,White shirt with cut-out details,,"Tailored, structured","Modern, artistic","Close-up of shirt details, minimal styling"
1,Maiyet,Spring 2016,Feminine,"Gray sleeveless vest, white knit dress",Beige ankle boots,"Relaxed, asymmetrical","Minimalist, earthy","Layered textures, neutral palette"
2,Maiyet,Spring 2016,Feminine,White knit dress,"Fringed knit shawl, beige ankle boots","Straight, draped","Bohemian, relaxed","Fringe details, soft knit"
3,Maiyet,Spring 2016,Feminine,"Gray jacket, printed top, beige shorts","Fringed knit shawl, beige clutch, beige ankle boots","Tailored, layered","Casual, chic","Mix of textures, neutral tones"
1,Maiyet,Spring 2016,Feminine,Silver slip dress,Gold ankle boots,"Flowy, relaxed","Ethereal, minimal","Subtle shimmer, delicate straps"
2,Maiyet,Spring 2016,Feminine,"Light grey jacket, grey buttoned skirt, knit top",Beige ankle boots,"Structured, layered","Casual, chic","Neutral tones, layered textures"
3,Maiyet,Spring 2016,Feminine,"White knit sweater, silver skirt","White round bag, grey sandals","Relaxed, flowy","Effortless, modern","Textured knit, asymmetrical hem"
1,Maiyet,Spring 2016,Feminine,"White sweater with silver embellishments, silver satin skirt","Gray clutch, silver cuff","Relaxed, fluid","Minimalist, elegant","Soft textures, metallic accents"
2,Maiyet,Spring 2016,Feminine,"White tank top, white cardigan, white trousers","Tan bag, silver cuff","Relaxed, casual","Minimalist, chic","Layered neutrals, casual elegance"
3,Maiyet,Spring 2016,Feminine,"White sleeveless coat, white top, white wide-leg trousers",Tan bag,"Relaxed, flowing","Minimalist, sophisticated","Monochrome layering, structured outerwear"
1,Maiyet,Fall 2014,Feminine,"Black coat, patterned dress",Gold rings,"Fitted, layered","Chic, modern","Bold pattern, sleek coat"
2,Maiyet,Fall 2014,Feminine,"Black dress, cropped jacket","Yellow fur stole, rings","Slim, elegant","Sophisticated, sleek","Pop of color with fur, minimalistic"
3,Maiyet,Fall 2014,Feminine,Patterned dress,Gold rings,"Flowy, relaxed","Artistic, fluid","Geometric pattern, draped fit"
1,Maiyet,Fall 2014,Feminine,"Black blazer, gray shirt, patterned tie, black trousers",Yellow fur clutch,"Tailored, sleek","Chic, modern","Contrasting textures, bold accessory"
2,Maiyet,Fall 2014,Feminine,Black dress with yellow fur panel,Gold geometric necklace,"Straight, fitted","Bold, statement","Vibrant color contrast, minimalistic cut"
3,Maiyet,Fall 2014,Feminine,"Patterned blazer, white shirt, patterned tie, gold trousers",None,"Structured, elegant","Sophisticated, textured","Rich fabrics, intricate patterns"
1,Maiyet,Fall 2014,Feminine,"Black coat, patterned dress","Chunky necklace, black handbag","Tailored, layered","Chic, sophisticated",Textured coat with geometric patterns
2,Maiyet,Fall 2014,Feminine,"Patterned jacket, geometric dress",Rings,"Structured, layered","Modern, edgy",Monochrome patterns with a bold jacket
3,Maiyet,Fall 2014,Feminine,"Fur coat, geometric dress",Rings,"Fitted, layered","Luxurious, bold",Fur texture with striking geometric dress
