Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes
1,Rodarte,Fall 2013,Feminine,"Black velvet coat, navy turtleneck, black textured pants","Spiked necklace, earrings","Layered, relaxed","Edgy, gothic","Tattoo socks, neutral loafers"
2,Rodarte,Fall 2013,Feminine,"Black satin top, black leather coat, black textured skirt",Earrings,"Draped, flowing","Minimalist, dark","Tattoo socks, neutral loafers"
3,Rodarte,Fall 2013,Feminine,"Black coat, black satin top, black skirt","Spiked necklace, earrings","Layered, structured","Chic, sophisticated","Platform shoes, monochrome look"
1,Rodarte,Fall 2013,Feminine,"Black embellished blazer, black cut-out bodysuit, black wide-leg pants","Gold chain necklace, black belt","Relaxed, flowing","Edgy, modern","Cut-out details, embellished fabric"
2,Rodarte,Fall 2013,Feminine,"Beige oversized blazer, beige layered dress","Gold chain necklace, printed socks","Layered, voluminous","Soft, avant-garde","Layered textures, soft color palette"
3,Rodarte,Fall 2013,Feminine,"Beige coat, beige draped top, beige cropped pants","Gold chain necklace, printed socks","Structured, tailored","Chic, sophisticated","Draped fabric, neutral tones"
1,Rodarte,Fall 2013,Feminine,"Sheer black blouse, beige wrap top, black culottes","Gold scarf, chain necklace","Fitted waist, voluminous sleeves","Edgy, modern",Contrast of sheer and solid fabrics
2,Rodarte,Fall 2013,Feminine,Beige draped jumpsuit,,"Flowy, deep neckline","Elegant, fluid","Intricate strap details, side cutouts"
3,Rodarte,Fall 2013,Feminine,Black draped jumpsuit,Choker necklace,"Flowy, deep neckline","Chic, sophisticated","Side cutouts, beaded details"
1,Rodarte,Spring 2007,Feminine,Black structured dress with pleated details,Studded black heels,"A-line, structured","Elegant, modern","Textured fabric, high neckline"
2,Rodarte,Spring 2007,Feminine,Gray off-the-shoulder dress with feather details,Black heels,"Voluminous, off-the-shoulder","Romantic, avant-garde","Feather embellishments, central ruffle"
3,Rodarte,Spring 2007,Feminine,Black off-the-shoulder bubble dress,"Studded black heels, black gloves","Voluminous, bubble","Dramatic, textured","Layered bubble effect, lace neckline"
1,Rodarte,Spring 2007,Feminine,"Black sleeveless dress, sheer floral sleeves","Black gloves, studded pumps","Straight, knee-length","Elegant, textured",Contrasting textures with sheer and solid fabrics
2,Rodarte,Spring 2007,Feminine,"Black high-neck top, black pants with ruffle detail","Black gloves, studded pumps","Fitted, layered","Sophisticated, dramatic",High-neck detail with ruffles adds volume
3,Rodarte,Spring 2007,Feminine,"White sleeveless dress with black net overlay, lace hem","Black gloves, studded pumps","A-line, knee-length","Chic, intricate",Mix of patterns and textures with lace and net overlay
1,Rodarte,Spring 2007,Feminine,"White dress with black lace bodice, yellow floral panel","Black gloves, white and black heels","Fitted, knee-length","Romantic, delicate","Sheer fabric, intricate lace details"
2,Rodarte,Spring 2007,Feminine,"Black sheer top with floral appliqué, gray floral skirt","Black gloves, black and white heels","A-line, knee-length","Elegant, textured","Floral patterns, sheer layering"
3,Rodarte,Spring 2007,Feminine,Silver metallic top and pants with lace panel,None visible,"Slim, tailored","Futuristic, sleek","Metallic sheen, structured fit"
1,Rodarte,Spring 2006,Feminine,Silver ruffled gown,Black bracelet,"Flowy, elongated","Ethereal, romantic","Layered ruffles, soft texture"
2,Rodarte,Spring 2006,Feminine,Cream sleeveless dress with side ruffle,None visible,"A-line, knee-length","Minimalist, elegant","Subtle ruffle detail, belted waist"
3,Rodarte,Spring 2006,Feminine,Strapless tiered gown,Chunky black necklace,"Column, tiered","Sophisticated, modern","Tiered layers, statement necklace"
1,Rodarte,Spring 2006,Feminine,Ivory satin dress with black swirl detail,Black strappy heels with bow detail,"Straight, knee-length","Elegant, modern",Contrasting swirl pattern
2,Rodarte,Spring 2006,Feminine,Gold satin layered dress with fringe detail,Gold strappy heels with bow detail,"A-line, layered","Sophisticated, structured",Fringe adds texture
3,Rodarte,Spring 2006,Feminine,Silver woven one-shoulder dress,Black strappy heels with bow detail,"Fitted, knee-length","Artistic, textured",Woven pattern creates visual interest
1,Rodarte,Spring 2006,Feminine,"Black ruffled blouse, black pleated skirt",Black bow heels,"Slim, fitted","Elegant, sophisticated","Ruffled details, monochrome"
2,Rodarte,Spring 2006,Feminine,"Beige coat with black bow, black dress",Black bow heels,"Structured, A-line","Classic, chic","Contrasting colors, bow detail"
3,Rodarte,Spring 2006,Feminine,Cream wrap dress with ruffles,Cream bow heels,"Flowy, relaxed","Romantic, ethereal","Soft ruffles, light fabric"
